,drug_combination,cell_line,synergy
0,AZD-8055 + Capivasertib,C2BBE1,5.059295998
1,AZD-8055 + Ipatasertib,C2BBE1,4.160293614
2,AZD-8055 + Lapatinib,C2BBE1,10.74002533
3,AZD-8055 + Navitoclax,C2BBE1,-4.972144182
4,AZD-8055 + Neratinib,C2BBE1,2.299110991
5,AZD-8055 + Obatoclax Mesylate,C2BBE1,6.750379424
6,AZD-8055 + Palbociclib,C2BBE1,-1.366015714
7,AZD-8055 + SN-38,C2BBE1,0.820643916
8,AZD-8055 + Ulixertinib,C2BBE1,4.667445162
9,AZD-8055 + oxaliplatin,C2BBE1,-3.038844873
10,Capivasertib + Lapatinib,C2BBE1,24.56644497
11,Capivasertib + Neratinib,C2BBE1,14.32944997
12,Everolimus + Capivasertib,C2BBE1,15.2192974
13,Everolimus + Ipatasertib,C2BBE1,15.66787242
14,Everolimus + Lapatinib,C2BBE1,20.57916838
15,Everolimus + Navitoclax,C2BBE1,-5.171084106
16,Everolimus + Neratinib,C2BBE1,3.252215534
17,Everolimus + Obatoclax Mesylate,C2BBE1,15.0767786
18,Everolimus + Palbociclib,C2BBE1,9.212684612
19,Everolimus + SN-38,C2BBE1,7.909642231
20,Everolimus + Ulixertinib,C2BBE1,13.36899241
21,Everolimus + oxaliplatin,C2BBE1,2.694629249
22,Ipatasertib + Lapatinib,C2BBE1,26.93925636
23,Ipatasertib + Neratinib,C2BBE1,0.127735378
24,PF 477736 + MK-1775 (Advosertib),C2BBE1,-4.628879213
25,PF 477736 + Niraparib,C2BBE1,-6.689295347
26,PF 477736 + Olaparib,C2BBE1,-12.89263236
27,PF 477736 + PF-3644022,C2BBE1,-0.437683593
28,PF 477736 + Palbociclib,C2BBE1,-1.544776367
29,Prexasertib + MK-1775 (Advosertib),C2BBE1,12.46070978
30,Prexasertib + Niraparib,C2BBE1,1.026834209
31,Prexasertib + Olaparib,C2BBE1,-13.50311331
32,Prexasertib + PF-3644022,C2BBE1,-0.292359773
33,Prexasertib + Palbociclib,C2BBE1,-3.671044592
34,Torin 1 + Capivasertib,C2BBE1,10.58986412
35,Torin 1 + Ipatasertib,C2BBE1,9.36612698
36,Torin 1 + Lapatinib,C2BBE1,17.21043369
37,Torin 1 + Navitoclax,C2BBE1,-9.604877476
38,Torin 1 + Neratinib,C2BBE1,-1.066734261
39,Torin 1 + Obatoclax Mesylate,C2BBE1,13.6852991
40,Torin 1 + Palbociclib,C2BBE1,4.472987256
41,Torin 1 + SN-38,C2BBE1,3.872619413
42,Torin 1 + Ulixertinib,C2BBE1,8.7530407
43,Torin 1 + oxaliplatin,C2BBE1,-5.407397426
44,AZD-8055 + Capivasertib,CAR1,5.841557483
45,AZD-8055 + Ipatasertib,CAR1,11.20918505
46,AZD-8055 + Lapatinib,CAR1,18.3044596
47,AZD-8055 + Navitoclax,CAR1,16.92049151
48,AZD-8055 + Neratinib,CAR1,19.0119964
49,AZD-8055 + Obatoclax Mesylate,CAR1,7.638347624
50,AZD-8055 + Palbociclib,CAR1,5.123659208
51,AZD-8055 + SN-38,CAR1,-0.261015511
52,AZD-8055 + Ulixertinib,CAR1,6.701518917
53,AZD-8055 + oxaliplatin,CAR1,-0.032116052
54,Capivasertib + Lapatinib,CAR1,15.5591876
55,Capivasertib + Neratinib,CAR1,18.96188844
56,Everolimus + Capivasertib,CAR1,11.91344034
57,Everolimus + Ipatasertib,CAR1,14.60107217
58,Everolimus + Lapatinib,CAR1,15.20290532
59,Everolimus + Navitoclax,CAR1,11.97593842
60,Everolimus + Neratinib,CAR1,17.97987472
61,Everolimus + Obatoclax Mesylate,CAR1,14.28237654
62,Everolimus + Palbociclib,CAR1,4.743510752
63,Everolimus + SN-38,CAR1,5.01782167
64,Everolimus + Ulixertinib,CAR1,8.515734785
65,Everolimus + oxaliplatin,CAR1,0.8531608
66,Ipatasertib + Lapatinib,CAR1,19.81067295
67,Ipatasertib + Neratinib,CAR1,25.6004046
68,PF 477736 + MK-1775 (Advosertib),CAR1,24.42975696
69,PF 477736 + Niraparib,CAR1,1.278373141
70,PF 477736 + Olaparib,CAR1,0.600272222
71,PF 477736 + PF-3644022,CAR1,9.079749956
72,PF 477736 + Palbociclib,CAR1,-12.87755678
73,Prexasertib + MK-1775 (Advosertib),CAR1,26.38022237
74,Prexasertib + Niraparib,CAR1,-2.542851387
75,Prexasertib + Olaparib,CAR1,3.166103226
76,Prexasertib + PF-3644022,CAR1,5.486514568
77,Prexasertib + Palbociclib,CAR1,-28.38544047
78,Torin 1 + Capivasertib,CAR1,11.87869306
79,Torin 1 + Ipatasertib,CAR1,13.03171247
80,Torin 1 + Lapatinib,CAR1,16.66911758
81,Torin 1 + Navitoclax,CAR1,15.10049765
82,Torin 1 + Neratinib,CAR1,18.2824329
83,Torin 1 + Obatoclax Mesylate,CAR1,13.00768481
84,Torin 1 + Palbociclib,CAR1,8.25217356
85,Torin 1 + SN-38,CAR1,2.053586747
86,Torin 1 + Ulixertinib,CAR1,11.6265273
87,Torin 1 + oxaliplatin,CAR1,0.002205307
88,AZD-8055 + Capivasertib,CL11,5.475995301
89,AZD-8055 + Ipatasertib,CL11,-7.862537697
90,AZD-8055 + Lapatinib,CL11,-13.21610323
