,inhibitor_combination,cell_line,synergy
0,AKTi + EGFRi,C2BBE1,16.4907216695
1,CHEKi + CyclinDi,C2BBE1,-2.6079104795
2,CHEKi + MAPKi,C2BBE1,-0.365021683
3,CHEKi + PARPi,C2BBE1,-8.014551702
4,CHEKi + Wee1i,C2BBE1,3.9159152835
5,mTORi + AKTi,C2BBE1,10.010458422000001
6,mTORi + BCL2L1i,C2BBE1,-6.582701921333334
7,mTORi + BCL2i,C2BBE1,11.837485708
8,mTORi + Chemo,C2BBE1,1.141882085
9,mTORi + CyclinDi,C2BBE1,4.106552051333334
10,mTORi + EGFRi,C2BBE1,8.835703277333334
11,mTORi + ERKi,C2BBE1,8.929826090666667
12,AKTi + EGFRi,CAR1,19.9830383975
13,CHEKi + CyclinDi,CAR1,-20.631498625
14,CHEKi + MAPKi,CAR1,7.2831322620000005
15,CHEKi + PARPi,CAR1,0.6254743005000001
16,CHEKi + Wee1i,CAR1,25.404989665
17,mTORi + AKTi,CAR1,11.4126100955
18,mTORi + BCL2L1i,CAR1,14.665642526666668
19,mTORi + BCL2i,CAR1,11.642802991333333
20,mTORi + Chemo,CAR1,1.2722738268333333
21,mTORi + CyclinDi,CAR1,6.039781173333334
22,mTORi + EGFRi,CAR1,17.57513108666667
23,mTORi + ERKi,CAR1,8.947927000666667
24,AKTi + EGFRi,CL11,-0.8106205670000001
25,CHEKi + CyclinDi,CL11,-0.36178393200000003
26,CHEKi + MAPKi,CL11,-6.86050313
27,CHEKi + PARPi,CL11,-7.36515097625
28,CHEKi + Wee1i,CL11,5.1054943535
29,mTORi + AKTi,CL11,2.2860678758333335
30,mTORi + BCL2L1i,CL11,-13.545450073333333
31,mTORi + BCL2i,CL11,6.789774538666666
32,mTORi + Chemo,CL11,4.799215193999999
33,mTORi + CyclinDi,CL11,-0.372639892
34,mTORi + EGFRi,CL11,-6.604097137
35,mTORi + ERKi,CL11,16.983633363666666
36,AKTi + EGFRi,HT115,8.94964371225
37,CHEKi + CyclinDi,HT115,-7.2248436595
38,CHEKi + MAPKi,HT115,-12.6523727875
39,CHEKi + PARPi,HT115,-5.66481161225
40,CHEKi + Wee1i,HT115,-2.768361424
41,mTORi + AKTi,HT115,9.680876274833333
42,mTORi + BCL2L1i,HT115,-8.037983212666667
43,mTORi + BCL2i,HT115,11.830768756333333
44,mTORi + Chemo,HT115,-0.9799168400000001
45,mTORi + CyclinDi,HT115,-3.8886745096666666
46,mTORi + EGFRi,HT115,2.424130548333333
47,mTORi + ERKi,HT115,3.0929434410000005
48,AKTi + EGFRi,NCIH508,15.9566272725
49,CHEKi + CyclinDi,NCIH508,-11.282304204999999
50,CHEKi + MAPKi,NCIH508,3.307244679
51,CHEKi + PARPi,NCIH508,-2.1754500775
52,CHEKi + Wee1i,NCIH508,20.09398737
53,mTORi + AKTi,NCIH508,6.7082500615
54,mTORi + BCL2L1i,NCIH508,25.750814293333335
55,mTORi + BCL2i,NCIH508,12.541611239666667
56,mTORi + Chemo,NCIH508,8.961823519000001
57,mTORi + CyclinDi,NCIH508,10.158049652
58,mTORi + EGFRi,NCIH508,6.512989491666667
59,mTORi + ERKi,NCIH508,14.658317093333332
60,AKTi + EGFRi,NCIH716,11.542453616
61,CHEKi + CyclinDi,NCIH716,-5.5364712025000005
62,CHEKi + MAPKi,NCIH716,-2.005564109
63,CHEKi + PARPi,NCIH716,-10.706961034999999
64,CHEKi + Wee1i,NCIH716,15.215913645
65,mTORi + AKTi,NCIH716,12.595931743333333
66,mTORi + BCL2L1i,NCIH716,32.21272493
67,mTORi + BCL2i,NCIH716,16.00840493866667
68,mTORi + Chemo,NCIH716,11.241323635999999
69,mTORi + CyclinDi,NCIH716,6.520763909999999
70,mTORi + EGFRi,NCIH716,5.955514597666666
71,mTORi + ERKi,NCIH716,17.49979184
72,AKTi + EGFRi,NCIH747,19.3234702225
73,CHEKi + CyclinDi,NCIH747,-10.472349279500001
74,CHEKi + MAPKi,NCIH747,-6.9161649565
75,CHEKi + PARPi,NCIH747,-0.6839183115
76,CHEKi + Wee1i,NCIH747,3.2486887584999997
77,mTORi + AKTi,NCIH747,11.086493767666667
78,mTORi + BCL2L1i,NCIH747,9.137514322
79,mTORi + BCL2i,NCIH747,15.335552408
80,mTORi + Chemo,NCIH747,6.7048944635
81,mTORi + CyclinDi,NCIH747,2.3846207096666667
82,mTORi + EGFRi,NCIH747,9.872747552166667
83,mTORi + ERKi,NCIH747,11.805370706666666
84,AKTi + EGFRi,SNU81,5.38504496625
85,CHEKi + CyclinDi,SNU81,-2.1816518400000002
86,CHEKi + MAPKi,SNU81,4.2992307975
87,CHEKi + PARPi,SNU81,2.84026618375
88,CHEKi + Wee1i,SNU81,17.03254425
89,mTORi + AKTi,SNU81,8.123089365
90,mTORi + BCL2L1i,SNU81,17.97024344
91,mTORi + BCL2i,SNU81,11.525166756666666
92,mTORi + Chemo,SNU81,-3.3506154323333335
93,mTORi + CyclinDi,SNU81,-0.14164206366666662
94,mTORi + EGFRi,SNU81,1.6780066088333332
95,mTORi + ERKi,SNU81,2.5940115116666664
96,AKTi + EGFRi,SW1116,6.15828313425
97,CHEKi + CyclinDi,SW1116,-5.0584001259999996
98,CHEKi + MAPKi,SW1116,-5.9612320685
99,CHEKi + PARPi,SW1116,-25.85536358
100,CHEKi + Wee1i,SW1116,-16.495487015
101,mTORi + AKTi,SW1116,-7.922673628000001
102,mTORi + BCL2L1i,SW1116,5.287323834666667
103,mTORi + BCL2i,SW1116,4.380342185666667
104,mTORi + Chemo,SW1116,-0.6322638948333333
105,mTORi + CyclinDi,SW1116,-3.1865775060000003
106,mTORi + EGFRi,SW1116,1.5550419038333334
107,mTORi + ERKi,SW1116,0.7795239056666663
108,AKTi + EGFRi,SW1417,2.95936396775
109,CHEKi + CyclinDi,SW1417,-7.8991089705
110,CHEKi + MAPKi,SW1417,-6.5882549225
111,CHEKi + PARPi,SW1417,-8.21172601775
112,CHEKi + Wee1i,SW1417,-5.866927039
113,mTORi + AKTi,SW1417,0.45525114549999995
114,mTORi + BCL2L1i,SW1417,5.615247362999999
115,mTORi + BCL2i,SW1417,1.8900314913333334
116,mTORi + Chemo,SW1417,-1.7492229478333332
117,mTORi + CyclinDi,SW1417,-2.1898855593333333
118,mTORi + EGFRi,SW1417,2.2899388553333337
119,mTORi + ERKi,SW1417,4.325380799666667
120,AKTi + EGFRi,SW1463,10.36232480975
121,CHEKi + CyclinDi,SW1463,-12.168861675
122,CHEKi + MAPKi,SW1463,-12.928365705000001
123,CHEKi + PARPi,SW1463,-38.325343865
124,CHEKi + Wee1i,SW1463,-7.1918319754999995
125,mTORi + AKTi,SW1463,-2.1504699995
126,mTORi + BCL2L1i,SW1463,8.556469836666666
127,mTORi + BCL2i,SW1463,10.250447473333333
128,mTORi + Chemo,SW1463,-5.325523656333333
129,mTORi + CyclinDi,SW1463,-1.4823207426666667
130,mTORi + EGFRi,SW1463,2.8216537488333326
131,mTORi + ERKi,SW1463,3.5504908306666665
132,AKTi + EGFRi,SW620,-3.548650943
133,CHEKi + CyclinDi,SW620,-4.489024961
134,CHEKi + MAPKi,SW620,-18.489832085
135,CHEKi + PARPi,SW620,2.97575629325
136,CHEKi + Wee1i,SW620,13.491195065
137,mTORi + AKTi,SW620,1.757248744
138,mTORi + BCL2L1i,SW620,3.303071918666667
139,mTORi + BCL2i,SW620,1.1747659666666666
140,mTORi + Chemo,SW620,-2.4763319530000003
141,mTORi + CyclinDi,SW620,-0.21916170166666663
142,mTORi + EGFRi,SW620,-9.538923447499998
143,mTORi + ERKi,SW620,1.6662066993333333
144,AKTi + EGFRi,SW837,13.92253053
145,CHEKi + CyclinDi,SW837,-7.440663413
146,CHEKi + MAPKi,SW837,-0.8409643330000001
147,CHEKi + PARPi,SW837,-1.19677615975
148,CHEKi + Wee1i,SW837,6.6433664624999995
149,mTORi + AKTi,SW837,6.882540050999999
150,mTORi + BCL2L1i,SW837,22.93481337333333
151,mTORi + BCL2i,SW837,7.219004770999999
152,mTORi + Chemo,SW837,2.5503152466666665
153,mTORi + CyclinDi,SW837,-0.18639002199999996
154,mTORi + EGFRi,SW837,7.891301612833334
155,mTORi + ERKi,SW837,1.9059053013333334
156,AKTi + EGFRi,SW948,16.60214235125
157,CHEKi + CyclinDi,SW948,-7.5941809075
158,CHEKi + MAPKi,SW948,4.571266716
159,CHEKi + PARPi,SW948,-7.03361257475
160,CHEKi + Wee1i,SW948,12.951463440000001
161,mTORi + AKTi,SW948,14.002781728333334
162,mTORi + BCL2L1i,SW948,22.29104977333333
163,mTORi + BCL2i,SW948,2.095952472
164,mTORi + Chemo,SW948,0.7706475255000002
165,mTORi + CyclinDi,SW948,2.3508769386666666
166,mTORi + EGFRi,SW948,11.715596081333333
167,mTORi + ERKi,SW948,13.68417168
168,AKTi + EGFRi,T84,16.6542626725
169,CHEKi + CyclinDi,T84,22.05579749
170,CHEKi + MAPKi,T84,26.63705958
