Perturbation	Synergies	Non-synergies
[PD_01]-[PD_02]	0	129
[PD_01]-[PD_03]	0	129
[PD_01]-[PD_04]	8	121
[PD_01]-[PD_05]	49	77
[PD_01]-[PD_06]	0	129
[PD_01]-[PD_07]	29	67
[PD_01]-[PD_08]	21	108
[PD_01]-[PD_09]	12	117
[PD_01]-[PD_10]	41	88
[PD_01]-[PD_11]	0	0
[PD_01]-[PD_12]	16	113
[PD_01]-[PD_13]	37	92
[PD_01]-[PD_14]	0	129
[PD_01]-[PD_15]	24	105
[PD_01]-[PD_16]	38	91
[PD_01]-[PD_17]	11	118
[PD_01]-[PD_18]	4	125
[PD_01]-[PD_19]	0	85
[PD_01]-[PD_20]	61	46
[PD_01]-[PD_21]	61	46
[PD_02]-[PD_03]	0	139
[PD_02]-[PD_04]	3	136
[PD_02]-[PD_05]	95	43
[PD_02]-[PD_06]	0	139
[PD_02]-[PD_07]	74	22
[PD_02]-[PD_08]	0	139
[PD_02]-[PD_09]	0	139
[PD_02]-[PD_10]	63	76
[PD_02]-[PD_11]	0	0
[PD_02]-[PD_12]	32	107
[PD_02]-[PD_13]	51	88
[PD_02]-[PD_14]	0	139
[PD_02]-[PD_15]	30	109
[PD_02]-[PD_16]	67	72
[PD_02]-[PD_17]	22	117
[PD_02]-[PD_18]	15	124
[PD_02]-[PD_19]	0	95
[PD_02]-[PD_20]	104	19
[PD_02]-[PD_21]	104	19
[PD_03]-[PD_04]	10	129
[PD_03]-[PD_05]	93	45
[PD_03]-[PD_06]	0	139
[PD_03]-[PD_07]	70	26
[PD_03]-[PD_08]	5	134
[PD_03]-[PD_09]	0	139
[PD_03]-[PD_10]	58	81
[PD_03]-[PD_11]	0	0
[PD_03]-[PD_12]	30	109
[PD_03]-[PD_13]	55	84
[PD_03]-[PD_14]	0	139
[PD_03]-[PD_15]	30	109
[PD_03]-[PD_16]	61	78
[PD_03]-[PD_17]	18	121
[PD_03]-[PD_18]	14	125
[PD_03]-[PD_19]	0	95
[PD_03]-[PD_20]	103	20
[PD_03]-[PD_21]	103	20
[PD_04]-[PD_05]	9	140
[PD_04]-[PD_06]	0	139
[PD_04]-[PD_07]	13	89
[PD_04]-[PD_08]	0	150
[PD_04]-[PD_09]	0	150
[PD_04]-[PD_10]	8	142
[PD_04]-[PD_11]	0	0
[PD_04]-[PD_12]	3	147
[PD_04]-[PD_13]	0	150
[PD_04]-[PD_14]	0	150
[PD_04]-[PD_15]	2	148
[PD_04]-[PD_16]	8	142
[PD_04]-[PD_17]	14	136
[PD_04]-[PD_18]	1	149
[PD_04]-[PD_19]	0	103
[PD_04]-[PD_20]	14	120
[PD_04]-[PD_21]	14	120
[PD_05]-[PD_06]	82	56
[PD_05]-[PD_07]	0	104
[PD_05]-[PD_08]	59	90
[PD_05]-[PD_09]	40	109
[PD_05]-[PD_10]	75	74
[PD_05]-[PD_11]	0	0
[PD_05]-[PD_12]	45	104
[PD_05]-[PD_13]	75	74
[PD_05]-[PD_14]	1	148
[PD_05]-[PD_15]	47	102
[PD_05]-[PD_16]	82	67
[PD_05]-[PD_17]	13	136
[PD_05]-[PD_18]	37	112
[PD_05]-[PD_19]	2	101
[PD_05]-[PD_20]	0	134
[PD_05]-[PD_21]	0	134
[PD_06]-[PD_07]	63	33
[PD_06]-[PD_08]	0	139
[PD_06]-[PD_09]	0	139
[PD_06]-[PD_10]	56	83
[PD_06]-[PD_11]	0	0
[PD_06]-[PD_12]	21	118
[PD_06]-[PD_13]	50	89
[PD_06]-[PD_14]	0	139
[PD_06]-[PD_15]	27	112
[PD_06]-[PD_16]	58	81
[PD_06]-[PD_17]	11	127
[PD_06]-[PD_18]	8	130
[PD_06]-[PD_19]	0	95
[PD_06]-[PD_20]	91	32
[PD_06]-[PD_21]	91	32
[PD_07]-[PD_08]	51	53
[PD_07]-[PD_09]	36	68
[PD_07]-[PD_10]	49	55
[PD_07]-[PD_11]	0	0
[PD_07]-[PD_12]	36	68
[PD_07]-[PD_13]	68	36
[PD_07]-[PD_14]	1	103
[PD_07]-[PD_15]	46	58
[PD_07]-[PD_16]	74	30
[PD_07]-[PD_17]	0	104
[PD_07]-[PD_18]	35	69
[PD_07]-[PD_19]	0	64
[PD_07]-[PD_20]	0	104
[PD_07]-[PD_21]	0	104
[PD_08]-[PD_09]	0	150
[PD_08]-[PD_10]	27	123
[PD_08]-[PD_11]	0	0
[PD_08]-[PD_12]	17	133
[PD_08]-[PD_13]	22	128
[PD_08]-[PD_14]	3	147
[PD_08]-[PD_15]	11	139
[PD_08]-[PD_16]	25	125
[PD_08]-[PD_17]	13	137
[PD_08]-[PD_18]	14	136
[PD_08]-[PD_19]	0	103
[PD_08]-[PD_20]	62	72
[PD_08]-[PD_21]	62	72
[PD_09]-[PD_10]	0	150
[PD_09]-[PD_11]	0	0
[PD_09]-[PD_12]	6	144
[PD_09]-[PD_13]	0	150
[PD_09]-[PD_14]	0	150
[PD_09]-[PD_15]	0	150
[PD_09]-[PD_16]	0	150
[PD_09]-[PD_17]	4	146
[PD_09]-[PD_18]	0	150
[PD_09]-[PD_19]	0	103
[PD_09]-[PD_20]	39	95
[PD_09]-[PD_21]	39	95
[PD_10]-[PD_11]	0	0
[PD_10]-[PD_12]	20	130
[PD_10]-[PD_13]	136	14
[PD_10]-[PD_14]	0	150
[PD_10]-[PD_15]	75	75
[PD_10]-[PD_16]	0	150
[PD_10]-[PD_17]	16	134
[PD_10]-[PD_18]	3	147
[PD_10]-[PD_19]	5	98
[PD_10]-[PD_20]	85	49
[PD_10]-[PD_21]	85	49
[PD_11]-[PD_12]	0	0
[PD_11]-[PD_13]	0	0
