Perturbation	Excess
PD_01_PD_06	0.0
PD_01_PD_14	7.09760808323967e-05
PD_02_PD_05	0.13736269124782263
PD_02_PD_07	0.17274260790935125
PD_02_PD_12	0.004468653991081317
PD_02_PD_15	0.2547698979800527
PD_03_PD_15	0.06033405584603668
PD_04_PD_12	0.0006489906045036298
PD_04_PD_14	7.09760808323967e-05
PD_04_PD_15	-0.11414717223589799
PD_06_PD_14	0.0
PD_07_PD_09	2.5571692268688828e-05
PD_07_PD_10	0.0011152295601420947
PD_07_PD_11	0.011473660198650149
PD_07_PD_12	0.000762153771260321
PD_07_PD_13	0.004126212075523994
PD_07_PD_15	-0.6982648304899914
PD_07_PD_16	-0.8462735921053139
PD_07_PD_17	-1.4398348587629783e-05
PD_07_PD_20	1.295639407483673e-05
PD_08_PD_14	0.0
PD_10_PD_12	0.002261997362071111
PD_10_PD_15	-0.02930342076940773
PD_10_PD_19	0.0021557209896850837
PD_11_PD_12	0.0014952634121266906
PD_11_PD_15	0.05099690706941096
PD_12_PD_14	5.501499408455679e-05
PD_12_PD_15	-3.5229238421696785e-05
PD_12_PD_17	0.0003221141951070816
PD_12_PD_19	0.0012708015946617524
PD_12_PD_20	-2.843286076692486e-06
PD_15_PD_17	-1.0278709250854945e-05
PD_15_PD_18	0.11871420098972363
PD_15_PD_20	-0.028491038898136645
