Perturbation	Average	SD	Data
[PD_01]	1.3404996674636314	0.9470834418252628	2.0	2.0	2.0	2.0	2.0	2.0	-0.625	1.0	0.0	2.0	1.5	2.0	1.0	2.0	0.0	-2.0	0.8888889	2.0	1.0	2.0	-1.0	2.0	-0.625	2.0	2.0	0.8888889	1.0	2.0	2.0	0.0	1.5454545	-0.5	2.0	2.0	2.0	0.0	1.5	2.0	2.0	1.0	-0.25	2.0	-1.0	2.0	2.0	1.6666666	2.0	1.0	2.0	2.0	2.0	1.75	2.0	1.5	2.0	0.0	2.0	1.0	2.0	1.5	2.0	2.0	0.0	0.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	-2.0	0.0	2.0	2.0	1.75	2.0	-1.0	2.0	1.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.6666667	2.0	1.25	2.0	0.5	2.0	2.0	2.0	2.0	2.0	2.0	0.25	0.33333334	2.0	1.0	2.0	1.0	1.5	0.25	2.0	2.0	1.0909091	2.0	2.0	0.75	0.75	0.33333334	2.0	1.5	-0.6666667	1.5	2.0	2.0	1.0	2.0	-0.5	0.25	-0.25	-0.125	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	0.5	2.0	2.0	1.0	2.0
[PD_02]	1.9783333333333333	0.14170778453164806	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.75	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
[PD_03]	1.7272648111979167	0.4965230803708109	2.0	2.0	2.0	2.0	2.0	0.375	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.5	2.0	2.0	0.8888889	2.0	2.0	0.375	2.0	2.0	2.0	1.6666666	1.3333334	2.0	0.8888889	2.0	1.0	1.25	0.33333334	2.0	2.0	2.0	2.0	1.5	2.0	1.6666666	2.0	2.0	1.3333334	0.6666667	2.0	2.0	1.8571428	2.0	2.0	2.0	2.0	1.75	2.0	2.0	2.0	1.6666666	1.5	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.5	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	1.6666666	2.0	1.875	0.5	2.0	2.0	2.0	1.75	2.0	2.0	1.8333334	2.0	1.5	2.0	1.6666666	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.2	1.25	0.5	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.33333334	0.25	2.0	2.0	2.0	2.0	2.0	0.25	2.0	2.0	1.0909091	2.0	1.4	2.0	0.75	0.75	2.0	0.22222222	2.0	1.5	2.0	2.0	2.0	1.25	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.5	2.0
[PD_04]	0.0	0.0
[PD_05]	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
[PD_06]	1.8752777099609375	0.3916570477971126	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.875	2.0	1.0	2.0	1.5	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.6666666	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	2.0	1.5	2.0	2.0	2.0	0.0	2.0	2.0	2.0	-0.5	2.0	2.0	2.0	2.0	2.0	1.5	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.75	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0
[PD_07]	1.8566668701171876	0.4050529085060134	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	1.5	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.5	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.5	1.5	2.0	1.0	2.0	2.0	2.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.5	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.6666667	2.0	1.5	2.0	2.0	2.0	0.6666667	2.0	2.0	2.0	0.33333334	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.5	2.0	1.3333334	2.0	2.0	2.0
[PD_08]	0.81	0.3828101672644993	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.5	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.5	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5	1.0
[PD_09]	0.8143176904460728	0.47990012456104175	0.5	0.5	0.6666667	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.5	0.5	1.0	1.0	0.5	1.0	0.5	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	0.5	0.0	2.0	0.5	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.5	0.0	0.5	1.0	1.0	1.0	0.5	1.0	1.0	0.5	0.0	1.0	1.0	2.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	2.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.5	0.5	0.0	0.0	1.0	1.0	0.0	0.5	1.0	0.0	0.5	1.0	0.0	2.0	1.0	0.5	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	1.0	0.5	0.5	1.0	1.0	1.0	1.0	1.0	0.5	0.5	1.0	1.0	0.5	1.0	2.0	1.0	1.0	1.0	0.5	1.0	0.0	0.5	2.0	0.5	1.0	0.6666667	1.0	0.5	1.0	1.0	1.0	1.0	2.0	2.0	1.0	0.5	1.0	1.0	0.5	0.5	1.0	0.5	1.0
[PD_10]	1.3705557250976563	0.6113468963744152	2.0	0.5	0.6666667	0.0	1.25	2.0	1.0	2.0	2.0	0.5	0.5	1.0	0.0	2.0	1.0	1.0	2.0	0.5	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	2.0	0.0	2.0	0.5	0.0	2.0	0.0	1.5	1.0	1.5	0.5	1.0	1.0	1.0	1.0	2.0	1.5	1.0	2.0	1.0	0.5	1.5	2.0	1.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	2.0	1.5	1.0	2.0	1.5	1.0	2.0	1.5	2.0	0.0	2.0	0.5	1.6666666	2.0	2.0	2.0	2.0	1.0	0.5	1.0	2.0	0.5	1.0	1.5	2.0	2.0	1.0	2.0	1.0	0.0	2.0	2.0	1.0	1.0	2.0	1.5	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.5	1.0	1.0	1.0	2.0	1.0	0.5	2.0	2.0	2.0	1.5	1.5	1.6666666	1.0	0.5	2.0	2.0	2.0	2.0	0.6666667	2.0	2.0	2.0	1.5	1.0	1.5	2.0	2.0	2.0	2.0	1.5	2.0	0.6666667	0.5	2.0	1.0	1.0
[PD_11]	1.031772251546818	0.7889727054830838	0.5555556	1.1538461	0.46153846	2.0	0.5	1.0	2.0	0.5769231	0.0	0.6666667	2.0	2.0	1.5333333	0.5555556	0.3	1.6666666	1.3529412	1.7777778	2.0	1.0	1.3103448	0.4	1.1111112	1.0	0.44444445	0.73333335	2.0	1.0	-0.5	2.0	1.125	-0.33333334	2.0	2.0	2.0	-0.25	2.0	1.0	2.0	2.0	1.25	-0.6666667	1.5	2.0	1.6538461	1.3636364	2.0	0.125	1.3125	0.44444445	1.5	1.0909091	2.0	0.5882353	1.1875	1.0	1.2	2.0	2.0	-0.083333336	0.44444445	1.0	1.0	0.5	-0.8333333	0.8	0.6363636	1.5	2.0	2.0	2.0	1.0	2.0	2.0	-0.375	1.875	0.90625	0.75	1.1666666	2.0	0.5	1.1666666	1.5714285	2.0	1.25	1.0	-0.75	1.0909091	0.5	-0.8888889	0.4	2.0	1.3333334	0.75	2.0	0.5	-0.14285715	0.25	0.7777778	-1.0	0.57894737	0.16666667	1.3333334	0.6666667	-0.8	1.5	0.125	0.75	1.3333334	0.1891892	1.0	0.75	2.0	1.0	0.9	1.8	0.75	1.5	2.0	2.0	0.2	0.42857143	1.0	1.0	2.0	0.68	0.33333334	0.90625	0.5	1.625	1.6	1.0	0.5	2.0	2.0	-0.75	0.5
