Perturbation	Average	SD	Data
[PD_01]	0.5783333206176757	0.5720259774629957	0.0	2.0	1.0	0.0	1.0	0.0	1.0	0.5	0.0	0.0	0.0	0.6666667	0.0	0.0	1.0	0.5	1.0	0.0	2.0	1.0	1.0	0.0	0.5	1.0	0.5	0.0	0.0	1.0	1.0	1.0	2.0	0.0	0.75	0.0	0.5	0.5	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.5	0.0	1.0	0.0
[PD_02]	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
[PD_03]	0.0	0.0
[PD_05]	1.78	0.6240094190811872	0.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	2.0	2.0	0.5	1.5	2.0	2.0	2.0	2.0	2.0	-1.0
[PD_06]	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
[PD_07]	1.8633332824707032	0.3621709551751633	2.0	1.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	2.0	1.6666666	2.0	2.0	2.0	2.0	2.0	0.5
[PD_08]	1.713138427734375	0.4658008762175034	2.0	2.0	0.25	0.9259259	1.7096775	2.0	1.7333333	2.0	1.625	1.6875	1.8	0.72727275	2.0	2.0	0.8181818	2.0	2.0	2.0	1.6428572	2.0	2.0	2.0	0.42857143	1.7941177	1.7741935	1.8529412	1.7647059	1.7575758	1.875	2.0	0.76666665	1.9375	2.0	2.0	1.5588236	2.0	2.0	1.9375	2.0	0.5135135	1.875	1.6363636	1.75	1.9375	2.0	2.0	2.0	2.0	1.7647059	1.8125
[PD_10]	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
[PD_12]	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
[PD_06]-[PD_07]	0.89	0.292789383646233	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.33333334	1.0	1.0	1.0	1.0	1.0	1.0	0.6666667	0.0
[PD_08]-[PD_10]	1.5905482482910156	0.5826787254870008	2.0	-0.083333336	2.0	1.4705882	0.61904764	1.375	1.625	1.5	2.0	2.0	2.0	2.0	2.0	1.3333334	0.25	2.0	2.0	1.4230769	2.0	0.375	2.0	2.0	1.6111112	0.0	1.5882353	1.7222222	1.6470588	1.5555556	2.0	1.75	2.0	0.45833334	2.0	1.3888888	1.875	2.0	1.875	2.0	2.0	0.33333334	1.75	1.5	2.0	2.0	1.875	1.625	1.5555556	1.5294118	2.0	2.0
[PD_01]-[PD_03]	0.0	0.0
[PD_03]-[PD_07]	0.0	0.0
[PD_07]-[PD_08]	1.0620454406738282	1.047776055185661	2.0	2.0	-0.33333334	-1.0	-0.5	1.5	-0.45454547	2.0	2.0	-0.75	2.0	0.16666667	2.0	-0.8333333	2.0	2.0	2.0	1.5	2.0	-0.5	2.0	2.0	1.0909091	-0.6666667	0.125	1.0	2.0	0.6	1.3636364	2.0	1.0	2.0	-0.27272728	0.0	2.0	1.5	1.5	2.0	2.0	1.0	-0.2	0.0	1.5	2.0	0.5	2.0	2.0	0.6666667	-0.4	2.0
[PD_03]-[PD_08]	1.2881747436523439	0.9190947856698272	2.0	2.0	0.6666667	1.0	1.5	0.71428573	-0.6666667	2.0	-1.0	2.0	2.0	2.0	-0.33333334	2.0	0.5	1.5	2.0	2.0	2.0	-1.0	2.0	2.0	1.3	-1.0	1.0	1.2	2.0	1.1111112	1.5	2.0	1.5	2.0	0.5	2.0	-0.25	1.75	1.75	2.0	2.0	1.5	-0.2	1.75	2.0	1.0	1.25	2.0	2.0	1.2	0.6666667	2.0
