Perturbation	Synergies	Non-synergies
[PD_01]-[PD_02]	0	133
[PD_01]-[PD_03]	0	133
[PD_01]-[PD_04]	2	131
[PD_01]-[PD_05]	19	111
[PD_01]-[PD_06]	0	132
[PD_01]-[PD_07]	13	85
[PD_01]-[PD_08]	19	114
[PD_01]-[PD_09]	7	126
[PD_01]-[PD_10]	30	103
[PD_01]-[PD_11]	3	3
[PD_01]-[PD_12]	33	100
[PD_01]-[PD_13]	37	96
[PD_01]-[PD_14]	2	131
[PD_01]-[PD_15]	24	109
[PD_01]-[PD_16]	24	108
[PD_01]-[PD_17]	17	116
[PD_01]-[PD_18]	6	127
[PD_01]-[PD_19]	0	108
[PD_01]-[PD_20]	41	60
[PD_01]-[PD_21]	41	60
[PD_02]-[PD_03]	1	143
[PD_02]-[PD_04]	5	139
[PD_02]-[PD_05]	88	55
[PD_02]-[PD_06]	0	143
[PD_02]-[PD_07]	67	33
[PD_02]-[PD_08]	0	144
[PD_02]-[PD_09]	0	144
[PD_02]-[PD_10]	52	92
[PD_02]-[PD_11]	3	3
[PD_02]-[PD_12]	60	84
[PD_02]-[PD_13]	59	85
[PD_02]-[PD_14]	5	139
[PD_02]-[PD_15]	39	105
[PD_02]-[PD_16]	50	93
[PD_02]-[PD_17]	27	117
[PD_02]-[PD_18]	18	126
[PD_02]-[PD_19]	0	116
[PD_02]-[PD_20]	101	31
[PD_02]-[PD_21]	101	31
[PD_03]-[PD_04]	8	136
[PD_03]-[PD_05]	91	52
[PD_03]-[PD_06]	0	141
[PD_03]-[PD_07]	70	30
[PD_03]-[PD_08]	1	143
[PD_03]-[PD_09]	0	144
[PD_03]-[PD_10]	51	93
[PD_03]-[PD_11]	2	4
[PD_03]-[PD_12]	59	85
[PD_03]-[PD_13]	61	83
[PD_03]-[PD_14]	5	139
[PD_03]-[PD_15]	36	108
[PD_03]-[PD_16]	49	94
[PD_03]-[PD_17]	25	119
[PD_03]-[PD_18]	17	127
[PD_03]-[PD_19]	0	116
[PD_03]-[PD_20]	103	29
[PD_03]-[PD_21]	103	29
[PD_04]-[PD_05]	17	132
[PD_04]-[PD_06]	3	140
[PD_04]-[PD_07]	16	85
[PD_04]-[PD_08]	4	146
[PD_04]-[PD_09]	2	148
[PD_04]-[PD_10]	5	145
[PD_04]-[PD_11]	0	6
[PD_04]-[PD_12]	4	146
[PD_04]-[PD_13]	2	148
[PD_04]-[PD_14]	0	150
[PD_04]-[PD_15]	10	140
[PD_04]-[PD_16]	6	144
[PD_04]-[PD_17]	13	137
[PD_04]-[PD_18]	0	150
[PD_04]-[PD_19]	0	129
[PD_04]-[PD_20]	18	120
[PD_04]-[PD_21]	18	120
[PD_05]-[PD_06]	77	65
[PD_05]-[PD_07]	0	103
[PD_05]-[PD_08]	47	102
[PD_05]-[PD_09]	44	105
[PD_05]-[PD_10]	67	82
[PD_05]-[PD_11]	0	6
[PD_05]-[PD_12]	47	102
[PD_05]-[PD_13]	66	83
[PD_05]-[PD_14]	4	145
[PD_05]-[PD_15]	43	106
[PD_05]-[PD_16]	74	75
