Perturbation	Average	SD	Data
[PD_01]	1.3737944482078015	0.8224522449710784	2.0	2.0	2.0	1.2	0.25	2.0	-0.4	0.75	1.0	1.5	1.0	2.0	2.0	1.75	2.0	2.0	0.6	0.0	2.0	2.0	2.0	1.5	2.0	0.5	2.0	0.6666667	2.0	1.0	1.0	2.0	2.0	0.2	2.0	1.5	-0.25	-1.0	2.0	0.0	1.0	2.0	2.0	2.0	0.25	0.5	2.0	2.0	2.0	2.0	-0.33333334	0.0	0.0	1.75	1.0	0.0	1.0	2.0	0.5	2.0	0.0	1.1428572	1.0	1.5	2.0	2.0	1.5	2.0	2.0	2.0	2.0	2.0	2.0	0.5	2.0	2.0	2.0	0.5	2.0	2.0	0.0	2.0	2.0	0.75	-0.33333334	1.0	2.0	2.0	2.0	0.0	1.0	1.0	2.0	0.54545456	2.0	0.0	2.0	2.0	2.0	2.0	2.0	0.0	2.0	2.0	1.25	1.8571428	1.25	2.0	2.0	0.0	2.0	2.0	0.0	2.0	2.0	2.0	0.625	2.0	2.0	2.0	0.6	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	1.6666666	2.0	2.0	0.5	-1.0	2.0	-0.33333334	2.0	2.0	0.75	2.0	0.375	2.0	1.0
[PD_02]	1.97	0.1661849862786332	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.5	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0
[PD_03]	1.705783182779948	0.5606645599181816	1.5	1.5	2.0	2.0	2.0	2.0	1.5	2.0	2.0	2.0	2.0	0.75	2.0	2.0	1.75	2.0	2.0	2.0	2.0	1.6	0.5	2.0	2.0	2.0	2.0	1.5	1.5	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.5	2.0	0.2	2.0	-1.0	2.0	2.0	0.5	0.75	2.0	2.0	2.0	2.0	2.0	0.0	0.5	2.0	1.75	2.0	2.0	2.0	2.0	1.0	1.5	1.1428572	2.0	0.6666667	1.5	2.0	1.5	2.0	2.0	2.0	2.0	2.0	1.5	2.0	1.5	2.0	1.25	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.5	2.0	2.0	1.6666666	2.0	0.75	2.0	2.0	2.0	2.0	0.54545456	2.0	2.0	2.0	2.0	2.0	2.0	1.4	2.0	2.0	2.0	2.0	2.0	2.0	1.6666666	2.0	2.0	2.0	2.0	2.0	2.0	1.6666666	2.0	2.0	1.4	0.625	2.0	2.0	2.0	2.0	0.6	2.0	2.0	1.4	1.3333334	1.6	2.0	2.0	2.0	2.0	1.4285715	2.0	2.0	1.3333334	1.0714285	-1.0	2.0	2.0	2.0	2.0	1.3333334	0.6875	2.0	2.0	1.0
[PD_04]	0.0	0.0
[PD_05]	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
[PD_06]	1.78	0.5220956738160641	2.0	2.0	2.0	2.0	0.0	2.0	2.0	0.5	2.0	2.0	2.0	2.0	0.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.5	2.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	0.0	2.0	2.0	2.0	2.0	0.0	1.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	2.0	1.75	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.5	2.0	2.0	1.0	2.0	2.0	1.5	2.0	1.5	1.75	2.0	2.0	2.0	2.0	1.5	2.0	1.0	2.0	1.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.5	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0
[PD_07]	1.8902779134114582	0.3647274538342097	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.5	2.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.6666666	2.0	2.0	1.875	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	1.5	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
[PD_08]	0.8533333333333334	0.35019968736291435	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0
[PD_09]	0.9715555826822917	0.5443820127026072	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	0.5	0.0	0.0	1.0	1.0	1.0	2.0	1.0	0.5	1.0	1.0	1.0	1.0	2.0	0.0	1.0	0.5	2.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	0.5	0.5	1.0	1.0	1.0	0.5	0.5	1.0	1.0	0.5	0.5	1.6666666	1.0	1.6666666	1.0	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5	2.0	1.0	0.5	1.0	1.0	0.0	1.0	2.0	0.5	1.0	0.0	0.5	1.0	1.0	1.0	2.0	1.0	2.0	1.0	0.0	0.5	2.0	0.5	2.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	2.0	2.0	0.0	1.6	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.5	1.0	1.8	2.0	1.0	1.0	1.0	1.0	0.5	1.0	0.5	1.0	1.0	1.0	1.0	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.5	2.0	1.0	1.0	2.0	0.0	1.0	0.5	0.0	1.0	1.0	1.0	0.33333334	0.0	1.0	1.6666666
[PD_10]	1.6010000610351562	0.5549191242446214	2.0	2.0	2.0	2.0	2.0	2.0	1.5	1.5	2.0	2.0	2.0	1.5	2.0	1.0	1.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	0.0	2.0	2.0	2.0	1.5	1.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	1.0	0.5	2.0	2.0	1.0	2.0	1.5	2.0	2.0	1.0	1.6666666	2.0	1.75	2.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	1.0	1.0	1.5	1.5	1.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	1.5	2.0	2.0	0.0	2.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	0.0	1.0	1.0	1.5	2.0	2.0	2.0	1.6	2.0	1.0	2.0	2.0	0.0	0.0	1.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	1.5	2.0	1.8	2.0	2.0	0.5	2.0	1.0	2.0	1.0	1.0	1.0	0.6666667	1.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	1.5	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	1.5	2.0	2.0	0.0	2.0	1.6666666
[PD_11]	1.2662162175254217	0.7725497106184086	2.0	2.0	1.0	0.85714287	2.0	0.4347826	-0.5	1.7058823	0.6388889	1.0769231	1.0	1.25	2.0	2.0	2.0	2.0	1.3333334	0.7	2.0	2.0	2.0	2.0	1.3333334	2.0	1.5	-0.33333334	2.0	2.0	1.2857143	2.0	0.33333334	1.75	0.5	1.2	1.0	2.0	0.0	1.15625	2.0	1.6666666	1.0	-0.4	2.0	2.0	1.0	2.0	1.0	2.0	1.0	0.61538464	2.0	1.5882353	1.9166666	0.7826087	1.6666666	-0.6666667	1.2	0.5555556	0.9	2.0	-0.6666667	-0.46153846	2.0	2.0	0.0	2.0	1.34375	-0.5	1.5	1.1578947	1.0	-0.1	-0.25	0.42857143	0.8	2.0	0.90909094	2.0	2.0	1.1052631	1.5	2.0	1.5	0.33333334	1.75	0.0	2.0	0.33333334	2.0	2.0	2.0	0.0	1.3333334	1.8571428	1.4054054	0.37142858	0.4	2.0	2.0	1.2	0.94736844	1.6666666	2.0	0.16666667	0.8333333	2.0	1.5	1.0	2.0	1.5	0.30769232	2.0	0.33333334	0.96666664	1.1666666	2.0	1.6666666	2.0	2.0	1.6190476	2.0	1.0	1.5714285	2.0	2.0	0.0
