Perturbation	Synergies	Non-synergies
[PD_01]-[PD_02]	0	131
[PD_01]-[PD_03]	0	131
[PD_01]-[PD_04]	5	133
[PD_01]-[PD_05]	43	96
[PD_01]-[PD_06]	0	131
[PD_01]-[PD_07]	36	94
[PD_01]-[PD_08]	14	117
[PD_01]-[PD_09]	6	116
[PD_01]-[PD_10]	32	107
[PD_01]-[PD_11]	7	24
[PD_01]-[PD_12]	23	116
[PD_01]-[PD_13]	32	106
[PD_01]-[PD_14]	2	135
[PD_01]-[PD_15]	30	109
[PD_01]-[PD_16]	32	107
[PD_01]-[PD_17]	14	125
[PD_01]-[PD_18]	12	127
[PD_01]-[PD_19]	3	112
[PD_01]-[PD_20]	49	84
[PD_01]-[PD_21]	49	84
[PD_02]-[PD_03]	1	133
[PD_02]-[PD_04]	5	129
[PD_02]-[PD_05]	76	58
[PD_02]-[PD_06]	0	134
[PD_02]-[PD_07]	76	46
[PD_02]-[PD_08]	0	134
[PD_02]-[PD_09]	0	122
[PD_02]-[PD_10]	42	92
[PD_02]-[PD_11]	13	11
[PD_02]-[PD_12]	41	93
[PD_02]-[PD_13]	47	86
[PD_02]-[PD_14]	1	131
[PD_02]-[PD_15]	44	90
[PD_02]-[PD_16]	43	91
[PD_02]-[PD_17]	27	107
[PD_02]-[PD_18]	16	118
[PD_02]-[PD_19]	3	107
[PD_02]-[PD_20]	82	49
[PD_02]-[PD_21]	82	49
[PD_03]-[PD_04]	6	128
[PD_03]-[PD_05]	83	51
[PD_03]-[PD_06]	2	132
[PD_03]-[PD_07]	83	38
[PD_03]-[PD_08]	2	132
[PD_03]-[PD_09]	0	122
[PD_03]-[PD_10]	39	95
[PD_03]-[PD_11]	13	11
[PD_03]-[PD_12]	41	93
[PD_03]-[PD_13]	48	85
[PD_03]-[PD_14]	2	130
[PD_03]-[PD_15]	47	87
[PD_03]-[PD_16]	41	93
[PD_03]-[PD_17]	21	113
[PD_03]-[PD_18]	17	117
[PD_03]-[PD_19]	3	107
[PD_03]-[PD_20]	89	42
[PD_03]-[PD_21]	89	42
[PD_04]-[PD_05]	15	135
[PD_04]-[PD_06]	5	129
[PD_04]-[PD_07]	15	120
[PD_04]-[PD_08]	0	147
[PD_04]-[PD_09]	0	133
[PD_04]-[PD_10]	3	147
[PD_04]-[PD_11]	0	33
[PD_04]-[PD_12]	2	148
[PD_04]-[PD_13]	2	148
[PD_04]-[PD_14]	0	150
[PD_04]-[PD_15]	6	144
[PD_04]-[PD_16]	3	147
[PD_04]-[PD_17]	8	142
[PD_04]-[PD_18]	0	150
[PD_04]-[PD_19]	0	125
[PD_04]-[PD_20]	16	131
[PD_04]-[PD_21]	16	131
[PD_05]-[PD_06]	71	63
[PD_05]-[PD_07]	0	135
[PD_05]-[PD_08]	42	105
[PD_05]-[PD_09]	48	85
[PD_05]-[PD_10]	69	81
[PD_05]-[PD_11]	11	22
[PD_05]-[PD_12]	51	99
[PD_05]-[PD_13]	72	78
[PD_05]-[PD_14]	6	144
[PD_05]-[PD_15]	57	93
[PD_05]-[PD_16]	79	71
[PD_05]-[PD_17]	9	141
[PD_05]-[PD_18]	38	112
[PD_05]-[PD_19]	3	123
[PD_05]-[PD_20]	0	147
[PD_05]-[PD_21]	0	147
[PD_06]-[PD_07]	73	48
[PD_06]-[PD_08]	0	134
[PD_06]-[PD_09]	0	122
[PD_06]-[PD_10]	36	98
[PD_06]-[PD_11]	13	11
[PD_06]-[PD_12]	36	98
[PD_06]-[PD_13]	48	85
[PD_06]-[PD_14]	3	129
[PD_06]-[PD_15]	45	89
[PD_06]-[PD_16]	39	95
[PD_06]-[PD_17]	12	120
[PD_06]-[PD_18]	12	122
[PD_06]-[PD_19]	3	107
[PD_06]-[PD_20]	80	51
[PD_06]-[PD_21]	80	51
[PD_07]-[PD_08]	44	88
[PD_07]-[PD_09]	47	70
[PD_07]-[PD_10]	55	80
[PD_07]-[PD_11]	0	33
[PD_07]-[PD_12]	43	92
[PD_07]-[PD_13]	56	79
[PD_07]-[PD_14]	5	130
[PD_07]-[PD_15]	39	96
[PD_07]-[PD_16]	70	65
[PD_07]-[PD_17]	0	135
[PD_07]-[PD_18]	38	97
[PD_07]-[PD_19]	0	112
[PD_07]-[PD_20]	0	135
[PD_07]-[PD_21]	0	135
[PD_08]-[PD_09]	0	133
[PD_08]-[PD_10]	12	135
[PD_08]-[PD_11]	3	27
[PD_08]-[PD_12]	18	129
