Perturbation	Synergies	Non-synergies
[PD_10]-[PD_21]	89	55
[PD_11]-[PD_12]	1	103
[PD_11]-[PD_13]	5	99
[PD_11]-[PD_14]	1	103
[PD_11]-[PD_15]	8	96
[PD_11]-[PD_16]	0	104
[PD_11]-[PD_17]	0	104
[PD_11]-[PD_18]	1	103
[PD_11]-[PD_19]	0	104
[PD_11]-[PD_20]	44	60
[PD_11]-[PD_21]	44	60
[PD_12]-[PD_13]	9	141
[PD_12]-[PD_14]	0	150
[PD_12]-[PD_15]	9	141
[PD_12]-[PD_16]	7	143
[PD_12]-[PD_17]	0	150
[PD_12]-[PD_18]	0	150
[PD_12]-[PD_19]	1	144
[PD_12]-[PD_20]	48	96
[PD_12]-[PD_21]	48	96
[PD_13]-[PD_14]	1	149
[PD_13]-[PD_15]	0	150
[PD_13]-[PD_16]	137	13
[PD_13]-[PD_17]	2	148
[PD_13]-[PD_18]	4	146
[PD_13]-[PD_19]	3	142
[PD_13]-[PD_20]	88	56
[PD_13]-[PD_21]	88	56
[PD_14]-[PD_15]	2	148
[PD_14]-[PD_16]	0	150
[PD_14]-[PD_17]	0	150
[PD_14]-[PD_18]	0	150
[PD_14]-[PD_19]	0	145
[PD_14]-[PD_20]	6	138
[PD_14]-[PD_21]	6	138
[PD_15]-[PD_16]	96	54
[PD_15]-[PD_17]	3	147
[PD_15]-[PD_18]	4	146
[PD_15]-[PD_19]	4	141
[PD_15]-[PD_20]	68	76
[PD_15]-[PD_21]	68	76
[PD_16]-[PD_17]	1	149
[PD_16]-[PD_18]	0	150
[PD_16]-[PD_19]	6	139
[PD_16]-[PD_20]	88	56
[PD_16]-[PD_21]	88	56
[PD_17]-[PD_18]	2	148
[PD_17]-[PD_19]	0	145
[PD_17]-[PD_20]	17	127
[PD_17]-[PD_21]	17	127
[PD_18]-[PD_19]	0	145
[PD_18]-[PD_20]	31	113
[PD_18]-[PD_21]	31	113
[PD_19]-[PD_20]	5	134
[PD_19]-[PD_21]	5	134
[PD_20]-[PD_21]	0	144
