Perturbation	Ensemble average response
[PD_01]	1.8672152815193965
[PD_02]	1.7351137711697777
[PD_03]	1.7208899171560403
[PD_04]	1.9344999186197918
[PD_05]	1.5530293085803724
[PD_06]	1.7416187260774958
[PD_07]	0.9761499677385602
[PD_08]	1.8802010091145833
[PD_09]	2.0
[PD_10]	1.0
[PD_11]	2.0
[PD_12]	1.7319657389322918
[PD_13]	0.8105290730794271
[PD_14]	2.0
[PD_15]	1.5964789835611979
[PD_16]	-0.002222222288449605
[PD_17]	1.9792222086588542
[PD_18]	1.97577392578125
[PD_19]	1.9790697910988977
[PD_20]	1.3797089999779724
[PD_21]	1.3797089999779724
[PD_01]-[PD_02]	1.7351137711697777
[PD_01]-[PD_03]	1.7208899171560403
[PD_01]-[PD_04]	1.7656719339304956
[PD_01]-[PD_05]	1.3393899166222774
[PD_01]-[PD_06]	1.7416187260774958
[PD_01]-[PD_07]	0.8007548148171943
[PD_01]-[PD_08]	1.7351137711697777
[PD_01]-[PD_09]	1.8672152815193965
[PD_01]-[PD_10]	0.8731974634630927
[PD_01]-[PD_11]	1.8601779108462126
[PD_01]-[PD_12]	1.4671459459278682
[PD_01]-[PD_13]	0.66891981151006
[PD_01]-[PD_14]	1.8681247658925513
[PD_01]-[PD_15]	1.4423809183054956
[PD_01]-[PD_16]	-0.09863555594666364
[PD_01]-[PD_17]	1.8419172731164384
[PD_01]-[PD_18]	1.8280104545697773
[PD_01]-[PD_19]	1.8905762528951189
[PD_01]-[PD_20]	1.0654265420478688
[PD_01]-[PD_21]	1.0654265420478688
[PD_02]-[PD_03]	1.7051819666920092
[PD_02]-[PD_04]	1.6576529893299077
[PD_02]-[PD_05]	0.8632763671875
[PD_02]-[PD_06]	1.7416187260774958
[PD_02]-[PD_07]	0.2128154500325521
[PD_02]-[PD_08]	1.7351137711697777
[PD_02]-[PD_09]	1.7351137711697777
[PD_02]-[PD_10]	0.777328696026898
[PD_02]-[PD_11]	1.3510498582271107
[PD_02]-[PD_12]	1.2837181599934895
[PD_02]-[PD_13]	0.5979074096679687
[PD_02]-[PD_14]	1.7354351806640624
[PD_02]-[PD_15]	1.2869075288708578
[PD_02]-[PD_16]	-0.19569573720296224
[PD_02]-[PD_17]	1.687371317545573
[PD_02]-[PD_18]	1.708431396484375
[PD_02]-[PD_19]	1.7201031651990166
[PD_02]-[PD_20]	0.659513905843099
[PD_02]-[PD_21]	0.659513905843099
[PD_03]-[PD_04]	1.623526553979656
[PD_03]-[PD_05]	0.88063232421875
[PD_03]-[PD_06]	1.724392884529677
[PD_03]-[PD_07]	0.27794606526692706
[PD_03]-[PD_08]	1.7051819666920092
[PD_03]-[PD_09]	1.7208899171560403
[PD_03]-[PD_10]	0.7704697679353241
[PD_03]-[PD_11]	1.3542606286835253
[PD_03]-[PD_12]	1.240196736653646
[PD_03]-[PD_13]	0.5872063191731771
[PD_03]-[PD_14]	1.7227506510416666
[PD_03]-[PD_15]	1.3066713473940856
[PD_03]-[PD_16]	-0.21145238240559897
[PD_03]-[PD_17]	1.6935238647460937
[PD_03]-[PD_18]	1.6867408243815105
[PD_03]-[PD_19]	1.7190739861850082
[PD_03]-[PD_20]	0.6939849344889323
[PD_03]-[PD_21]	0.6939849344889323
[PD_04]-[PD_05]	1.5025462320406142
[PD_04]-[PD_06]	1.6840124962313863
[PD_04]-[PD_07]	0.8072285083455777
[PD_04]-[PD_08]	1.8445194498697917
[PD_04]-[PD_09]	1.9298966471354166
[PD_04]-[PD_10]	0.9387777709960937
[PD_04]-[PD_11]	1.7570371839735244
[PD_04]-[PD_12]	1.6908602905273438
[PD_04]-[PD_13]	0.8011719258626302
[PD_04]-[PD_14]	1.9344999186197918
[PD_04]-[PD_15]	1.503633321126302
[PD_04]-[PD_16]	-0.060944442749023435
[PD_04]-[PD_17]	1.8477382405598959
[PD_04]-[PD_18]	1.9286783854166667
[PD_04]-[PD_19]	1.9003230841584908
[PD_04]-[PD_20]	1.293673637218045
[PD_04]-[PD_21]	1.293673637218045
[PD_05]-[PD_06]	0.8807847086588542
[PD_05]-[PD_07]	0.9761499677385602
[PD_05]-[PD_08]	1.23600830078125
[PD_05]-[PD_09]	1.470702497926477
[PD_05]-[PD_10]	0.6671519867361408
[PD_05]-[PD_11]	1.0527945246015276
[PD_05]-[PD_12]	1.1874117916577482
[PD_05]-[PD_13]	0.5317440816800888
[PD_05]-[PD_14]	1.5515906974060896
[PD_05]-[PD_15]	1.2300543589134738
[PD_05]-[PD_16]	-0.3022128065971479
[PD_05]-[PD_17]	1.5309430475104344
[PD_05]-[PD_18]	1.414811225786601
[PD_05]-[PD_19]	1.5312674995902535
[PD_05]-[PD_20]	1.3797089999779724
[PD_05]-[PD_21]	1.3797089999779724
[PD_06]-[PD_07]	0.23365297253499895
[PD_06]-[PD_08]	1.7416187260774958
[PD_06]-[PD_09]	1.7416187260774958
[PD_06]-[PD_10]	0.828004486706792
[PD_06]-[PD_11]	1.3309941877398574
[PD_06]-[PD_12]	1.4240455118815105
[PD_06]-[PD_13]	0.5855855684022646
[PD_06]-[PD_14]	1.752710703256968
[PD_06]-[PD_15]	1.2918158409579488
[PD_06]-[PD_16]	-0.14820362272716703
[PD_06]-[PD_17]	1.7303371175130209
[PD_06]-[PD_18]	1.7646146647135417
[PD_06]-[PD_19]	1.7155276331408271
[PD_06]-[PD_20]	0.6771261088053385
[PD_06]-[PD_21]	0.6771261088053385
[PD_07]-[PD_08]	0.7140787251790365
[PD_07]-[PD_09]	0.7970379420689174
[PD_07]-[PD_10]	0.3117026945131015
[PD_07]-[PD_11]	0.9761499677385602
[PD_07]-[PD_12]	0.4531724452972412
[PD_07]-[PD_13]	0.08616023404257638
[PD_07]-[PD_14]	0.9709788731166294
[PD_07]-[PD_15]	0.6861625398908343
[PD_07]-[PD_16]	-0.645207132611956
[PD_07]-[PD_17]	0.9761499677385602
[PD_07]-[PD_18]	0.6763380595615932
[PD_07]-[PD_19]	0.9761499677385602
[PD_07]-[PD_20]	0.9761499677385602
[PD_07]-[PD_21]	0.9761499677385602
[PD_08]-[PD_09]	1.8802010091145833
[PD_08]-[PD_10]	0.9102777099609375
[PD_08]-[PD_11]	1.6362103053501673
[PD_08]-[PD_12]	1.582928670247396
[PD_08]-[PD_13]	0.7647050984700521
[PD_08]-[PD_14]	1.8806083170572916
[PD_08]-[PD_15]	1.4524393717447917
[PD_08]-[PD_16]	-0.08724603017171224
[PD_08]-[PD_17]	1.8387093098958334
[PD_08]-[PD_18]	1.8574971516927083
[PD_08]-[PD_19]	1.8410113941539417
[PD_08]-[PD_20]	1.094296671549479
[PD_08]-[PD_21]	1.094296671549479
[PD_09]-[PD_10]	1.0
[PD_09]-[PD_11]	2.0
[PD_09]-[PD_12]	1.7001148478190105
[PD_09]-[PD_13]	0.8019841003417969
[PD_09]-[PD_14]	2.0
[PD_09]-[PD_15]	1.5940990193684896
[PD_09]-[PD_16]	-0.002222222288449605
[PD_09]-[PD_17]	1.9792222086588542
[PD_09]-[PD_18]	1.97452392578125
[PD_09]-[PD_19]	1.978906273841858
[PD_09]-[PD_20]	1.2833918521278782
[PD_09]-[PD_21]	1.2833918521278782
[PD_10]-[PD_11]	1.0
[PD_10]-[PD_12]	0.7482552591959636
[PD_10]-[PD_13]	-0.18947091420491535
[PD_10]-[PD_14]	1.0
[PD_10]-[PD_15]	0.5964790344238281
[PD_10]-[PD_16]	-0.002222222288449605
[PD_10]-[PD_17]	0.9792222086588541
[PD_10]-[PD_18]	0.981107177734375
[PD_10]-[PD_19]	0.9829457600911459
[PD_10]-[PD_20]	0.5186716524281896
[PD_10]-[PD_21]	0.5186716524281896
[PD_11]-[PD_12]	1.641599358452691
[PD_11]-[PD_13]	0.7555555555555555
[PD_11]-[PD_14]	2.0
[PD_11]-[PD_15]	1.7275758531358507
[PD_11]-[PD_16]	0.0
[PD_11]-[PD_17]	2.0
[PD_11]-[PD_18]	1.878703816731771
[PD_11]-[PD_19]	2.0
[PD_11]-[PD_20]	1.0527945246015276
[PD_11]-[PD_21]	1.0527945246015276
[PD_12]-[PD_13]	0.6535627237955729
[PD_12]-[PD_14]	1.7319657389322918
[PD_12]-[PD_15]	1.3633394368489584
[PD_12]-[PD_16]	-0.2258343760172526
[PD_12]-[PD_17]	1.8440582275390625
[PD_12]-[PD_18]	1.732799072265625
[PD_12]-[PD_19]	1.686302007630814
[PD_12]-[PD_20]	1.0103519984654017
[PD_12]-[PD_21]	1.0103519984654017
[PD_13]-[PD_14]	0.8105290730794271
[PD_13]-[PD_15]	0.8105290730794271
[PD_13]-[PD_16]	-1.1896190388997396
[PD_13]-[PD_17]	0.8007697550455729
[PD_13]-[PD_18]	0.8007142130533854
[PD_13]-[PD_19]	0.815614567246548
[PD_13]-[PD_20]	0.390300062365998
[PD_13]-[PD_21]	0.390300062365998
[PD_14]-[PD_15]	1.5964789835611979
[PD_14]-[PD_16]	-0.0033333333333333335
[PD_14]-[PD_17]	1.9772220865885417
[PD_14]-[PD_18]	1.97577392578125
[PD_14]-[PD_19]	1.9790697910988977
[PD_14]-[PD_20]	1.3773835834703947
[PD_14]-[PD_21]	1.3773835834703947
[PD_15]-[PD_16]	-0.40574312845865884
[PD_15]-[PD_17]	1.5698124186197917
[PD_15]-[PD_18]	1.5734689331054688
[PD_15]-[PD_19]	1.6106345006661822
[PD_15]-[PD_20]	1.0900917913680686
[PD_15]-[PD_21]	1.0900917913680686
[PD_16]-[PD_17]	-0.01744444529215495
[PD_16]-[PD_18]	-0.01889285723368327
[PD_16]-[PD_19]	-0.011886304663133252
[PD_16]-[PD_20]	-0.4195953311776756
[PD_16]-[PD_21]	-0.4195953311776756
[PD_17]-[PD_18]	1.9419960530598959
[PD_17]-[PD_19]	1.9510335996169452
[PD_17]-[PD_20]	1.3491987644281602
[PD_17]-[PD_21]	1.3491987644281602
[PD_18]-[PD_19]	1.9514535120291303
[PD_18]-[PD_20]	1.2043190862899436
[PD_18]-[PD_21]	1.2043190862899436
[PD_19]-[PD_20]	1.3371054479318072
[PD_19]-[PD_21]	1.3371054479318072
