Perturbation	Synergies	Non-synergies
[PD_01]-[PD_02]	0	145
[PD_01]-[PD_03]	0	145
[PD_01]-[PD_04]	11	134
[PD_01]-[PD_05]	30	101
[PD_01]-[PD_06]	0	145
[PD_01]-[PD_07]	16	92
[PD_01]-[PD_08]	3	142
[PD_01]-[PD_09]	0	145
[PD_01]-[PD_10]	18	127
[PD_01]-[PD_11]	3	42
[PD_01]-[PD_12]	31	114
[PD_01]-[PD_13]	34	111
[PD_01]-[PD_14]	0	145
[PD_01]-[PD_15]	18	127
[PD_01]-[PD_16]	15	130
[PD_01]-[PD_17]	10	135
[PD_01]-[PD_18]	7	138
[PD_01]-[PD_19]	0	113
[PD_01]-[PD_20]	42	71
[PD_01]-[PD_21]	42	71
[PD_02]-[PD_03]	0	149
[PD_02]-[PD_04]	12	137
[PD_02]-[PD_05]	96	49
[PD_02]-[PD_06]	0	149
[PD_02]-[PD_07]	68	43
[PD_02]-[PD_08]	0	149
[PD_02]-[PD_09]	0	149
[PD_02]-[PD_10]	36	113
[PD_02]-[PD_11]	12	32
[PD_02]-[PD_12]	55	94
[PD_02]-[PD_13]	52	97
[PD_02]-[PD_14]	2	147
[PD_02]-[PD_15]	35	114
[PD_02]-[PD_16]	36	113
[PD_02]-[PD_17]	20	129
[PD_02]-[PD_18]	13	136
[PD_02]-[PD_19]	0	114
[PD_02]-[PD_20]	91	41
[PD_02]-[PD_21]	91	41
[PD_03]-[PD_04]	16	133
[PD_03]-[PD_05]	99	46
[PD_03]-[PD_06]	0	149
[PD_03]-[PD_07]	70	41
[PD_03]-[PD_08]	1	148
[PD_03]-[PD_09]	0	149
[PD_03]-[PD_10]	31	118
[PD_03]-[PD_11]	9	35
[PD_03]-[PD_12]	54	95
[PD_03]-[PD_13]	50	99
[PD_03]-[PD_14]	0	149
[PD_03]-[PD_15]	25	124
[PD_03]-[PD_16]	33	116
[PD_03]-[PD_17]	12	137
[PD_03]-[PD_18]	15	134
[PD_03]-[PD_19]	0	114
[PD_03]-[PD_20]	90	42
[PD_03]-[PD_21]	90	42
[PD_04]-[PD_05]	19	127
[PD_04]-[PD_06]	7	142
[PD_04]-[PD_07]	23	86
[PD_04]-[PD_08]	5	145
[PD_04]-[PD_09]	5	145
[PD_04]-[PD_10]	17	133
[PD_04]-[PD_11]	12	33
[PD_04]-[PD_12]	7	143
[PD_04]-[PD_13]	5	145
[PD_04]-[PD_14]	0	150
[PD_04]-[PD_15]	20	130
[PD_04]-[PD_16]	19	131
[PD_04]-[PD_17]	21	129
[PD_04]-[PD_18]	1	149
[PD_04]-[PD_19]	2	127
[PD_04]-[PD_20]	20	113
[PD_04]-[PD_21]	20	113
[PD_05]-[PD_06]	88	57
[PD_05]-[PD_07]	0	112
[PD_05]-[PD_08]	55	91
[PD_05]-[PD_09]	37	109
