,drug_name_A,drug_name_B,cell_line,synergy,PD_A,PD_B,Perturbation,drug_combination,inhibitor_group_A,inhibitor_group_B,inhibitor_combination,targets_A,targets_B,target_combination
59,Everolimus,Navitoclax,LS123,22.47634247,PD_03,PD_09,PD_03-PD_09,Everolimus + Navitoclax,mTOR_inhibitors,BCL2L1_inhibitors,mTOR_inhibitors + BCL2L1_inhibitors,"['mTOR_c2', 'mTOR_c1']","['BCL2L1', 'BCL2']","['mTOR_c2', 'mTOR_c1'] + ['BCL2L1', 'BCL2']"
60,Everolimus,Neratinib,LS123,19.21354686,PD_03,PD_04,PD_03-PD_04,Everolimus + Neratinib,mTOR_inhibitors,EGFR_inhibitors,mTOR_inhibitors + EGFR_inhibitors,"['mTOR_c2', 'mTOR_c1']","['ERBB2', 'EGFR']","['mTOR_c2', 'mTOR_c1'] + ['ERBB2', 'EGFR']"
61,Everolimus,Obatoclax Mesylate,LS123,7.019402796,PD_03,PD_10,PD_03-PD_10,Everolimus + Obatoclax Mesylate,mTOR_inhibitors,BCL2_inhibitors,mTOR_inhibitors + BCL2_inhibitors,"['mTOR_c2', 'mTOR_c1']",['BCL2'],"['mTOR_c2', 'mTOR_c1'] + ['BCL2']"
62,Everolimus,oxaliplatin,LS123,5.50529467,PD_03,,PD_03-nan,Everolimus + oxaliplatin,mTOR_inhibitors,,,"['mTOR_c2', 'mTOR_c1']",,
63,Everolimus,Palbociclib,LS123,12.65190289,PD_03,PD_08,PD_03-PD_08,Everolimus + Palbociclib,mTOR_inhibitors,CyclinD_inhibitors,mTOR_inhibitors + CyclinD_inhibitors,"['mTOR_c2', 'mTOR_c1']","['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2']","['mTOR_c2', 'mTOR_c1'] + ['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2']"
64,Everolimus,SN-38,LS123,9.902506838,PD_03,,PD_03-nan,Everolimus + SN-38,mTOR_inhibitors,,,"['mTOR_c2', 'mTOR_c1']",,
65,Everolimus,Ulixertinib,LS123,12.79959246,PD_03,PD_11,PD_03-PD_11,Everolimus + Ulixertinib,mTOR_inhibitors,ERK_inhibitors,mTOR_inhibitors + ERK_inhibitors,"['mTOR_c2', 'mTOR_c1']",['ERK_f'],"['mTOR_c2', 'mTOR_c1'] + ['ERK_f']"
66,Ipatasertib,Lapatinib,LS123,10.21483022,PD_01,PD_04,PD_01-PD_04,Ipatasertib + Lapatinib,AKT_inhibitors,EGFR_inhibitors,AKT_inhibitors + EGFR_inhibitors,['AKT1'],"['ERBB2', 'EGFR']","['AKT1'] + ['ERBB2', 'EGFR']"
67,Ipatasertib,Neratinib,LS123,12.23367633,PD_01,PD_04,PD_01-PD_04,Ipatasertib + Neratinib,AKT_inhibitors,EGFR_inhibitors,AKT_inhibitors + EGFR_inhibitors,['AKT1'],"['ERBB2', 'EGFR']","['AKT1'] + ['ERBB2', 'EGFR']"
68,PF 477736,MK-1775 (Advosertib),LS123,20.40999284,PD_02,PD_06,PD_02-PD_06,PF 477736 + MK-1775 (Advosertib),CHK1_inhibitors,Wee1_inhibitors,CHK1_inhibitors + Wee1_inhibitors,"['CHEK1', 'CHEK2']","['WEE1', 'PLK1']","['CHEK1', 'CHEK2'] + ['WEE1', 'PLK1']"
69,PF 477736,Niraparib,LS123,10.184352,PD_02,PD_05,PD_02-PD_05,PF 477736 + Niraparib,CHK1_inhibitors,PARP_inhibitors,CHK1_inhibitors + PARP_inhibitors,"['CHEK1', 'CHEK2']",['PARP1'],"['CHEK1', 'CHEK2'] + ['PARP1']"
70,PF 477736,Olaparib,LS123,4.614453739,PD_02,PD_05,PD_02-PD_05,PF 477736 + Olaparib,CHK1_inhibitors,PARP_inhibitors,CHK1_inhibitors + PARP_inhibitors,"['CHEK1', 'CHEK2']",['PARP1'],"['CHEK1', 'CHEK2'] + ['PARP1']"
71,PF 477736,Palbociclib,LS123,8.685350146,PD_02,PD_08,PD_02-PD_08,PF 477736 + Palbociclib,CHK1_inhibitors,CyclinD_inhibitors,CHK1_inhibitors + CyclinD_inhibitors,"['CHEK1', 'CHEK2']","['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2']","['CHEK1', 'CHEK2'] + ['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2']"
72,PF 477736,PF-3644022,LS123,25.53233385,PD_02,PD_07,PD_02-PD_07,PF 477736 + PF-3644022,CHK1_inhibitors,MK2_inhibitors,CHK1_inhibitors + MK2_inhibitors,"['CHEK1', 'CHEK2']",['MAPKAPK2'],"['CHEK1', 'CHEK2'] + ['MAPKAPK2']"
73,Prexasertib,MK-1775 (Advosertib),LS123,8.780034057,PD_02,PD_06,PD_02-PD_06,Prexasertib + MK-1775 (Advosertib),CHK1_inhibitors,Wee1_inhibitors,CHK1_inhibitors + Wee1_inhibitors,"['CHEK1', 'CHEK2']","['WEE1', 'PLK1']","['CHEK1', 'CHEK2'] + ['WEE1', 'PLK1']"
74,Prexasertib,Niraparib,LS123,-1.071659666,PD_02,PD_05,PD_02-PD_05,Prexasertib + Niraparib,CHK1_inhibitors,PARP_inhibitors,CHK1_inhibitors + PARP_inhibitors,"['CHEK1', 'CHEK2']",['PARP1'],"['CHEK1', 'CHEK2'] + ['PARP1']"
75,Prexasertib,Olaparib,LS123,-0.134717529,PD_02,PD_05,PD_02-PD_05,Prexasertib + Olaparib,CHK1_inhibitors,PARP_inhibitors,CHK1_inhibitors + PARP_inhibitors,"['CHEK1', 'CHEK2']",['PARP1'],"['CHEK1', 'CHEK2'] + ['PARP1']"
76,Prexasertib,Palbociclib,LS123,-6.207792232,PD_02,PD_08,PD_02-PD_08,Prexasertib + Palbociclib,CHK1_inhibitors,CyclinD_inhibitors,CHK1_inhibitors + CyclinD_inhibitors,"['CHEK1', 'CHEK2']","['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2']","['CHEK1', 'CHEK2'] + ['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2']"
77,Prexasertib,PF-3644022,LS123,6.114808481,PD_02,PD_07,PD_02-PD_07,Prexasertib + PF-3644022,CHK1_inhibitors,MK2_inhibitors,CHK1_inhibitors + MK2_inhibitors,"['CHEK1', 'CHEK2']",['MAPKAPK2'],"['CHEK1', 'CHEK2'] + ['MAPKAPK2']"
78,Torin 1,Capivasertib,LS123,15.13893238,PD_03,PD_01,PD_03-PD_01,Torin 1 + Capivasertib,mTOR_inhibitors,AKT_inhibitors,mTOR_inhibitors + AKT_inhibitors,"['mTOR_c2', 'mTOR_c1']",['AKT1'],"['mTOR_c2', 'mTOR_c1'] + ['AKT1']"
79,Torin 1,Ipatasertib,LS123,14.13863192,PD_03,PD_01,PD_03-PD_01,Torin 1 + Ipatasertib,mTOR_inhibitors,AKT_inhibitors,mTOR_inhibitors + AKT_inhibitors,"['mTOR_c2', 'mTOR_c1']",['AKT1'],"['mTOR_c2', 'mTOR_c1'] + ['AKT1']"
80,Torin 1,Lapatinib,LS123,12.5373738,PD_03,PD_04,PD_03-PD_04,Torin 1 + Lapatinib,mTOR_inhibitors,EGFR_inhibitors,mTOR_inhibitors + EGFR_inhibitors,"['mTOR_c2', 'mTOR_c1']","['ERBB2', 'EGFR']","['mTOR_c2', 'mTOR_c1'] + ['ERBB2', 'EGFR']"
81,Torin 1,Navitoclax,LS123,13.34521376,PD_03,PD_09,PD_03-PD_09,Torin 1 + Navitoclax,mTOR_inhibitors,BCL2L1_inhibitors,mTOR_inhibitors + BCL2L1_inhibitors,"['mTOR_c2', 'mTOR_c1']","['BCL2L1', 'BCL2']","['mTOR_c2', 'mTOR_c1'] + ['BCL2L1', 'BCL2']"
82,Torin 1,Neratinib,LS123,11.18030887,PD_03,PD_04,PD_03-PD_04,Torin 1 + Neratinib,mTOR_inhibitors,EGFR_inhibitors,mTOR_inhibitors + EGFR_inhibitors,"['mTOR_c2', 'mTOR_c1']","['ERBB2', 'EGFR']","['mTOR_c2', 'mTOR_c1'] + ['ERBB2', 'EGFR']"
83,Torin 1,Obatoclax Mesylate,LS123,8.464582567,PD_03,PD_10,PD_03-PD_10,Torin 1 + Obatoclax Mesylate,mTOR_inhibitors,BCL2_inhibitors,mTOR_inhibitors + BCL2_inhibitors,"['mTOR_c2', 'mTOR_c1']",['BCL2'],"['mTOR_c2', 'mTOR_c1'] + ['BCL2']"
84,Torin 1,oxaliplatin,LS123,2.923174325,PD_03,,PD_03-nan,Torin 1 + oxaliplatin,mTOR_inhibitors,,,"['mTOR_c2', 'mTOR_c1']",,
85,Torin 1,Palbociclib,LS123,12.60253059,PD_03,PD_08,PD_03-PD_08,Torin 1 + Palbociclib,mTOR_inhibitors,CyclinD_inhibitors,mTOR_inhibitors + CyclinD_inhibitors,"['mTOR_c2', 'mTOR_c1']","['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2']","['mTOR_c2', 'mTOR_c1'] + ['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2']"
