Perturbation	Synergies	Non-synergies
[PD_01]-[PD_02]	0	123
[PD_01]-[PD_03]	0	123
[PD_01]-[PD_04]	5	118
[PD_01]-[PD_05]	42	71
[PD_01]-[PD_06]	0	122
[PD_01]-[PD_07]	21	69
[PD_01]-[PD_08]	6	117
[PD_01]-[PD_09]	1	122
[PD_01]-[PD_10]	22	101
[PD_01]-[PD_11]	0	0
[PD_01]-[PD_12]	10	113
[PD_01]-[PD_13]	26	96
[PD_01]-[PD_14]	0	120
[PD_01]-[PD_15]	21	102
[PD_01]-[PD_16]	18	105
[PD_01]-[PD_17]	6	117
[PD_01]-[PD_18]	3	120
[PD_01]-[PD_19]	0	85
[PD_01]-[PD_20]	51	51
[PD_01]-[PD_21]	51	51
[PD_02]-[PD_03]	0	145
[PD_02]-[PD_04]	5	140
[PD_02]-[PD_05]	96	43
[PD_02]-[PD_06]	0	144
[PD_02]-[PD_07]	69	21
[PD_02]-[PD_08]	0	145
[PD_02]-[PD_09]	0	145
[PD_02]-[PD_10]	50	95
[PD_02]-[PD_11]	0	0
[PD_02]-[PD_12]	22	123
[PD_02]-[PD_13]	54	90
[PD_02]-[PD_14]	2	140
[PD_02]-[PD_15]	43	102
[PD_02]-[PD_16]	48	97
[PD_02]-[PD_17]	15	130
[PD_02]-[PD_18]	20	125
[PD_02]-[PD_19]	0	102
[PD_02]-[PD_20]	110	22
[PD_02]-[PD_21]	110	22
[PD_03]-[PD_04]	6	139
[PD_03]-[PD_05]	94	45
[PD_03]-[PD_06]	3	141
[PD_03]-[PD_07]	64	26
[PD_03]-[PD_08]	1	144
[PD_03]-[PD_09]	0	145
[PD_03]-[PD_10]	48	97
[PD_03]-[PD_11]	0	0
[PD_03]-[PD_12]	23	122
[PD_03]-[PD_13]	54	90
[PD_03]-[PD_14]	2	140
[PD_03]-[PD_15]	44	101
[PD_03]-[PD_16]	46	99
[PD_03]-[PD_17]	13	132
[PD_03]-[PD_18]	20	125
[PD_03]-[PD_19]	0	102
[PD_03]-[PD_20]	109	23
[PD_03]-[PD_21]	109	23
[PD_04]-[PD_05]	25	119
[PD_04]-[PD_06]	5	139
[PD_04]-[PD_07]	20	69
[PD_04]-[PD_08]	2	148
[PD_04]-[PD_09]	0	150
[PD_04]-[PD_10]	4	146
[PD_04]-[PD_11]	0	0
[PD_04]-[PD_12]	1	149
[PD_04]-[PD_13]	6	143
[PD_04]-[PD_14]	0	146
[PD_04]-[PD_15]	6	144
[PD_04]-[PD_16]	5	145
[PD_04]-[PD_17]	7	143
[PD_04]-[PD_18]	0	150
[PD_04]-[PD_19]	2	108
[PD_04]-[PD_20]	25	112
[PD_04]-[PD_21]	25	112
[PD_05]-[PD_06]	91	47
[PD_05]-[PD_07]	0	95
[PD_05]-[PD_08]	65	79
[PD_05]-[PD_09]	29	115
[PD_05]-[PD_10]	79	65
[PD_05]-[PD_11]	0	0
[PD_05]-[PD_12]	49	95
[PD_05]-[PD_13]	74	69
[PD_05]-[PD_14]	4	136
[PD_05]-[PD_15]	48	96
[PD_05]-[PD_16]	85	59
[PD_05]-[PD_17]	14	130
[PD_05]-[PD_18]	37	107
[PD_05]-[PD_19]	5	105
[PD_05]-[PD_20]	0	137
[PD_05]-[PD_21]	0	137
[PD_06]-[PD_07]	67	22
[PD_06]-[PD_08]	0	144
[PD_06]-[PD_09]	0	144
[PD_06]-[PD_10]	43	101
[PD_06]-[PD_11]	0	0
[PD_06]-[PD_12]	15	129
[PD_06]-[PD_13]	51	92
[PD_06]-[PD_14]	2	139
[PD_06]-[PD_15]	41	103
[PD_06]-[PD_16]	43	101
[PD_06]-[PD_17]	12	132
[PD_06]-[PD_18]	2	142
[PD_06]-[PD_19]	0	102
[PD_06]-[PD_20]	102	27
[PD_06]-[PD_21]	102	27
[PD_07]-[PD_08]	53	42
[PD_07]-[PD_09]	26	69
[PD_07]-[PD_10]	55	40
[PD_07]-[PD_11]	0	0
[PD_07]-[PD_12]	38	57
[PD_07]-[PD_13]	61	34
[PD_07]-[PD_14]	5	85
[PD_07]-[PD_15]	39	56
[PD_07]-[PD_16]	72	23
[PD_07]-[PD_17]	0	95
[PD_07]-[PD_18]	33	62
[PD_07]-[PD_19]	0	68
[PD_07]-[PD_20]	0	95
[PD_07]-[PD_21]	0	95
[PD_08]-[PD_09]	0	150
[PD_08]-[PD_10]	31	119
[PD_08]-[PD_11]	0	0
[PD_08]-[PD_12]	13	137
[PD_08]-[PD_13]	44	105
[PD_08]-[PD_14]	1	145
[PD_08]-[PD_15]	25	125
[PD_08]-[PD_16]	31	119
[PD_08]-[PD_17]	8	142
[PD_08]-[PD_18]	18	132
[PD_08]-[PD_19]	2	108
[PD_08]-[PD_20]	70	67
[PD_08]-[PD_21]	70	67
[PD_09]-[PD_10]	0	150
[PD_09]-[PD_11]	0	0
[PD_09]-[PD_12]	3	147
[PD_09]-[PD_13]	2	147
[PD_09]-[PD_14]	0	146
[PD_09]-[PD_15]	3	147
[PD_09]-[PD_16]	0	150
[PD_09]-[PD_17]	2	148
[PD_09]-[PD_18]	0	150
[PD_09]-[PD_19]	2	108
[PD_09]-[PD_20]	29	108
[PD_09]-[PD_21]	29	108
[PD_10]-[PD_11]	0	0
[PD_10]-[PD_12]	12	138
[PD_10]-[PD_13]	139	10
[PD_10]-[PD_14]	0	146
[PD_10]-[PD_15]	89	61
[PD_10]-[PD_16]	0	150
[PD_10]-[PD_17]	18	132
[PD_10]-[PD_18]	1	149
[PD_10]-[PD_19]	6	104
[PD_10]-[PD_20]	86	51
[PD_10]-[PD_21]	86	51
[PD_11]-[PD_12]	0	0
[PD_11]-[PD_13]	0	0
[PD_11]-[PD_14]	0	0
[PD_11]-[PD_15]	0	0
[PD_11]-[PD_16]	0	0
[PD_11]-[PD_17]	0	0
[PD_11]-[PD_18]	0	0
[PD_11]-[PD_19]	0	0
[PD_11]-[PD_20]	0	0
[PD_11]-[PD_21]	0	0
[PD_12]-[PD_13]	15	134
[PD_12]-[PD_14]	0	146
[PD_12]-[PD_15]	12	138
[PD_12]-[PD_16]	12	138
[PD_12]-[PD_17]	0	150
[PD_12]-[PD_18]	0	150
[PD_12]-[PD_19]	3	107
[PD_12]-[PD_20]	49	88
[PD_12]-[PD_21]	49	88
[PD_13]-[PD_14]	0	146
[PD_13]-[PD_15]	0	149
[PD_13]-[PD_16]	139	10
[PD_13]-[PD_17]	10	139
[PD_13]-[PD_18]	5	144
[PD_13]-[PD_19]	6	103
[PD_13]-[PD_20]	75	60
[PD_13]-[PD_21]	75	60
[PD_14]-[PD_15]	0	146
[PD_14]-[PD_16]	0	146
[PD_14]-[PD_17]	1	143
[PD_14]-[PD_18]	0	146
[PD_14]-[PD_19]	0	106
[PD_14]-[PD_20]	5	128
[PD_14]-[PD_21]	5	128
[PD_15]-[PD_16]	89	61
[PD_15]-[PD_17]	11	139
[PD_15]-[PD_18]	1	149
[PD_15]-[PD_19]	2	108
[PD_15]-[PD_20]	44	92
[PD_15]-[PD_21]	44	92
[PD_16]-[PD_17]	16	134
[PD_16]-[PD_18]	1	149
[PD_16]-[PD_19]	3	107
[PD_16]-[PD_20]	94	43
[PD_16]-[PD_21]	94	43
[PD_17]-[PD_18]	1	149
[PD_17]-[PD_19]	3	107
[PD_17]-[PD_20]	18	119
[PD_17]-[PD_21]	18	119
[PD_18]-[PD_19]	0	110
[PD_18]-[PD_20]	39	98
[PD_18]-[PD_21]	39	98
[PD_19]-[PD_20]	7	95
[PD_19]-[PD_21]	7	95
[PD_20]-[PD_21]	0	137
