Perturbation	Synergies	Non-synergies
[PD_01]-[PD_02]	0	132
[PD_01]-[PD_03]	0	132
[PD_01]-[PD_04]	2	130
[PD_01]-[PD_05]	20	112
[PD_01]-[PD_06]	0	132
[PD_01]-[PD_07]	5	90
[PD_01]-[PD_08]	18	114
[PD_01]-[PD_09]	4	125
[PD_01]-[PD_10]	21	111
[PD_01]-[PD_11]	0	0
[PD_01]-[PD_12]	25	107
[PD_01]-[PD_13]	28	104
[PD_01]-[PD_14]	2	130
[PD_01]-[PD_15]	22	110
[PD_01]-[PD_16]	16	116
[PD_01]-[PD_17]	10	122
[PD_01]-[PD_18]	4	128
[PD_01]-[PD_19]	0	112
[PD_01]-[PD_20]	43	55
[PD_01]-[PD_21]	43	55
[PD_02]-[PD_03]	0	147
[PD_02]-[PD_04]	3	144
[PD_02]-[PD_05]	94	53
[PD_02]-[PD_06]	0	147
[PD_02]-[PD_07]	61	35
[PD_02]-[PD_08]	0	147
[PD_02]-[PD_09]	0	147
[PD_02]-[PD_10]	50	97
[PD_02]-[PD_11]	0	0
[PD_02]-[PD_12]	45	102
[PD_02]-[PD_13]	53	94
[PD_02]-[PD_14]	3	144
[PD_02]-[PD_15]	41	106
[PD_02]-[PD_16]	44	103
[PD_02]-[PD_17]	35	112
[PD_02]-[PD_18]	19	128
[PD_02]-[PD_19]	0	124
[PD_02]-[PD_20]	103	29
[PD_02]-[PD_21]	103	29
[PD_03]-[PD_04]	3	144
[PD_03]-[PD_05]	95	52
[PD_03]-[PD_06]	0	146
[PD_03]-[PD_07]	60	36
[PD_03]-[PD_08]	0	147
[PD_03]-[PD_09]	0	147
[PD_03]-[PD_10]	49	98
[PD_03]-[PD_11]	0	0
[PD_03]-[PD_12]	45	102
[PD_03]-[PD_13]	53	94
[PD_03]-[PD_14]	3	144
[PD_03]-[PD_15]	39	108
[PD_03]-[PD_16]	44	103
[PD_03]-[PD_17]	24	123
[PD_03]-[PD_18]	18	129
[PD_03]-[PD_19]	0	124
[PD_03]-[PD_20]	103	29
[PD_03]-[PD_21]	103	29
[PD_04]-[PD_05]	14	136
[PD_04]-[PD_06]	3	144
[PD_04]-[PD_07]	22	75
[PD_04]-[PD_08]	2	148
[PD_04]-[PD_09]	0	150
[PD_04]-[PD_10]	5	145
[PD_04]-[PD_11]	0	0
[PD_04]-[PD_12]	2	148
[PD_04]-[PD_13]	0	150
[PD_04]-[PD_14]	0	150
[PD_04]-[PD_15]	7	143
[PD_04]-[PD_16]	5	145
[PD_04]-[PD_17]	17	133
[PD_04]-[PD_18]	0	150
[PD_04]-[PD_19]	0	133
[PD_04]-[PD_20]	24	111
[PD_04]-[PD_21]	24	111
[PD_05]-[PD_06]	90	57
[PD_05]-[PD_07]	0	99
[PD_05]-[PD_08]	55	95
[PD_05]-[PD_09]	43	107
[PD_05]-[PD_10]	66	84
[PD_05]-[PD_11]	0	0
[PD_05]-[PD_12]	66	84
[PD_05]-[PD_13]	70	80
[PD_05]-[PD_14]	6	144
[PD_05]-[PD_15]	43	107
[PD_05]-[PD_16]	71	79
[PD_05]-[PD_17]	13	137
[PD_05]-[PD_18]	52	98
[PD_05]-[PD_19]	1	132
[PD_05]-[PD_20]	0	135
[PD_05]-[PD_21]	0	135
[PD_06]-[PD_07]	59	37
[PD_06]-[PD_08]	0	147
[PD_06]-[PD_09]	0	147
[PD_06]-[PD_10]	39	108
[PD_06]-[PD_11]	0	0
[PD_06]-[PD_12]	39	108
[PD_06]-[PD_13]	49	98
[PD_06]-[PD_14]	1	146
[PD_06]-[PD_15]	33	114
[PD_06]-[PD_16]	38	109
