Perturbation	Synergies	Non-synergies
[PD_10]-[PD_21]	71	72
[PD_11]-[PD_12]	8	89
[PD_11]-[PD_13]	7	90
[PD_11]-[PD_14]	0	97
[PD_11]-[PD_15]	3	94
[PD_11]-[PD_16]	0	97
[PD_11]-[PD_17]	0	97
[PD_11]-[PD_18]	3	94
[PD_11]-[PD_19]	0	97
[PD_11]-[PD_20]	44	52
[PD_11]-[PD_21]	44	52
[PD_12]-[PD_13]	24	126
[PD_12]-[PD_14]	0	150
[PD_12]-[PD_15]	15	135
[PD_12]-[PD_16]	27	123
[PD_12]-[PD_17]	0	150
[PD_12]-[PD_18]	2	148
[PD_12]-[PD_19]	8	133
[PD_12]-[PD_20]	66	77
[PD_12]-[PD_21]	66	77
[PD_13]-[PD_14]	0	150
[PD_13]-[PD_15]	0	150
[PD_13]-[PD_16]	141	9
[PD_13]-[PD_17]	5	145
[PD_13]-[PD_18]	2	148
[PD_13]-[PD_19]	9	132
[PD_13]-[PD_20]	80	63
[PD_13]-[PD_21]	80	63
[PD_14]-[PD_15]	0	150
[PD_14]-[PD_16]	0	150
[PD_14]-[PD_17]	1	149
[PD_14]-[PD_18]	0	150
[PD_14]-[PD_19]	1	140
[PD_14]-[PD_20]	8	135
[PD_14]-[PD_21]	8	135
[PD_15]-[PD_16]	64	86
[PD_15]-[PD_17]	8	142
[PD_15]-[PD_18]	0	150
[PD_15]-[PD_19]	7	134
[PD_15]-[PD_20]	48	95
[PD_15]-[PD_21]	48	95
[PD_16]-[PD_17]	4	146
[PD_16]-[PD_18]	3	147
[PD_16]-[PD_19]	5	136
[PD_16]-[PD_20]	76	67
[PD_16]-[PD_21]	76	67
[PD_17]-[PD_18]	6	144
[PD_17]-[PD_19]	3	138
[PD_17]-[PD_20]	19	124
[PD_17]-[PD_21]	19	124
[PD_18]-[PD_19]	1	140
[PD_18]-[PD_20]	41	102
[PD_18]-[PD_21]	41	102
[PD_19]-[PD_20]	4	132
[PD_19]-[PD_21]	4	132
[PD_20]-[PD_21]	0	143
