Perturbation	Synergies	Non-synergies
[PD_01]-[PD_02]	0	147
[PD_01]-[PD_03]	0	147
[PD_01]-[PD_04]	8	139
[PD_01]-[PD_05]	44	96
[PD_01]-[PD_06]	0	147
[PD_01]-[PD_07]	29	87
[PD_01]-[PD_08]	18	129
[PD_01]-[PD_09]	8	139
[PD_01]-[PD_10]	31	116
[PD_01]-[PD_11]	0	9
[PD_01]-[PD_12]	36	111
[PD_01]-[PD_13]	46	101
[PD_01]-[PD_14]	0	147
[PD_01]-[PD_15]	28	119
[PD_01]-[PD_16]	29	118
[PD_01]-[PD_17]	12	135
[PD_01]-[PD_18]	4	143
[PD_01]-[PD_19]	0	89
[PD_01]-[PD_20]	59	63
[PD_01]-[PD_21]	59	63
[PD_02]-[PD_03]	0	150
[PD_02]-[PD_04]	6	144
[PD_02]-[PD_05]	94	54
[PD_02]-[PD_06]	0	150
[PD_02]-[PD_07]	75	42
[PD_02]-[PD_08]	0	150
[PD_02]-[PD_09]	0	150
[PD_02]-[PD_10]	40	110
[PD_02]-[PD_11]	4	5
[PD_02]-[PD_12]	51	99
[PD_02]-[PD_13]	58	92
[PD_02]-[PD_14]	2	148
[PD_02]-[PD_15]	35	115
[PD_02]-[PD_16]	46	104
[PD_02]-[PD_17]	24	126
[PD_02]-[PD_18]	16	134
[PD_02]-[PD_19]	2	92
[PD_02]-[PD_20]	98	40
[PD_02]-[PD_21]	98	40
[PD_03]-[PD_04]	9	141
[PD_03]-[PD_05]	100	48
[PD_03]-[PD_06]	1	149
[PD_03]-[PD_07]	77	40
[PD_03]-[PD_08]	3	147
[PD_03]-[PD_09]	0	150
[PD_03]-[PD_10]	40	110
[PD_03]-[PD_11]	3	6
[PD_03]-[PD_12]	56	94
[PD_03]-[PD_13]	59	91
[PD_03]-[PD_14]	2	148
[PD_03]-[PD_15]	34	116
[PD_03]-[PD_16]	46	104
[PD_03]-[PD_17]	13	137
[PD_03]-[PD_18]	19	131
[PD_03]-[PD_19]	2	92
[PD_03]-[PD_20]	99	39
[PD_03]-[PD_21]	99	39
[PD_04]-[PD_05]	16	132
[PD_04]-[PD_06]	5	145
