Perturbation	Synergies	Non-synergies
[PD_03]-[PD_08]	38	77
[PD_02]-[PD_07]	2	148
[PD_02]-[PD_08]	1	149
[PD_01]-[PD_04]	15	20
[PD_02]-[PD_06]	0	150
[PD_02]-[PD_05]	0	150
[PD_01]-[PD_03]	2	95
[PD_03]-[PD_10]	28	87
[PD_03]-[PD_09]	39	76
[PD_03]-[PD_04]	17	39
[PD_03]-[PD_11]	46	63
