Perturbation	Synergies	Non-synergies
[PD_13]-[PD_16]	135	15
[PD_13]-[PD_17]	7	143
[PD_13]-[PD_18]	10	140
[PD_13]-[PD_19]	13	117
[PD_13]-[PD_20]	72	69
[PD_13]-[PD_21]	72	69
[PD_14]-[PD_15]	1	149
[PD_14]-[PD_16]	0	150
[PD_14]-[PD_17]	0	150
[PD_14]-[PD_18]	0	150
[PD_14]-[PD_19]	2	128
[PD_14]-[PD_20]	4	137
[PD_14]-[PD_21]	4	137
[PD_15]-[PD_16]	85	65
[PD_15]-[PD_17]	13	137
[PD_15]-[PD_18]	8	142
[PD_15]-[PD_19]	4	126
[PD_15]-[PD_20]	45	96
[PD_15]-[PD_21]	45	96
[PD_16]-[PD_17]	4	146
[PD_16]-[PD_18]	5	145
[PD_16]-[PD_19]	10	120
[PD_16]-[PD_20]	92	49
[PD_16]-[PD_21]	92	49
[PD_17]-[PD_18]	1	149
[PD_17]-[PD_19]	0	130
[PD_17]-[PD_20]	18	123
[PD_17]-[PD_21]	18	123
[PD_18]-[PD_19]	3	127
[PD_18]-[PD_20]	42	99
[PD_18]-[PD_21]	42	99
[PD_19]-[PD_20]	7	113
[PD_19]-[PD_21]	7	113
[PD_20]-[PD_21]	0	141
