Perturbation	Average	SD	Data
[PD_01]	0.7146665954589844	0.6381009221227141	1.0	0.5	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.5	0.5	1.5	1.0	0.6	0.0	0.0	0.0	1.0	1.0	1.5	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.5	2.0	0.0	0.6666667	0.6666667	1.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.8	0.5	0.5	0.0	1.0	0.0	1.0	2.0
[PD_02]	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
[PD_03]	0.0	0.0
[PD_05]	1.75	0.6408699444616557	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	0.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	-1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.5	2.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	2.0
[PD_06]	0.975	0.12626906806902632	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5	1.0	1.0	0.25	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
[PD_07]	1.84	0.40957917676661293	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.5	2.0	2.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.5	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0
[PD_08]	1.641046905517578	0.42266526163170376	1.6764706	1.7575758	1.1025641	1.2058823	1.375	1.054054	1.9090909	2.0	1.1666666	1.6756756	1.8787879	1.8787879	1.6296296	0.3	0.84615386	1.6875	2.0	1.7647059	2.0	2.0	1.9375	2.0	1.4864864	2.0	2.0	1.6470588	2.0	0.68421054	1.875	2.0	1.25	2.0	2.0	1.2162162	1.6451613	2.0	2.0	1.3793104	1.5	0.9836066	1.409836	2.0	2.0	0.8888889	1.9375	1.7575758	2.0	2.0	1.5454545	2.0
[PD_09]	1.7314151000976563	0.29223761661562064	1.6764706	1.7575758	1.4	1.6756756	1.625	2.0	1.4	1.4473684	1.9090909	1.3571428	1.8787879	1.76	1.8787879	1.3076923	1.6875	0.7368421	1.7647059	2.0	2.0	2.0	1.9375	1.6470588	2.0	1.4864864	1.0425532	2.0	2.0	2.0	2.0	1.6451613	1.875	2.0	1.4878049	2.0	2.0	1.46	2.0	1.6551725	1.5	1.4576272	1.5932204	2.0	2.0	1.28	1.7575758	1.9375	2.0	1.5454545	2.0	2.0
[PD_10]	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
[PD_11]	1.641046905517578	0.4226652616317037	1.6764706	1.1025641	1.6756756	1.2058823	1.9090909	1.7575758	1.375	1.8787879	1.8787879	1.054054	1.6296296	1.7647059	2.0	1.1666666	0.3	0.84615386	2.0	2.0	1.6875	2.0	1.9375	1.4864864	2.0	1.6470588	2.0	0.68421054	2.0	1.6451613	2.0	2.0	1.2162162	1.875	2.0	2.0	2.0	2.0	1.25	1.3793104	1.5	0.9836066	1.9375	1.409836	2.0	2.0	1.7575758	0.8888889	2.0	2.0	1.5454545	2.0
