,drug_combination,cell_line,synergy
112,Taselisib + MK-2206,CCK81,0.0
113,Taselisib + Navitoclax,CCK81,1.0
114,Taselisib + OSI-027,CCK81,1.0
115,Taselisib + Olaparib,CCK81,1.0
116,Taselisib + Palbociclib,CCK81,1.0
117,Taselisib + Sapitinib,CCK81,1.0
118,Taselisib + Trametinib,CCK81,1.0
119,Trametinib + Afatinib,CCK81,1.0
120,Trametinib + LGK974,CCK81,0.0
121,Trametinib + Linsitinib,CCK81,1.0
122,Trametinib + MK-2206,CCK81,1.0
123,Trametinib + Navitoclax,CCK81,1.0
124,Trametinib + Olaparib,CCK81,1.0
125,Trametinib + Palbociclib,CCK81,1.0
126,Trametinib + Pictilisib,CCK81,1.0
127,Trametinib + SCH772984,CCK81,0.0
128,Trametinib + Taselisib,CCK81,1.0
129,AZD7762 + Cisplatin,CL11,1.0
130,AZD7762 + MK-1775,CL11,1.0
131,Lapatinib + Crizotinib,CL11,1.0
132,Lapatinib + Dabrafenib,CL11,0.0
133,Lapatinib + LGK974,CL11,0.0
134,Lapatinib + Linsitinib,CL11,0.0
135,Lapatinib + MK-2206,CL11,1.0
136,Lapatinib + Navitoclax,CL11,1.0
137,Lapatinib + PD173074,CL11,1.0
138,Lapatinib + Palbociclib,CL11,1.0
139,Lapatinib + Pictilisib,CL11,0.0
140,Lapatinib + Taselisib,CL11,0.0
141,Lapatinib + Trametinib,CL11,1.0
142,MK-1775 + Cisplatin,CL11,1.0
143,MK-1775 + Nutlin-3a (-),CL11,1.0
144,MK-1775 + Pictilisib,CL11,1.0
145,MK-2206 + OSI-027,CL11,1.0
146,Navitoclax + Afatinib,CL11,1.0
147,Navitoclax + Axitinib,CL11,1.0
148,Navitoclax + Taselisib,CL11,1.0
149,Navitoclax + Trametinib,CL11,1.0
150,Nilotinib + Trametinib,CL11,1.0
151,Olaparib + MK-1775,CL11,1.0
152,Taselisib + Afatinib,CL11,0.0
153,Taselisib + LGK974,CL11,1.0
154,Taselisib + Linsitinib,CL11,0.0
155,Taselisib + MK-2206,CL11,0.0
156,Taselisib + Navitoclax,CL11,1.0
157,Taselisib + OSI-027,CL11,1.0
158,Taselisib + Olaparib,CL11,1.0
159,Taselisib + Palbociclib,CL11,1.0
160,Taselisib + Sapitinib,CL11,1.0
161,Taselisib + Trametinib,CL11,1.0
162,Trametinib + Afatinib,CL11,1.0
163,Trametinib + LGK974,CL11,1.0
164,Trametinib + Linsitinib,CL11,1.0
165,Trametinib + MK-2206,CL11,1.0
166,Trametinib + Navitoclax,CL11,1.0
167,Trametinib + Olaparib,CL11,1.0
168,Trametinib + Palbociclib,CL11,1.0
169,Trametinib + Pictilisib,CL11,1.0
170,Trametinib + SCH772984,CL11,0.0
171,Trametinib + Taselisib,CL11,1.0
172,AZD7762 + Cisplatin,CL40,1.0
173,AZD7762 + MK-1775,CL40,1.0
