,drug_name_A,drug_name_B,PD_A,PD_B,cell_line,synergy,Perturbation,drug_combination,inhibitor_group_A,inhibitor_group_B,inhibitor_combination,targets_A,targets_B,target_combination
24,AZD7762,Cisplatin,PD_06,PD_01,NCIH747,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
25,AZD7762,Cisplatin,PD_06,PD_01,RCM1,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
26,AZD7762,Cisplatin,PD_06,PD_01,RKO,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
27,AZD7762,Cisplatin,PD_06,PD_01,SKCO1,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
28,AZD7762,Cisplatin,PD_06,PD_01,SNU175,0,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
29,AZD7762,Cisplatin,PD_06,PD_01,SNU407,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
30,AZD7762,Cisplatin,PD_06,PD_01,SNU61,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
31,AZD7762,Cisplatin,PD_06,PD_01,SNUC1,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
32,AZD7762,Cisplatin,PD_06,PD_01,SNUC2B,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
33,AZD7762,Cisplatin,PD_06,PD_01,SNUC5,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
34,AZD7762,Cisplatin,PD_06,PD_01,SW1116,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
35,AZD7762,Cisplatin,PD_06,PD_01,SW1417,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
36,AZD7762,Cisplatin,PD_06,PD_01,SW1463,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
37,AZD7762,Cisplatin,PD_06,PD_01,SW48,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
38,AZD7762,Cisplatin,PD_06,PD_01,SW620,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
39,AZD7762,Cisplatin,PD_06,PD_01,SW626,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
40,AZD7762,Cisplatin,PD_06,PD_01,SW837,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
41,AZD7762,Cisplatin,PD_06,PD_01,SW948,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
42,AZD7762,Cisplatin,PD_06,PD_01,T84,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
43,MK-1775,Cisplatin,PD_14,PD_01,C2BBE1,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
44,MK-1775,Cisplatin,PD_14,PD_01,CCK81,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
45,MK-1775,Cisplatin,PD_14,PD_01,CL11,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
46,MK-1775,Cisplatin,PD_14,PD_01,CL40,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
47,MK-1775,Cisplatin,PD_14,PD_01,COLO205,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
48,MK-1775,Cisplatin,PD_14,PD_01,COLO320HSR,0,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
49,MK-1775,Cisplatin,PD_14,PD_01,COLO678,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
50,MK-1775,Cisplatin,PD_14,PD_01,CW2,0,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
51,MK-1775,Cisplatin,PD_14,PD_01,CAR1,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
52,MK-1775,Cisplatin,PD_14,PD_01,DIFI,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
53,MK-1775,Cisplatin,PD_14,PD_01,GP5D,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
54,MK-1775,Cisplatin,PD_14,PD_01,HCC2998,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
55,MK-1775,Cisplatin,PD_14,PD_01,HCT116,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
56,MK-1775,Cisplatin,PD_14,PD_01,HCT15,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
57,MK-1775,Cisplatin,PD_14,PD_01,HT29,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
58,MK-1775,Cisplatin,PD_14,PD_01,HT55,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
59,MK-1775,Cisplatin,PD_14,PD_01,KM12,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
60,MK-1775,Cisplatin,PD_14,PD_01,LS123,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
