,inhibitor_combination,cell_line,synergy
119,WEE1i + PI3Ki,CCK81,1.0
120,ABL1i + MEKi,CL11,1.0
121,AKTi + MTORi,CL11,1.0
122,BCL2i + EGFRi,CL11,1.0
123,BCL2i + ErrBi,CL11,1.0
124,BCL2i + MEKi,CL11,1.0
125,BCL2i + PI3Ki,CL11,1.0
126,CHEKi + ATMa,CL11,1.0
127,CHEKi + WEE1i,CL11,1.0
128,ErrBi + AKTi,CL11,1.0
129,ErrBi + BCL2i,CL11,1.0
130,ErrBi + CDKi,CL11,1.0
131,ErrBi + FGFRi,CL11,1.0
132,ErrBi + IGFRi,CL11,0.0
133,ErrBi + MEKi,CL11,1.0
134,ErrBi + METi,CL11,1.0
135,ErrBi + PI3Ki,CL11,0.0
136,ErrBi + PORCNi,CL11,0.0
137,ErrBi + RAFi,CL11,0.0
138,MEKi + AKTi,CL11,1.0
139,MEKi + BCL2i,CL11,1.0
140,MEKi + CDKi,CL11,1.0
141,MEKi + ERKi,CL11,0.0
142,MEKi + ErrBi,CL11,1.0
143,MEKi + IGFRi,CL11,1.0
144,MEKi + PARPi,CL11,1.0
145,MEKi + PI3Ki,CL11,1.0
146,MEKi + PORCNi,CL11,1.0
147,PARPi + WEE1i,CL11,1.0
148,PI3Ki + AKTi,CL11,0.0
149,PI3Ki + BCL2i,CL11,1.0
150,PI3Ki + CDKi,CL11,1.0
151,PI3Ki + ErrBi,CL11,0.5
152,PI3Ki + IGFRi,CL11,0.0
153,PI3Ki + MEKi,CL11,1.0
154,PI3Ki + MTORi,CL11,1.0
155,PI3Ki + PARPi,CL11,1.0
156,PI3Ki + PORCNi,CL11,1.0
157,WEE1i + ATMa,CL11,1.0
158,WEE1i + MDM2i,CL11,1.0
159,WEE1i + PI3Ki,CL11,1.0
160,ABL1i + MEKi,CL40,1.0
161,AKTi + MTORi,CL40,1.0
162,BCL2i + EGFRi,CL40,1.0
163,BCL2i + ErrBi,CL40,1.0
164,BCL2i + MEKi,CL40,1.0
165,BCL2i + PI3Ki,CL40,1.0
166,CHEKi + ATMa,CL40,1.0
167,CHEKi + WEE1i,CL40,1.0
168,ErrBi + AKTi,CL40,1.0
169,ErrBi + BCL2i,CL40,0.0
170,ErrBi + CDKi,CL40,0.0
171,ErrBi + FGFRi,CL40,1.0
172,ErrBi + IGFRi,CL40,0.0
173,ErrBi + MEKi,CL40,0.0
174,ErrBi + METi,CL40,1.0
175,ErrBi + PI3Ki,CL40,0.5
176,ErrBi + PORCNi,CL40,0.0
177,ErrBi + RAFi,CL40,0.0
178,MEKi + AKTi,CL40,1.0
179,MEKi + BCL2i,CL40,1.0
180,MEKi + CDKi,CL40,0.0
181,MEKi + ERKi,CL40,0.0
