drug_name_A,drug_name_B,cell_line,synergy,PD_A,PD_B
AZD-8055,Palbociclib,SW948,2.168639871,PD_02,PD_16
AZD-8055,SN-38,SW948,2.555140002,PD_02,
AZD-8055,Ulixertinib,SW948,15.52562719,PD_02,PD_21
Capivasertib,Lapatinib,SW948,25.9980947,PD_03,PD_11
Capivasertib,Neratinib,SW948,10.27745395,PD_03,PD_11
Everolimus,Capivasertib,SW948,18.48060176,PD_08,PD_03
Everolimus,Ipatasertib,SW948,15.00044431,PD_08,PD_03
Everolimus,Lapatinib,SW948,20.70480728,PD_08,PD_11
Everolimus,Navitoclax,SW948,22.05690745,PD_08,PD_13
Everolimus,Neratinib,SW948,8.997834727,PD_08,PD_11
Everolimus,Obatoclax,SW948,2.274815328,PD_08,PD_15
Everolimus,Oxaliplatin,SW948,0.820752843,PD_08,
Everolimus,Palbociclib,SW948,2.393139073,PD_08,PD_16
Everolimus,SN-38,SW948,6.243041544,PD_08,
Everolimus,Ulixertinib,SW948,15.15930073,PD_08,PD_21
Ipatasertib,Lapatinib,SW948,22.65986623,PD_03,PD_11
Ipatasertib,Neratinib,SW948,7.473154525,PD_03,PD_11
PF-477736,MK-1775,SW948,13.68267582,PD_18,PD_12
PF-477736,Niraparib,SW948,-9.923716682,PD_18,PD_14
PF-477736,Olaparib,SW948,0.540056896,PD_18,PD_14
PF-477736,Palbociclib,SW948,-4.135512325,PD_18,PD_16
PF-477736,PF-3644022,SW948,5.446654713,PD_18,PD_17
Prexasertib,MK-1775,SW948,12.22025106,PD_18,PD_12
Prexasertib,Niraparib,SW948,-14.71541822,PD_18,PD_14
Prexasertib,Olaparib,SW948,-4.035372293,PD_18,PD_14
Prexasertib,Palbociclib,SW948,-11.05284949,PD_18,PD_16
Prexasertib,PF-3644022,SW948,3.695878719,PD_18,PD_17
Torin 1,Capivasertib,SW948,11.15083392,PD_08,PD_03
Torin 1,Ipatasertib,SW948,13.60609336,PD_08,PD_03
Torin 1,Lapatinib,SW948,12.47788867,PD_08,PD_11
Torin 1,Navitoclax,SW948,23.46498678,PD_08,PD_13
Torin 1,Neratinib,SW948,5.243945872,PD_08,PD_11
Torin 1,Obatoclax,SW948,-1.549835066,PD_08,PD_15
Torin 1,Oxaliplatin,SW948,-4.392424846,PD_08,
Torin 1,Palbociclib,SW948,2.490851872,PD_08,PD_16
Torin 1,SN-38,SW948,0.97504086,PD_08,
Torin 1,Ulixertinib,SW948,10.36758712,PD_08,PD_21
AZD-8055,Capivasertib,SW1417,-1.209733299,PD_02,PD_03
AZD-8055,Ipatasertib,SW1417,-0.796830922,PD_02,PD_03
AZD-8055,Lapatinib,SW1417,6.157808711,PD_02,PD_11
AZD-8055,Navitoclax,SW1417,11.42991004,PD_02,PD_13
AZD-8055,Neratinib,SW1417,3.441629902,PD_02,PD_11
AZD-8055,Obatoclax,SW1417,6.880009383,PD_02,PD_15
AZD-8055,Oxaliplatin,SW1417,1.091184844,PD_02,
AZD-8055,Palbociclib,SW1417,1.230634626,PD_02,PD_16
AZD-8055,SN-38,SW1417,3.822359607,PD_02,
AZD-8055,Ulixertinib,SW1417,9.035116033,PD_02,PD_21
Capivasertib,Lapatinib,SW1417,8.720405881,PD_03,PD_11
Capivasertib,Neratinib,SW1417,-1.897542263,PD_03,PD_11
Everolimus,Capivasertib,SW1417,4.214740388,PD_08,PD_03
Everolimus,Ipatasertib,SW1417,2.962465485,PD_08,PD_03
Everolimus,Lapatinib,SW1417,4.383221983,PD_08,PD_11
Everolimus,Navitoclax,SW1417,3.668183815,PD_08,PD_13
Everolimus,Neratinib,SW1417,3.875507004,PD_08,PD_11
Everolimus,Obatoclax,SW1417,2.563090684,PD_08,PD_15
Everolimus,Oxaliplatin,SW1417,-0.223863279,PD_08,
Everolimus,Palbociclib,SW1417,-0.423609716,PD_08,PD_16
Everolimus,SN-38,SW1417,0.549111932,PD_08,
Everolimus,Ulixertinib,SW1417,6.620821864,PD_08,PD_21
Ipatasertib,Lapatinib,SW1417,9.065901791,PD_03,PD_11
Ipatasertib,Neratinib,SW1417,-4.051309538,PD_03,PD_11
PF-477736,MK-1775,SW1417,-4.927592677,PD_18,PD_12
PF-477736,Niraparib,SW1417,-5.058191319,PD_18,PD_14
PF-477736,Olaparib,SW1417,-9.448041877,PD_18,PD_14
PF-477736,Palbociclib,SW1417,-5.765464891,PD_18,PD_16
PF-477736,PF-3644022,SW1417,-5.325818436,PD_18,PD_17
Prexasertib,MK-1775,SW1417,-6.806261401,PD_18,PD_12
Prexasertib,Niraparib,SW1417,-7.656458835,PD_18,PD_14
Prexasertib,Olaparib,SW1417,-10.68421204,PD_18,PD_14
Prexasertib,Palbociclib,SW1417,-10.03275305,PD_18,PD_16
Prexasertib,PF-3644022,SW1417,-7.850691409,PD_18,PD_17
Torin 1,Capivasertib,SW1417,-2.852833689,PD_08,PD_03
Torin 1,Ipatasertib,SW1417,0.41369891,PD_08,PD_03
Torin 1,Lapatinib,SW1417,0.511776368,PD_08,PD_11
Torin 1,Navitoclax,SW1417,1.747648234,PD_08,PD_13
Torin 1,Neratinib,SW1417,-4.630310836,PD_08,PD_11
Torin 1,Obatoclax,SW1417,-3.773005593,PD_08,PD_15
Torin 1,Oxaliplatin,SW1417,-8.06342647,PD_08,
Torin 1,Palbociclib,SW1417,-7.376681588,PD_08,PD_16
Torin 1,SN-38,SW1417,-7.670704321,PD_08,
Torin 1,Ulixertinib,SW1417,-2.679795498,PD_08,PD_21
AZD-8055,Capivasertib,SW1463,-0.528206793,PD_02,PD_03
AZD-8055,Ipatasertib,SW1463,-2.909594395,PD_02,PD_03
AZD-8055,Lapatinib,SW1463,20.08318417,PD_02,PD_11
AZD-8055,Navitoclax,SW1463,14.13848859,PD_02,PD_13
AZD-8055,Neratinib,SW1463,-1.765927761,PD_02,PD_11
AZD-8055,Obatoclax,SW1463,13.34712262,PD_02,PD_15
AZD-8055,Oxaliplatin,SW1463,-2.278580255,PD_02,
AZD-8055,Palbociclib,SW1463,1.6313249,PD_02,PD_16
AZD-8055,SN-38,SW1463,-4.319429183,PD_02,
AZD-8055,Ulixertinib,SW1463,7.538900292,PD_02,PD_21
Capivasertib,Lapatinib,SW1463,21.0275799,PD_03,PD_11
Capivasertib,Neratinib,SW1463,4.422643082,PD_03,PD_11
Everolimus,Capivasertib,SW1463,-0.016695017,PD_08,PD_03
Everolimus,Ipatasertib,SW1463,-1.368040692,PD_08,PD_03
Everolimus,Lapatinib,SW1463,6.887616838,PD_08,PD_11
Everolimus,Navitoclax,SW1463,2.358865567,PD_08,PD_13
Everolimus,Neratinib,SW1463,-16.51158403,PD_08,PD_11
Everolimus,Obatoclax,SW1463,11.10553754,PD_08,PD_15
Everolimus,Oxaliplatin,SW1463,-10.26253808,PD_08,
Everolimus,Palbociclib,SW1463,-3.703352866,PD_08,PD_16
Everolimus,SN-38,SW1463,-0.838036545,PD_08,
Everolimus,Ulixertinib,SW1463,2.530628436,PD_08,PD_21
Ipatasertib,Lapatinib,SW1463,17.10890913,PD_03,PD_11
Ipatasertib,Neratinib,SW1463,-1.109832873,PD_03,PD_11
PF-477736,MK-1775,SW1463,-15.72899095,PD_18,PD_12
PF-477736,Niraparib,SW1463,-39.20125857,PD_18,PD_14
PF-477736,Olaparib,SW1463,-43.06708302,PD_18,PD_14
PF-477736,Palbociclib,SW1463,-8.94511385,PD_18,PD_16
PF-477736,PF-3644022,SW1463,-15.71463356,PD_18,PD_17
Prexasertib,MK-1775,SW1463,1.345326999,PD_18,PD_12
Prexasertib,Niraparib,SW1463,-33.43831521,PD_18,PD_14
Prexasertib,Olaparib,SW1463,-37.59471866,PD_18,PD_14
Prexasertib,Palbociclib,SW1463,-15.3926095,PD_18,PD_16
Prexasertib,PF-3644022,SW1463,-10.14209785,PD_18,PD_17
Torin 1,Capivasertib,SW1463,-5.095960675,PD_08,PD_03
Torin 1,Ipatasertib,SW1463,-2.984322425,PD_08,PD_03
Torin 1,Lapatinib,SW1463,15.14755903,PD_08,PD_11
Torin 1,Navitoclax,SW1463,9.172055353,PD_08,PD_13
Torin 1,Neratinib,SW1463,-6.910925754,PD_08,PD_11
Torin 1,Obatoclax,SW1463,6.29868226,PD_08,PD_15
Torin 1,Oxaliplatin,SW1463,-9.804910205,PD_08,
Torin 1,Palbociclib,SW1463,-2.374934262,PD_08,PD_16
Torin 1,SN-38,SW1463,-4.44964767,PD_08,
Torin 1,Ulixertinib,SW1463,0.581943764,PD_08,PD_21
AZD-8055,Capivasertib,C2BBe1,5.059295998,PD_02,PD_03
AZD-8055,Ipatasertib,C2BBe1,4.160293614,PD_02,PD_03
AZD-8055,Lapatinib,C2BBe1,10.74002533,PD_02,PD_11
AZD-8055,Navitoclax,C2BBe1,-4.972144182,PD_02,PD_13
AZD-8055,Neratinib,C2BBe1,2.299110991,PD_02,PD_11
AZD-8055,Obatoclax,C2BBe1,6.750379424,PD_02,PD_15
AZD-8055,Oxaliplatin,C2BBe1,-3.038844873,PD_02,
AZD-8055,Palbociclib,C2BBe1,-1.366015714,PD_02,PD_16
AZD-8055,SN-38,C2BBe1,0.820643916,PD_02,
AZD-8055,Ulixertinib,C2BBe1,4.667445162,PD_02,PD_21
Capivasertib,Lapatinib,C2BBe1,24.56644497,PD_03,PD_11
Capivasertib,Neratinib,C2BBe1,14.32944997,PD_03,PD_11
Everolimus,Capivasertib,C2BBe1,15.2192974,PD_08,PD_03
Everolimus,Ipatasertib,C2BBe1,15.66787242,PD_08,PD_03
Everolimus,Lapatinib,C2BBe1,20.57916838,PD_08,PD_11
Everolimus,Navitoclax,C2BBe1,-5.171084106,PD_08,PD_13
Everolimus,Neratinib,C2BBe1,3.252215534,PD_08,PD_11
Everolimus,Obatoclax,C2BBe1,15.0767786,PD_08,PD_15
Everolimus,Oxaliplatin,C2BBe1,2.694629249,PD_08,
Everolimus,Palbociclib,C2BBe1,9.212684612,PD_08,PD_16
Everolimus,SN-38,C2BBe1,7.909642231,PD_08,
Everolimus,Ulixertinib,C2BBe1,13.36899241,PD_08,PD_21
Ipatasertib,Lapatinib,C2BBe1,26.93925636,PD_03,PD_11
Ipatasertib,Neratinib,C2BBe1,0.127735378,PD_03,PD_11
PF-477736,MK-1775,C2BBe1,-4.628879213,PD_18,PD_12
PF-477736,Niraparib,C2BBe1,-6.689295347,PD_18,PD_14
PF-477736,Olaparib,C2BBe1,-12.89263236,PD_18,PD_14
PF-477736,Palbociclib,C2BBe1,-1.544776367,PD_18,PD_16
PF-477736,PF-3644022,C2BBe1,-0.437683593,PD_18,PD_17
Prexasertib,MK-1775,C2BBe1,12.46070978,PD_18,PD_12
Prexasertib,Niraparib,C2BBe1,1.026834209,PD_18,PD_14
Prexasertib,Olaparib,C2BBe1,-13.50311331,PD_18,PD_14
Prexasertib,Palbociclib,C2BBe1,-3.671044592,PD_18,PD_16
Prexasertib,PF-3644022,C2BBe1,-0.292359773,PD_18,PD_17
Torin 1,Capivasertib,C2BBe1,10.58986412,PD_08,PD_03
Torin 1,Ipatasertib,C2BBe1,9.36612698,PD_08,PD_03
Torin 1,Lapatinib,C2BBe1,17.21043369,PD_08,PD_11
Torin 1,Navitoclax,C2BBe1,-9.604877476,PD_08,PD_13
Torin 1,Neratinib,C2BBe1,-1.066734261,PD_08,PD_11
Torin 1,Obatoclax,C2BBe1,13.6852991,PD_08,PD_15
Torin 1,Oxaliplatin,C2BBe1,-5.407397426,PD_08,
Torin 1,Palbociclib,C2BBe1,4.472987256,PD_08,PD_16
Torin 1,SN-38,C2BBe1,3.872619413,PD_08,
Torin 1,Ulixertinib,C2BBe1,8.7530407,PD_08,PD_21
AZD-8055,Capivasertib,CL-11,5.475995301,PD_02,PD_03
AZD-8055,Ipatasertib,CL-11,-7.862537697,PD_02,PD_03
AZD-8055,Lapatinib,CL-11,-13.21610323,PD_02,PD_11
AZD-8055,Navitoclax,CL-11,-22.37896751,PD_02,PD_13
AZD-8055,Neratinib,CL-11,-12.03771568,PD_02,PD_11
AZD-8055,Obatoclax,CL-11,4.631934152,PD_02,PD_15
AZD-8055,Oxaliplatin,CL-11,-1.549121044,PD_02,
AZD-8055,Palbociclib,CL-11,-1.567140227,PD_02,PD_16
AZD-8055,SN-38,CL-11,-0.89620628,PD_02,
AZD-8055,Ulixertinib,CL-11,12.76149961,PD_02,PD_21
Capivasertib,Lapatinib,CL-11,-1.253774339,PD_03,PD_11
Capivasertib,Neratinib,CL-11,2.860629018,PD_03,PD_11
Everolimus,Capivasertib,CL-11,12.72650174,PD_08,PD_03
Everolimus,Ipatasertib,CL-11,5.449110594,PD_08,PD_03
Everolimus,Lapatinib,CL-11,1.876399624,PD_08,PD_11
Everolimus,Navitoclax,CL-11,-4.46576728,PD_08,PD_13
Everolimus,Neratinib,CL-11,-3.763332006,PD_08,PD_11
Everolimus,Obatoclax,CL-11,9.135234238,PD_08,PD_15
Everolimus,Oxaliplatin,CL-11,3.400355434,PD_08,
Everolimus,Palbociclib,CL-11,2.907323195,PD_08,PD_16
Everolimus,SN-38,CL-11,12.49103704,PD_08,
Everolimus,Ulixertinib,CL-11,28.97239696,PD_08,PD_21
Ipatasertib,Lapatinib,CL-11,1.095169575,PD_03,PD_11
Ipatasertib,Neratinib,CL-11,-5.944506522,PD_03,PD_11
PF-477736,MK-1775,CL-11,6.038031147,PD_18,PD_12
PF-477736,Niraparib,CL-11,-4.018382651,PD_18,PD_14
PF-477736,Olaparib,CL-11,-3.700920147,PD_18,PD_14
PF-477736,Palbociclib,CL-11,3.167513919,PD_18,PD_16
PF-477736,PF-3644022,CL-11,2.40020471,PD_18,PD_17
Prexasertib,MK-1775,CL-11,4.17295756,PD_18,PD_12
Prexasertib,Niraparib,CL-11,-6.446668837,PD_18,PD_14
Prexasertib,Olaparib,CL-11,-15.29463227,PD_18,PD_14
Prexasertib,Palbociclib,CL-11,-3.891081783,PD_18,PD_16
Prexasertib,PF-3644022,CL-11,-16.12121097,PD_18,PD_17
Torin 1,Capivasertib,CL-11,5.17706908,PD_08,PD_03
Torin 1,Ipatasertib,CL-11,-7.249731763,PD_08,PD_03
Torin 1,Lapatinib,CL-11,-7.977442751,PD_08,PD_11
Torin 1,Navitoclax,CL-11,-13.79161543,PD_08,PD_13
Torin 1,Neratinib,CL-11,-4.506388779,PD_08,PD_11
Torin 1,Obatoclax,CL-11,6.602155226,PD_08,PD_15
Torin 1,Oxaliplatin,CL-11,4.993677104,PD_08,
Torin 1,Palbociclib,CL-11,-2.458102644,PD_08,PD_16
Torin 1,SN-38,CL-11,10.35554891,PD_08,
Torin 1,Ulixertinib,CL-11,9.217003521,PD_08,PD_21
AZD-8055,Capivasertib,HT-115,18.32476544,PD_02,PD_03
AZD-8055,Ipatasertib,HT-115,0.685879182,PD_02,PD_03
AZD-8055,Lapatinib,HT-115,1.260896388,PD_02,PD_11
AZD-8055,Navitoclax,HT-115,-13.69606644,PD_02,PD_13
AZD-8055,Neratinib,HT-115,-5.924441352,PD_02,PD_11
AZD-8055,Obatoclax,HT-115,7.393244163,PD_02,PD_15
AZD-8055,Oxaliplatin,HT-115,-15.54348849,PD_02,
AZD-8055,Palbociclib,HT-115,-8.607893466,PD_02,PD_16
AZD-8055,SN-38,HT-115,-7.064538768,PD_02,
AZD-8055,Ulixertinib,HT-115,-6.384213319,PD_02,PD_21
Capivasertib,Lapatinib,HT-115,2.589538469,PD_03,PD_11
Capivasertib,Neratinib,HT-115,12.04003262,PD_03,PD_11
Everolimus,Capivasertib,HT-115,25.95432154,PD_08,PD_03
Everolimus,Ipatasertib,HT-115,13.85070528,PD_08,PD_03
Everolimus,Lapatinib,HT-115,9.683385726,PD_08,PD_11
Everolimus,Navitoclax,HT-115,2.988167102,PD_08,PD_13
Everolimus,Neratinib,HT-115,6.032807255,PD_08,PD_11
Everolimus,Obatoclax,HT-115,20.01077673,PD_08,PD_15
Everolimus,Oxaliplatin,HT-115,-3.275830354,PD_08,
Everolimus,Palbociclib,HT-115,6.086912999,PD_08,PD_16
Everolimus,SN-38,HT-115,20.6505394,PD_08,
Everolimus,Ulixertinib,HT-115,18.58265077,PD_08,PD_21
Ipatasertib,Lapatinib,HT-115,19.01449039,PD_03,PD_11
Ipatasertib,Neratinib,HT-115,2.15451337,PD_03,PD_11
PF-477736,MK-1775,HT-115,-5.545424048,PD_18,PD_12
PF-477736,Niraparib,HT-115,-7.122598383,PD_18,PD_14
PF-477736,Olaparib,HT-115,-9.925234641,PD_18,PD_14
PF-477736,Palbociclib,HT-115,-3.250543989,PD_18,PD_16
PF-477736,PF-3644022,HT-115,-9.810644875,PD_18,PD_17
Prexasertib,MK-1775,HT-115,0.0087012,PD_18,PD_12
Prexasertib,Niraparib,HT-115,1.741921677,PD_18,PD_14
Prexasertib,Olaparib,HT-115,-7.353335102,PD_18,PD_14
Prexasertib,Palbociclib,HT-115,-11.19914333,PD_18,PD_16
Prexasertib,PF-3644022,HT-115,-15.4941007,PD_18,PD_17
Torin 1,Capivasertib,HT-115,8.464043431,PD_08,PD_03
Torin 1,Ipatasertib,HT-115,-9.194457224,PD_08,PD_03
Torin 1,Lapatinib,HT-115,5.981248043,PD_08,PD_11
Torin 1,Navitoclax,HT-115,-13.4060503,PD_08,PD_13
Torin 1,Neratinib,HT-115,-2.48911277,PD_08,PD_11
Torin 1,Obatoclax,HT-115,8.088285376,PD_08,PD_15
Torin 1,Oxaliplatin,HT-115,-4.97720111,PD_08,
Torin 1,Palbociclib,HT-115,-9.145043062,PD_08,PD_16
Torin 1,SN-38,HT-115,4.331018282,PD_08,
Torin 1,Ulixertinib,HT-115,-2.919607128,PD_08,PD_21
AZD-8055,Capivasertib,SW1116,-6.708137049,PD_02,PD_03
AZD-8055,Ipatasertib,SW1116,-7.805379738,PD_02,PD_03
AZD-8055,Lapatinib,SW1116,8.641622272,PD_02,PD_11
AZD-8055,Navitoclax,SW1116,8.475028182,PD_02,PD_13
AZD-8055,Neratinib,SW1116,6.049595537,PD_02,PD_11
AZD-8055,Obatoclax,SW1116,6.539612098,PD_02,PD_15
AZD-8055,Oxaliplatin,SW1116,1.25070823,PD_02,
AZD-8055,Palbociclib,SW1116,-1.497618885,PD_02,PD_16
AZD-8055,SN-38,SW1116,0.470100681,PD_02,
AZD-8055,Ulixertinib,SW1116,4.222305657,PD_02,PD_21
Capivasertib,Lapatinib,SW1116,15.23856555,PD_03,PD_11
Capivasertib,Neratinib,SW1116,1.845429633,PD_03,PD_11
Everolimus,Capivasertib,SW1116,-3.279182586,PD_08,PD_03
Everolimus,Ipatasertib,SW1116,-14.38121061,PD_08,PD_03
Everolimus,Lapatinib,SW1116,-0.180847753,PD_08,PD_11
Everolimus,Navitoclax,SW1116,2.916524509,PD_08,PD_13
Everolimus,Neratinib,SW1116,-1.667559351,PD_08,PD_11
Everolimus,Obatoclax,SW1116,5.539032637,PD_08,PD_15
Everolimus,Oxaliplatin,SW1116,0.320396146,PD_08,
Everolimus,Palbociclib,SW1116,-1.735892301,PD_08,PD_16
Everolimus,SN-38,SW1116,-0.982887713,PD_08,
Everolimus,Ulixertinib,SW1116,2.972393193,PD_08,PD_21
Ipatasertib,Lapatinib,SW1116,9.793614537,PD_03,PD_11
Ipatasertib,Neratinib,SW1116,-2.244477183,PD_03,PD_11
PF-477736,MK-1775,SW1116,-14.57296326,PD_18,PD_12
PF-477736,Niraparib,SW1116,-22.96962765,PD_18,PD_14
PF-477736,Olaparib,SW1116,-25.21276859,PD_18,PD_14
PF-477736,Palbociclib,SW1116,-1.475581425,PD_18,PD_16
PF-477736,PF-3644022,SW1116,-2.652158863,PD_18,PD_17
Prexasertib,MK-1775,SW1116,-18.41801077,PD_18,PD_12
Prexasertib,Niraparib,SW1116,-25.74621601,PD_18,PD_14
Prexasertib,Olaparib,SW1116,-29.49284207,PD_18,PD_14
Prexasertib,Palbociclib,SW1116,-8.641218827,PD_18,PD_16
Prexasertib,PF-3644022,SW1116,-9.270305274,PD_18,PD_17
Torin 1,Capivasertib,SW1116,-3.659517005,PD_08,PD_03
Torin 1,Ipatasertib,SW1116,-11.70261478,PD_08,PD_03
Torin 1,Lapatinib,SW1116,-1.909640796,PD_08,PD_11
Torin 1,Navitoclax,SW1116,4.470418813,PD_08,PD_13
Torin 1,Neratinib,SW1116,-1.602918486,PD_08,PD_11
Torin 1,Obatoclax,SW1116,1.062381822,PD_08,PD_15
Torin 1,Oxaliplatin,SW1116,0.811762273,PD_08,
Torin 1,Palbociclib,SW1116,-6.326221332,PD_08,PD_16
Torin 1,SN-38,SW1116,-5.663662986,PD_08,
Torin 1,Ulixertinib,SW1116,-4.856127133,PD_08,PD_21
