drug_name_A,drug_name_B,cell_line,synergy,PD_A,PD_B
AZD-8055,Oxaliplatin,T84,10.20769425,PD_02,
AZD-8055,Palbociclib,T84,6.621643111,PD_02,PD_16
AZD-8055,SN-38,T84,18.17197091,PD_02,
AZD-8055,Ulixertinib,T84,23.72198463,PD_02,PD_21
Capivasertib,Lapatinib,T84,18.61143967,PD_03,PD_11
Capivasertib,Neratinib,T84,18.28655805,PD_03,PD_11
Everolimus,Capivasertib,T84,-4.296885041,PD_08,PD_03
Everolimus,Ipatasertib,T84,9.297607642,PD_08,PD_03
Everolimus,Lapatinib,T84,22.43872373,PD_08,PD_11
Everolimus,Navitoclax,T84,27.67981463,PD_08,PD_13
Everolimus,Neratinib,T84,18.04518076,PD_08,PD_11
Everolimus,Obatoclax,T84,9.468724074,PD_08,PD_15
Everolimus,Oxaliplatin,T84,23.03010867,PD_08,
Everolimus,Palbociclib,T84,5.945518302,PD_08,PD_16
Everolimus,SN-38,T84,27.94979321,PD_08,
Everolimus,Ulixertinib,T84,33.90520676,PD_08,PD_21
Ipatasertib,Lapatinib,T84,17.89778977,PD_03,PD_11
Ipatasertib,Neratinib,T84,11.8212632,PD_03,PD_11
PF-477736,MK-1775,T84,29.19306692,PD_18,PD_12
PF-477736,Niraparib,T84,17.22530504,PD_18,PD_14
PF-477736,Olaparib,T84,2.100593177,PD_18,PD_14
PF-477736,Palbociclib,T84,27.97296776,PD_18,PD_16
PF-477736,PF-3644022,T84,29.14477387,PD_18,PD_17
Prexasertib,MK-1775,T84,44.96404262,PD_18,PD_12
Prexasertib,Niraparib,T84,12.765712,PD_18,PD_14
Prexasertib,Olaparib,T84,5.64384734,PD_18,PD_14
Prexasertib,Palbociclib,T84,16.13862722,PD_18,PD_16
Prexasertib,PF-3644022,T84,24.12934529,PD_18,PD_17
Torin 1,Capivasertib,T84,-2.863349731,PD_08,PD_03
Torin 1,Ipatasertib,T84,7.267595715,PD_08,PD_03
Torin 1,Lapatinib,T84,18.68349368,PD_08,PD_11
Torin 1,Navitoclax,T84,21.36683406,PD_08,PD_13
Torin 1,Neratinib,T84,11.59941416,PD_08,PD_11
Torin 1,Obatoclax,T84,7.153675549,PD_08,PD_15
Torin 1,Oxaliplatin,T84,15.40283066,PD_08,
Torin 1,Palbociclib,T84,6.938734263,PD_08,PD_16
Torin 1,SN-38,T84,23.45821024,PD_08,
Torin 1,Ulixertinib,T84,25.82933225,PD_08,PD_21
AZD-8055,Capivasertib,NCI-H508,5.760711844,PD_02,PD_03
AZD-8055,Ipatasertib,NCI-H508,3.275962605,PD_02,PD_03
AZD-8055,Lapatinib,NCI-H508,7.996840438,PD_02,PD_11
AZD-8055,Navitoclax,NCI-H508,25.28721176,PD_02,PD_13
AZD-8055,Neratinib,NCI-H508,6.235446914,PD_02,PD_11
AZD-8055,Obatoclax,NCI-H508,8.243421949,PD_02,PD_15
AZD-8055,Oxaliplatin,NCI-H508,-5.441284011,PD_02,
AZD-8055,Palbociclib,NCI-H508,2.202388616,PD_02,PD_16
AZD-8055,SN-38,NCI-H508,3.399217186,PD_02,
AZD-8055,Ulixertinib,NCI-H508,13.95298339,PD_02,PD_21
Capivasertib,Lapatinib,NCI-H508,14.71022725,PD_03,PD_11
Capivasertib,Neratinib,NCI-H508,12.43511619,PD_03,PD_11
Everolimus,Capivasertib,NCI-H508,6.343633233,PD_08,PD_03
Everolimus,Ipatasertib,NCI-H508,3.885465894,PD_08,PD_03
Everolimus,Lapatinib,NCI-H508,3.309719921,PD_08,PD_11
Everolimus,Navitoclax,NCI-H508,26.8501285,PD_08,PD_13
Everolimus,Neratinib,NCI-H508,2.009651022,PD_08,PD_11
Everolimus,Obatoclax,NCI-H508,15.69192625,PD_08,PD_15
Everolimus,Oxaliplatin,NCI-H508,12.3207462,PD_08,
Everolimus,Palbociclib,NCI-H508,15.73202407,PD_08,PD_16
Everolimus,SN-38,NCI-H508,20.21845145,PD_08,
Everolimus,Ulixertinib,NCI-H508,17.27956662,PD_08,PD_21
Ipatasertib,Lapatinib,NCI-H508,18.80737983,PD_03,PD_11
Ipatasertib,Neratinib,NCI-H508,17.87378582,PD_03,PD_11
PF-477736,MK-1775,NCI-H508,19.72011014,PD_18,PD_12
PF-477736,Niraparib,NCI-H508,-6.883660357,PD_18,PD_14
PF-477736,Olaparib,NCI-H508,2.522965921,PD_18,PD_14
PF-477736,Palbociclib,NCI-H508,-7.66183318,PD_18,PD_16
PF-477736,PF-3644022,NCI-H508,4.765836736,PD_18,PD_17
