Perturbation	Emax(k)	Bliss(k)	Excess
PD_01_PD_02	0.2899489734947066	0.22696757675843152	0.0629813967362751
PD_01_PD_03	0.4348346463150195	0.30849015478450126	0.12634449153051827
PD_01_PD_07	0.26925381767358275	0.1784985800885729	0.09075523758500985
PD_01_PD_08	0.24943345613670917	0.18274651548234075	0.06668694065436842
PD_03_PD_05	0.0	0.23719578891132592	-0.23719578891132592
PD_03_PD_06	0.5578306895904406	0.5445738960013918	0.013256793589048747
PD_03_PD_07	0.5006908533114311	0.36002218763605914	0.14066866567537206
PD_03_PD_08	0.5684938132406675	0.4119138004860444	0.1565800127546232
PD_03_PD_09	0.5684938132406675	0.5170456517274167	0.05144816151325096
PD_03_PD_10	0.5006908533114311	0.5288785951182382	-0.028187741806807005
PD_05_PD_07	0.36101635763016376	0.1925965886659116	0.16841976896425215
PD_05_PD_08	0.11260414596589838	0.18701285813310795	-0.07440871216720955
PD_05_PD_12	0.2971892401195065	0.24100289984495685	0.056186340274549655
PD_06_PD_07	0.45514742463439534	0.4461223203213814	0.009025104313013956
PD_06_PD_08	0.45834267980853627	0.44730573128884055	0.011036948519695677
PD_07_PD_08	0.2517333392682055	0.24682743699219034	0.004905902276015183
PD_07_PD_10	0.38189880789493125	0.4400865990018509	-0.05818779110691967
PD_07_PD_12	0.2938664899760506	0.3104691639151862	-0.01660267393913561
PD_08_PD_10	0.3935179782248909	0.44157655964757336	-0.0480585814226825
PD_08_PD_11	0.47531527791152783	0.25551943966084556	0.21979583825068227
