Perturbation	Excess
PD_01_PD_06	0.0
PD_01_PD_14	3.0652160419086805e-05
PD_02_PD_05	0.13849397985858636
PD_02_PD_07	0.1758570389567401
PD_02_PD_12	0.0013963966729358956
PD_02_PD_15	0.24803052266329162
PD_03_PD_15	0.07420689391086532
PD_04_PD_12	0.0005021943453374922
PD_04_PD_15	-0.11338898556833577
PD_06_PD_14	0.0
PD_07_PD_09	-0.00023609761040077615
PD_07_PD_10	0.0005909055483603876
PD_07_PD_11	0.01859020570823089
PD_07_PD_12	0.00038073496863721967
PD_07_PD_13	0.007704827641953016
PD_07_PD_15	-0.5761697726269621
PD_07_PD_17	-2.145697656885659e-05
PD_10_PD_12	0.0013775207121414779
PD_10_PD_15	-0.0430093414411582
PD_10_PD_19	0.0015096890405125185
PD_11_PD_12	0.000884313350689947
PD_12_PD_14	2.2429880561336546e-05
PD_12_PD_15	0.0002282799466259977
PD_12_PD_17	0.000250125913757393
PD_12_PD_19	0.0008324716661037845
PD_15_PD_17	8.292882631999454e-05
