drug_name_A,drug_name_B,PD_A,PD_B,cell_line,synergy
Navitoclax,Axitinib,PD_01,PD_02,HT29,1
Navitoclax,Axitinib,PD_01,PD_02,HT55,1
Navitoclax,Axitinib,PD_01,PD_02,KM12,1
Navitoclax,Axitinib,PD_01,PD_02,LS123,1
Navitoclax,Axitinib,PD_01,PD_02,LS180,1
Navitoclax,Axitinib,PD_01,PD_02,LS411N,1
Navitoclax,Axitinib,PD_01,PD_02,LS513,1
Navitoclax,Axitinib,PD_01,PD_02,LOVO,1
Navitoclax,Axitinib,PD_01,PD_02,MDST8,1
Navitoclax,Axitinib,PD_01,PD_02,NCIH716,1
Navitoclax,Axitinib,PD_01,PD_02,NCIH747,1
Navitoclax,Axitinib,PD_01,PD_02,RCM1,1
Navitoclax,Axitinib,PD_01,PD_02,RKO,1
Navitoclax,Axitinib,PD_01,PD_02,SKCO1,1
Navitoclax,Axitinib,PD_01,PD_02,SNU175,1
Navitoclax,Axitinib,PD_01,PD_02,SNU407,1
Navitoclax,Axitinib,PD_01,PD_02,SNU61,1
Navitoclax,Axitinib,PD_01,PD_02,SNUC1,0
Navitoclax,Axitinib,PD_01,PD_02,SNUC2B,1
Navitoclax,Axitinib,PD_01,PD_02,SNUC5,1
Navitoclax,Axitinib,PD_01,PD_02,SW1116,1
Navitoclax,Axitinib,PD_01,PD_02,SW1417,1
Navitoclax,Axitinib,PD_01,PD_02,SW1463,1
Navitoclax,Axitinib,PD_01,PD_02,SW48,1
Navitoclax,Axitinib,PD_01,PD_02,SW620,1
Navitoclax,Axitinib,PD_01,PD_02,SW626,1
Navitoclax,Axitinib,PD_01,PD_02,SW837,1
Navitoclax,Axitinib,PD_01,PD_02,SW948,1
Navitoclax,Axitinib,PD_01,PD_02,T84,1
Navitoclax,Afatinib,PD_01,PD_03,C2BBE1,1
Navitoclax,Afatinib,PD_01,PD_03,CCK81,1
Navitoclax,Afatinib,PD_01,PD_03,CL11,1
Navitoclax,Afatinib,PD_01,PD_03,CL40,1
Navitoclax,Afatinib,PD_01,PD_03,COLO205,1
Navitoclax,Afatinib,PD_01,PD_03,COLO320HSR,0
Navitoclax,Afatinib,PD_01,PD_03,COLO678,1
Navitoclax,Afatinib,PD_01,PD_03,CW2,1
Navitoclax,Afatinib,PD_01,PD_03,CAR1,1
Navitoclax,Afatinib,PD_01,PD_03,DIFI,1
Navitoclax,Afatinib,PD_01,PD_03,GP5D,1
Navitoclax,Afatinib,PD_01,PD_03,HCC2998,1
Navitoclax,Afatinib,PD_01,PD_03,HCT116,1
Navitoclax,Afatinib,PD_01,PD_03,HCT15,1
Navitoclax,Afatinib,PD_01,PD_03,HT29,1
Navitoclax,Afatinib,PD_01,PD_03,HT55,1
Navitoclax,Afatinib,PD_01,PD_03,KM12,1
Navitoclax,Afatinib,PD_01,PD_03,LS123,1
Navitoclax,Afatinib,PD_01,PD_03,LS180,1
Navitoclax,Afatinib,PD_01,PD_03,LS411N,1
Navitoclax,Afatinib,PD_01,PD_03,LS513,1
Navitoclax,Afatinib,PD_01,PD_03,LOVO,1
Navitoclax,Afatinib,PD_01,PD_03,MDST8,1
Navitoclax,Afatinib,PD_01,PD_03,NCIH716,1
Navitoclax,Afatinib,PD_01,PD_03,NCIH747,1
Navitoclax,Afatinib,PD_01,PD_03,RCM1,1
Navitoclax,Afatinib,PD_01,PD_03,RKO,1
Navitoclax,Afatinib,PD_01,PD_03,SKCO1,1
Navitoclax,Afatinib,PD_01,PD_03,SNU175,1
Navitoclax,Afatinib,PD_01,PD_03,SNU407,0
Navitoclax,Afatinib,PD_01,PD_03,SNU61,1
Navitoclax,Afatinib,PD_01,PD_03,SNUC1,0
Navitoclax,Afatinib,PD_01,PD_03,SNUC2B,1
Navitoclax,Afatinib,PD_01,PD_03,SNUC5,0
Navitoclax,Afatinib,PD_01,PD_03,SW1116,1
Navitoclax,Afatinib,PD_01,PD_03,SW1417,1
Navitoclax,Afatinib,PD_01,PD_03,SW1463,1
Navitoclax,Afatinib,PD_01,PD_03,SW48,1
Navitoclax,Afatinib,PD_01,PD_03,SW620,1
Navitoclax,Afatinib,PD_01,PD_03,SW626,1
Navitoclax,Afatinib,PD_01,PD_03,SW837,1
Navitoclax,Afatinib,PD_01,PD_03,SW948,1
Navitoclax,Afatinib,PD_01,PD_03,T84,1
Trametinib,Afatinib,PD_08,PD_03,C2BBE1,0
Trametinib,Afatinib,PD_08,PD_03,CCK81,1
