Perturbation	Excess
PD_01_PD_06	0.0
PD_01_PD_14	0.0
PD_02_PD_05	-0.00796498935752199
PD_02_PD_07	-0.005772078670995384
PD_02_PD_12	-0.021196886370347223
PD_02_PD_15	0.11245476939265475
PD_03_PD_15	0.017145496629187296
PD_04_PD_12	2.853261982238564e-08
PD_04_PD_14	0.0
PD_04_PD_15	-0.04629560029507385
PD_06_PD_14	0.0
PD_07_PD_09	-0.011333506717113861
PD_07_PD_10	-0.013214898281796006
PD_07_PD_11	-0.001969929380306379
PD_07_PD_12	-2.1282698096203312e-05
PD_07_PD_13	-0.011223444570278351
PD_07_PD_15	-0.055088439903839936
PD_07_PD_16	-0.28002236600512354
PD_07_PD_17	-4.4814572230933436e-07
PD_07_PD_20	-0.002094104407612707
PD_08_PD_14	-0.0003461881870677752
PD_10_PD_12	2.096155060637983e-08
PD_10_PD_15	-0.39514700657664287
PD_10_PD_19	-0.005446240605090913
PD_11_PD_12	-9.227016739554728e-08
PD_11_PD_15	0.00849167936086126
PD_12_PD_14	2.888853900540056e-08
PD_12_PD_15	-0.006188574277589787
PD_12_PD_17	-2.2148907374841542e-07
PD_12_PD_19	-0.00010779238296021454
PD_12_PD_20	-1.3014348043682844e-08
PD_15_PD_17	-5.248913820254941e-07
PD_15_PD_18	0.16927840281668893
PD_15_PD_20	-0.03006002542872166
