drug_name_A,drug_name_B,PD_A,PD_B,cell_line,synergy
Taselisib,Olaparib,PD_12,PD_04,BFTC905,0
Taselisib,Olaparib,PD_12,PD_04,CAL29,1
Taselisib,Olaparib,PD_12,PD_04,DSH1,1
Taselisib,Olaparib,PD_12,PD_04,HT1376,0
Taselisib,Olaparib,PD_12,PD_04,J82,1
Taselisib,Olaparib,PD_12,PD_04,KU1919,0
Taselisib,Olaparib,PD_12,PD_04,LB831BLC,1
Taselisib,Olaparib,PD_12,PD_04,RT112,1
Taselisib,Olaparib,PD_12,PD_04,RT4,0
Taselisib,Olaparib,PD_12,PD_04,SW1710,0
Taselisib,Olaparib,PD_12,PD_04,SW780,1
Taselisib,Olaparib,PD_12,PD_04,TCCSUP,1
Taselisib,Olaparib,PD_12,PD_04,UMUC3,0
Taselisib,Olaparib,PD_12,PD_04,VMCUB1,1
Navitoclax,Axitinib,PD_02,PD_05,5637,1
Navitoclax,Axitinib,PD_02,PD_05,639V,1
Navitoclax,Axitinib,PD_02,PD_05,647V,1
Navitoclax,Axitinib,PD_02,PD_05,BFTC905,1
Navitoclax,Axitinib,PD_02,PD_05,CAL29,1
Navitoclax,Axitinib,PD_02,PD_05,DSH1,1
Navitoclax,Axitinib,PD_02,PD_05,HT1376,1
Navitoclax,Axitinib,PD_02,PD_05,J82,1
Navitoclax,Axitinib,PD_02,PD_05,KU1919,1
Navitoclax,Axitinib,PD_02,PD_05,LB831BLC,1
Navitoclax,Axitinib,PD_02,PD_05,RT112,1
Navitoclax,Axitinib,PD_02,PD_05,RT4,1
Navitoclax,Axitinib,PD_02,PD_05,SW1710,1
Navitoclax,Axitinib,PD_02,PD_05,SW780,1
Navitoclax,Axitinib,PD_02,PD_05,TCCSUP,1
Navitoclax,Axitinib,PD_02,PD_05,UMUC3,1
Navitoclax,Axitinib,PD_02,PD_05,VMCUB1,1
Navitoclax,Afatinib,PD_02,PD_07,5637,1
Navitoclax,Afatinib,PD_02,PD_07,639V,0
Navitoclax,Afatinib,PD_02,PD_07,647V,1
Navitoclax,Afatinib,PD_02,PD_07,BFTC905,1
Navitoclax,Afatinib,PD_02,PD_07,CAL29,1
Navitoclax,Afatinib,PD_02,PD_07,DSH1,1
Navitoclax,Afatinib,PD_02,PD_07,HT1376,1
Navitoclax,Afatinib,PD_02,PD_07,J82,1
Navitoclax,Afatinib,PD_02,PD_07,KU1919,1
Navitoclax,Afatinib,PD_02,PD_07,LB831BLC,1
Navitoclax,Afatinib,PD_02,PD_07,RT112,1
Navitoclax,Afatinib,PD_02,PD_07,RT4,1
Navitoclax,Afatinib,PD_02,PD_07,SW1710,1
Navitoclax,Afatinib,PD_02,PD_07,SW780,1
Navitoclax,Afatinib,PD_02,PD_07,TCCSUP,1
Navitoclax,Afatinib,PD_02,PD_07,UMUC3,1
Navitoclax,Afatinib,PD_02,PD_07,VMCUB1,1
Trametinib,Afatinib,PD_15,PD_07,5637,1
Trametinib,Afatinib,PD_15,PD_07,639V,1
Trametinib,Afatinib,PD_15,PD_07,647V,1
Trametinib,Afatinib,PD_15,PD_07,BFTC905,1
Trametinib,Afatinib,PD_15,PD_07,CAL29,1
Trametinib,Afatinib,PD_15,PD_07,DSH1,0
Trametinib,Afatinib,PD_15,PD_07,HT1197,1
Trametinib,Afatinib,PD_15,PD_07,HT1376,1
Trametinib,Afatinib,PD_15,PD_07,J82,0
Trametinib,Afatinib,PD_15,PD_07,KU1919,1
Trametinib,Afatinib,PD_15,PD_07,LB831BLC,1
Trametinib,Afatinib,PD_15,PD_07,RT112,1
Trametinib,Afatinib,PD_15,PD_07,RT4,1
Trametinib,Afatinib,PD_15,PD_07,SW1710,0
Trametinib,Afatinib,PD_15,PD_07,SW780,1
Trametinib,Afatinib,PD_15,PD_07,TCCSUP,0
Trametinib,Afatinib,PD_15,PD_07,UMUC3,1
Trametinib,Afatinib,PD_15,PD_07,VMCUB1,1
Taselisib,Afatinib,PD_12,PD_07,5637,1
Taselisib,Afatinib,PD_12,PD_07,639V,1
Taselisib,Afatinib,PD_12,PD_07,647V,1
Taselisib,Afatinib,PD_12,PD_07,BFTC905,1
Taselisib,Afatinib,PD_12,PD_07,CAL29,1
Taselisib,Afatinib,PD_12,PD_07,DSH1,1
Taselisib,Afatinib,PD_12,PD_07,HT1197,1
Taselisib,Afatinib,PD_12,PD_07,HT1376,1
Taselisib,Afatinib,PD_12,PD_07,J82,1
Taselisib,Afatinib,PD_12,PD_07,KU1919,0
Taselisib,Afatinib,PD_12,PD_07,LB831BLC,1
Taselisib,Afatinib,PD_12,PD_07,RT112,1
Taselisib,Afatinib,PD_12,PD_07,RT4,1
Taselisib,Afatinib,PD_12,PD_07,SW1710,1
Taselisib,Afatinib,PD_12,PD_07,SW780,0
Taselisib,Afatinib,PD_12,PD_07,TCCSUP,1
Taselisib,Afatinib,PD_12,PD_07,UMUC3,1
Taselisib,Afatinib,PD_12,PD_07,VMCUB1,1
MK-1775,Nutlin-3a (-),PD_14,PD_08,5637,1
MK-1775,Nutlin-3a (-),PD_14,PD_08,639V,1
MK-1775,Nutlin-3a (-),PD_14,PD_08,647V,1
MK-1775,Nutlin-3a (-),PD_14,PD_08,BFTC905,1
MK-1775,Nutlin-3a (-),PD_14,PD_08,CAL29,1
MK-1775,Nutlin-3a (-),PD_14,PD_08,DSH1,1
MK-1775,Nutlin-3a (-),PD_14,PD_08,HT1197,0
MK-1775,Nutlin-3a (-),PD_14,PD_08,HT1376,1
MK-1775,Nutlin-3a (-),PD_14,PD_08,J82,1
MK-1775,Nutlin-3a (-),PD_14,PD_08,KU1919,0
MK-1775,Nutlin-3a (-),PD_14,PD_08,LB831BLC,1
MK-1775,Nutlin-3a (-),PD_14,PD_08,RT112,1
MK-1775,Nutlin-3a (-),PD_14,PD_08,RT4,0
MK-1775,Nutlin-3a (-),PD_14,PD_08,SW1710,1
MK-1775,Nutlin-3a (-),PD_14,PD_08,SW780,0
MK-1775,Nutlin-3a (-),PD_14,PD_08,TCCSUP,1
MK-1775,Nutlin-3a (-),PD_14,PD_08,UMUC3,1
MK-1775,Nutlin-3a (-),PD_14,PD_08,VMCUB1,1
Lapatinib,PD173074,PD_07,PD_09,5637,1
Lapatinib,PD173074,PD_07,PD_09,639V,0
Lapatinib,PD173074,PD_07,PD_09,647V,1
Lapatinib,PD173074,PD_07,PD_09,BFTC905,1
Lapatinib,PD173074,PD_07,PD_09,CAL29,1
Lapatinib,PD173074,PD_07,PD_09,DSH1,0
Lapatinib,PD173074,PD_07,PD_09,HT1376,1
Lapatinib,PD173074,PD_07,PD_09,J82,1
Lapatinib,PD173074,PD_07,PD_09,KU1919,1
Lapatinib,PD173074,PD_07,PD_09,LB831BLC,1
Lapatinib,PD173074,PD_07,PD_09,RT112,1
Lapatinib,PD173074,PD_07,PD_09,RT4,1
Lapatinib,PD173074,PD_07,PD_09,SW1710,1
Lapatinib,PD173074,PD_07,PD_09,SW780,1
Lapatinib,PD173074,PD_07,PD_09,TCCSUP,1
Lapatinib,PD173074,PD_07,PD_09,UMUC3,1
Lapatinib,PD173074,PD_07,PD_09,VMCUB1,0
Trametinib,MK-2206,PD_15,PD_10,5637,1
Trametinib,MK-2206,PD_15,PD_10,639V,0
Trametinib,MK-2206,PD_15,PD_10,647V,1
Trametinib,MK-2206,PD_15,PD_10,BFTC905,1
Trametinib,MK-2206,PD_15,PD_10,CAL29,1
Trametinib,MK-2206,PD_15,PD_10,DSH1,1
Trametinib,MK-2206,PD_15,PD_10,HT1197,1
Trametinib,MK-2206,PD_15,PD_10,HT1376,0
Trametinib,MK-2206,PD_15,PD_10,J82,1
Trametinib,MK-2206,PD_15,PD_10,KU1919,1
Trametinib,MK-2206,PD_15,PD_10,LB831BLC,0
Trametinib,MK-2206,PD_15,PD_10,RT112,1
Trametinib,MK-2206,PD_15,PD_10,RT4,1
Trametinib,MK-2206,PD_15,PD_10,SW1710,1
Trametinib,MK-2206,PD_15,PD_10,SW780,1
Trametinib,MK-2206,PD_15,PD_10,TCCSUP,1
Trametinib,MK-2206,PD_15,PD_10,UMUC3,1
Trametinib,MK-2206,PD_15,PD_10,VMCUB1,1
Lapatinib,MK-2206,PD_07,PD_10,5637,1
Lapatinib,MK-2206,PD_07,PD_10,639V,1
Lapatinib,MK-2206,PD_07,PD_10,647V,1
Lapatinib,MK-2206,PD_07,PD_10,BFTC905,1
Lapatinib,MK-2206,PD_07,PD_10,CAL29,1
Lapatinib,MK-2206,PD_07,PD_10,DSH1,1
Lapatinib,MK-2206,PD_07,PD_10,HT1197,0
Lapatinib,MK-2206,PD_07,PD_10,HT1376,0
Lapatinib,MK-2206,PD_07,PD_10,J82,1
Lapatinib,MK-2206,PD_07,PD_10,KU1919,1
Lapatinib,MK-2206,PD_07,PD_10,LB831BLC,1
Lapatinib,MK-2206,PD_07,PD_10,RT112,1
Lapatinib,MK-2206,PD_07,PD_10,RT4,1
Lapatinib,MK-2206,PD_07,PD_10,SW1710,1
Lapatinib,MK-2206,PD_07,PD_10,SW780,0
Lapatinib,MK-2206,PD_07,PD_10,TCCSUP,1
Lapatinib,MK-2206,PD_07,PD_10,UMUC3,1
Lapatinib,MK-2206,PD_07,PD_10,VMCUB1,1
Taselisib,MK-2206,PD_12,PD_10,5637,1
Taselisib,MK-2206,PD_12,PD_10,639V,0
Taselisib,MK-2206,PD_12,PD_10,647V,0
Taselisib,MK-2206,PD_12,PD_10,BFTC905,1
Taselisib,MK-2206,PD_12,PD_10,CAL29,0
Taselisib,MK-2206,PD_12,PD_10,DSH1,0
Taselisib,MK-2206,PD_12,PD_10,HT1197,1
Taselisib,MK-2206,PD_12,PD_10,HT1376,1
Taselisib,MK-2206,PD_12,PD_10,J82,1
Taselisib,MK-2206,PD_12,PD_10,KU1919,1
Taselisib,MK-2206,PD_12,PD_10,LB831BLC,0
Taselisib,MK-2206,PD_12,PD_10,RT112,0
Taselisib,MK-2206,PD_12,PD_10,RT4,0
Taselisib,MK-2206,PD_12,PD_10,SW1710,0
Taselisib,MK-2206,PD_12,PD_10,SW780,0
Taselisib,MK-2206,PD_12,PD_10,TCCSUP,0
Taselisib,MK-2206,PD_12,PD_10,UMUC3,1
Taselisib,MK-2206,PD_12,PD_10,VMCUB1,0
Trametinib,Palbociclib,PD_15,PD_11,5637,0
Trametinib,Palbociclib,PD_15,PD_11,639V,0
Trametinib,Palbociclib,PD_15,PD_11,647V,0
Trametinib,Palbociclib,PD_15,PD_11,BFTC905,1
Trametinib,Palbociclib,PD_15,PD_11,CAL29,1
Trametinib,Palbociclib,PD_15,PD_11,DSH1,0
Trametinib,Palbociclib,PD_15,PD_11,HT1197,0
Trametinib,Palbociclib,PD_15,PD_11,HT1376,1
Trametinib,Palbociclib,PD_15,PD_11,J82,0
Trametinib,Palbociclib,PD_15,PD_11,KU1919,1
Trametinib,Palbociclib,PD_15,PD_11,LB831BLC,0
Trametinib,Palbociclib,PD_15,PD_11,RT112,1
Trametinib,Palbociclib,PD_15,PD_11,RT4,1
Trametinib,Palbociclib,PD_15,PD_11,SW1710,0
Trametinib,Palbociclib,PD_15,PD_11,SW780,0
Trametinib,Palbociclib,PD_15,PD_11,TCCSUP,0
Trametinib,Palbociclib,PD_15,PD_11,UMUC3,1
Trametinib,Palbociclib,PD_15,PD_11,VMCUB1,1
Lapatinib,Palbociclib,PD_07,PD_11,5637,0
Lapatinib,Palbociclib,PD_07,PD_11,639V,0
Lapatinib,Palbociclib,PD_07,PD_11,647V,0
Lapatinib,Palbociclib,PD_07,PD_11,BFTC905,1
Lapatinib,Palbociclib,PD_07,PD_11,CAL29,1
Lapatinib,Palbociclib,PD_07,PD_11,DSH1,1
Lapatinib,Palbociclib,PD_07,PD_11,HT1197,0
Lapatinib,Palbociclib,PD_07,PD_11,HT1376,1
Lapatinib,Palbociclib,PD_07,PD_11,J82,1
Lapatinib,Palbociclib,PD_07,PD_11,KU1919,0
Lapatinib,Palbociclib,PD_07,PD_11,LB831BLC,1
Lapatinib,Palbociclib,PD_07,PD_11,RT112,0
Lapatinib,Palbociclib,PD_07,PD_11,RT4,1
Lapatinib,Palbociclib,PD_07,PD_11,SW1710,0
Lapatinib,Palbociclib,PD_07,PD_11,SW780,0
Lapatinib,Palbociclib,PD_07,PD_11,TCCSUP,0
Lapatinib,Palbociclib,PD_07,PD_11,UMUC3,1
Lapatinib,Palbociclib,PD_07,PD_11,VMCUB1,1
Taselisib,Palbociclib,PD_12,PD_11,5637,0
Taselisib,Palbociclib,PD_12,PD_11,639V,0
Taselisib,Palbociclib,PD_12,PD_11,647V,1
Taselisib,Palbociclib,PD_12,PD_11,BFTC905,1
Taselisib,Palbociclib,PD_12,PD_11,CAL29,1
Taselisib,Palbociclib,PD_12,PD_11,DSH1,0
Taselisib,Palbociclib,PD_12,PD_11,HT1197,1
Taselisib,Palbociclib,PD_12,PD_11,HT1376,1
Taselisib,Palbociclib,PD_12,PD_11,J82,1
Taselisib,Palbociclib,PD_12,PD_11,KU1919,1
Taselisib,Palbociclib,PD_12,PD_11,LB831BLC,1
Taselisib,Palbociclib,PD_12,PD_11,RT112,1
Taselisib,Palbociclib,PD_12,PD_11,RT4,0
Taselisib,Palbociclib,PD_12,PD_11,SW1710,0
Taselisib,Palbociclib,PD_12,PD_11,SW780,1
Taselisib,Palbociclib,PD_12,PD_11,TCCSUP,0
Taselisib,Palbociclib,PD_12,PD_11,UMUC3,1
Taselisib,Palbociclib,PD_12,PD_11,VMCUB1,1
MK-1775,Pictilisib,PD_14,PD_12,5637,1
MK-1775,Pictilisib,PD_14,PD_12,639V,0
MK-1775,Pictilisib,PD_14,PD_12,647V,1
MK-1775,Pictilisib,PD_14,PD_12,BFTC905,1
MK-1775,Pictilisib,PD_14,PD_12,CAL29,1
MK-1775,Pictilisib,PD_14,PD_12,DSH1,1
MK-1775,Pictilisib,PD_14,PD_12,HT1376,1
MK-1775,Pictilisib,PD_14,PD_12,J82,1
MK-1775,Pictilisib,PD_14,PD_12,KU1919,1
MK-1775,Pictilisib,PD_14,PD_12,LB831BLC,1
MK-1775,Pictilisib,PD_14,PD_12,RT112,0
MK-1775,Pictilisib,PD_14,PD_12,RT4,1
MK-1775,Pictilisib,PD_14,PD_12,SW1710,0
MK-1775,Pictilisib,PD_14,PD_12,SW780,1
MK-1775,Pictilisib,PD_14,PD_12,TCCSUP,0
MK-1775,Pictilisib,PD_14,PD_12,UMUC3,1
MK-1775,Pictilisib,PD_14,PD_12,VMCUB1,1
Trametinib,Pictilisib,PD_15,PD_12,5637,1
Trametinib,Pictilisib,PD_15,PD_12,639V,1
Trametinib,Pictilisib,PD_15,PD_12,647V,1
Trametinib,Pictilisib,PD_15,PD_12,BFTC905,1
Trametinib,Pictilisib,PD_15,PD_12,CAL29,1
Trametinib,Pictilisib,PD_15,PD_12,DSH1,1
Trametinib,Pictilisib,PD_15,PD_12,HT1376,1
Trametinib,Pictilisib,PD_15,PD_12,J82,1
Trametinib,Pictilisib,PD_15,PD_12,KU1919,1
Trametinib,Pictilisib,PD_15,PD_12,LB831BLC,1
Trametinib,Pictilisib,PD_15,PD_12,RT112,1
Trametinib,Pictilisib,PD_15,PD_12,RT4,1
Trametinib,Pictilisib,PD_15,PD_12,SW1710,1
Trametinib,Pictilisib,PD_15,PD_12,SW780,1
Trametinib,Pictilisib,PD_15,PD_12,TCCSUP,1
Trametinib,Pictilisib,PD_15,PD_12,UMUC3,1
Trametinib,Pictilisib,PD_15,PD_12,VMCUB1,1
Lapatinib,Pictilisib,PD_07,PD_12,5637,1
Lapatinib,Pictilisib,PD_07,PD_12,639V,0
Lapatinib,Pictilisib,PD_07,PD_12,647V,0
Lapatinib,Pictilisib,PD_07,PD_12,BFTC905,1
Lapatinib,Pictilisib,PD_07,PD_12,CAL29,1
Lapatinib,Pictilisib,PD_07,PD_12,DSH1,1
Lapatinib,Pictilisib,PD_07,PD_12,HT1376,1
Lapatinib,Pictilisib,PD_07,PD_12,J82,1
Lapatinib,Pictilisib,PD_07,PD_12,KU1919,0
Lapatinib,Pictilisib,PD_07,PD_12,LB831BLC,0
Lapatinib,Pictilisib,PD_07,PD_12,RT112,1
Lapatinib,Pictilisib,PD_07,PD_12,RT4,0
Lapatinib,Pictilisib,PD_07,PD_12,SW1710,0
Lapatinib,Pictilisib,PD_07,PD_12,SW780,1
Lapatinib,Pictilisib,PD_07,PD_12,TCCSUP,0
Lapatinib,Pictilisib,PD_07,PD_12,UMUC3,0
Lapatinib,Pictilisib,PD_07,PD_12,VMCUB1,1
Lapatinib,Crizotinib,PD_07,PD_13,5637,1
Lapatinib,Crizotinib,PD_07,PD_13,639V,0
Lapatinib,Crizotinib,PD_07,PD_13,647V,1
Lapatinib,Crizotinib,PD_07,PD_13,BFTC905,1
Lapatinib,Crizotinib,PD_07,PD_13,CAL29,1
Lapatinib,Crizotinib,PD_07,PD_13,DSH1,1
Lapatinib,Crizotinib,PD_07,PD_13,HT1376,1
Lapatinib,Crizotinib,PD_07,PD_13,J82,0
Lapatinib,Crizotinib,PD_07,PD_13,KU1919,1
