drug_name_A,drug_name_B,PD_A,PD_B,cell_line,synergy
Trametinib,Navitoclax,PD_15,PD_02,LS411N,1
Trametinib,Navitoclax,PD_15,PD_02,LS513,1
Trametinib,Navitoclax,PD_15,PD_02,LOVO,1
Trametinib,Navitoclax,PD_15,PD_02,MDST8,1
Trametinib,Navitoclax,PD_15,PD_02,NCIH716,1
Trametinib,Navitoclax,PD_15,PD_02,NCIH747,1
Trametinib,Navitoclax,PD_15,PD_02,RCM1,1
Trametinib,Navitoclax,PD_15,PD_02,RKO,1
Trametinib,Navitoclax,PD_15,PD_02,SKCO1,1
Trametinib,Navitoclax,PD_15,PD_02,SNU175,1
Trametinib,Navitoclax,PD_15,PD_02,SNU407,1
Trametinib,Navitoclax,PD_15,PD_02,SNU61,1
Trametinib,Navitoclax,PD_15,PD_02,SNUC1,1
Trametinib,Navitoclax,PD_15,PD_02,SNUC2B,1
Trametinib,Navitoclax,PD_15,PD_02,SNUC5,1
Trametinib,Navitoclax,PD_15,PD_02,SW1116,1
Trametinib,Navitoclax,PD_15,PD_02,SW1463,1
Trametinib,Navitoclax,PD_15,PD_02,SW48,1
Trametinib,Navitoclax,PD_15,PD_02,SW620,1
Trametinib,Navitoclax,PD_15,PD_02,SW626,1
Trametinib,Navitoclax,PD_15,PD_02,SW837,1
Trametinib,Navitoclax,PD_15,PD_02,SW948,1
Trametinib,Navitoclax,PD_15,PD_02,T84,1
Lapatinib,Navitoclax,PD_07,PD_02,C2BBE1,1
Lapatinib,Navitoclax,PD_07,PD_02,CCK81,1
Lapatinib,Navitoclax,PD_07,PD_02,CL11,1
Lapatinib,Navitoclax,PD_07,PD_02,CL40,0
Lapatinib,Navitoclax,PD_07,PD_02,COLO205,1
Lapatinib,Navitoclax,PD_07,PD_02,COLO320HSR,1
Lapatinib,Navitoclax,PD_07,PD_02,COLO678,0
Lapatinib,Navitoclax,PD_07,PD_02,CW2,1
Lapatinib,Navitoclax,PD_07,PD_02,CAR1,1
Lapatinib,Navitoclax,PD_07,PD_02,DIFI,1
Lapatinib,Navitoclax,PD_07,PD_02,GP5D,1
Lapatinib,Navitoclax,PD_07,PD_02,HCC2998,0
Lapatinib,Navitoclax,PD_07,PD_02,HCT116,1
Lapatinib,Navitoclax,PD_07,PD_02,HCT15,1
Lapatinib,Navitoclax,PD_07,PD_02,HT29,1
Lapatinib,Navitoclax,PD_07,PD_02,HT55,1
Lapatinib,Navitoclax,PD_07,PD_02,KM12,1
Lapatinib,Navitoclax,PD_07,PD_02,LS123,1
Lapatinib,Navitoclax,PD_07,PD_02,LS180,1
Lapatinib,Navitoclax,PD_07,PD_02,LS411N,1
Lapatinib,Navitoclax,PD_07,PD_02,LS513,1
Lapatinib,Navitoclax,PD_07,PD_02,LOVO,1
Lapatinib,Navitoclax,PD_07,PD_02,MDST8,1
Lapatinib,Navitoclax,PD_07,PD_02,NCIH716,0
Lapatinib,Navitoclax,PD_07,PD_02,NCIH747,1
Lapatinib,Navitoclax,PD_07,PD_02,RCM1,1
Lapatinib,Navitoclax,PD_07,PD_02,RKO,1
Lapatinib,Navitoclax,PD_07,PD_02,SKCO1,1
Lapatinib,Navitoclax,PD_07,PD_02,SNU175,1
Lapatinib,Navitoclax,PD_07,PD_02,SNU407,1
Lapatinib,Navitoclax,PD_07,PD_02,SNU61,0
Lapatinib,Navitoclax,PD_07,PD_02,SNUC1,1
Lapatinib,Navitoclax,PD_07,PD_02,SNUC2B,1
Lapatinib,Navitoclax,PD_07,PD_02,SNUC5,1
Lapatinib,Navitoclax,PD_07,PD_02,SW1116,1
Lapatinib,Navitoclax,PD_07,PD_02,SW1463,1
Lapatinib,Navitoclax,PD_07,PD_02,SW48,1
Lapatinib,Navitoclax,PD_07,PD_02,SW620,0
Lapatinib,Navitoclax,PD_07,PD_02,SW626,0
Lapatinib,Navitoclax,PD_07,PD_02,SW837,1
Lapatinib,Navitoclax,PD_07,PD_02,SW948,1
Lapatinib,Navitoclax,PD_07,PD_02,T84,1
Taselisib,Navitoclax,PD_12,PD_02,C2BBE1,1
Taselisib,Navitoclax,PD_12,PD_02,CCK81,1
Taselisib,Navitoclax,PD_12,PD_02,CL11,1
Taselisib,Navitoclax,PD_12,PD_02,CL40,1
Taselisib,Navitoclax,PD_12,PD_02,COLO205,1
Taselisib,Navitoclax,PD_12,PD_02,COLO320HSR,1
Taselisib,Navitoclax,PD_12,PD_02,COLO678,0
Taselisib,Navitoclax,PD_12,PD_02,CW2,0
Taselisib,Navitoclax,PD_12,PD_02,CAR1,1
Taselisib,Navitoclax,PD_12,PD_02,DIFI,1
Taselisib,Navitoclax,PD_12,PD_02,GP5D,1
Taselisib,Navitoclax,PD_12,PD_02,HCC2998,1
Taselisib,Navitoclax,PD_12,PD_02,HCT116,1
Taselisib,Navitoclax,PD_12,PD_02,HCT15,1
Taselisib,Navitoclax,PD_12,PD_02,HT29,1
Taselisib,Navitoclax,PD_12,PD_02,HT55,1
Taselisib,Navitoclax,PD_12,PD_02,KM12,0
Taselisib,Navitoclax,PD_12,PD_02,LS123,1
Taselisib,Navitoclax,PD_12,PD_02,LS180,1
Taselisib,Navitoclax,PD_12,PD_02,LS411N,1
Taselisib,Navitoclax,PD_12,PD_02,LS513,1
Taselisib,Navitoclax,PD_12,PD_02,LOVO,1
Taselisib,Navitoclax,PD_12,PD_02,MDST8,1
Taselisib,Navitoclax,PD_12,PD_02,NCIH716,1
Taselisib,Navitoclax,PD_12,PD_02,NCIH747,1
Taselisib,Navitoclax,PD_12,PD_02,RCM1,0
Taselisib,Navitoclax,PD_12,PD_02,RKO,0
Taselisib,Navitoclax,PD_12,PD_02,SKCO1,1
