,inhibitor_combination,cell_line,synergy
133,ErrBi + MEKi,BFTC905,1.0
134,ErrBi + METi,BFTC905,1.0
135,ErrBi + PI3Ki,BFTC905,1.0
136,ErrBi + PORCNi,BFTC905,1.0
137,ErrBi + RAFi,BFTC905,1.0
138,MEKi + AKTi,BFTC905,1.0
139,MEKi + BCL2i,BFTC905,1.0
140,MEKi + CDKi,BFTC905,1.0
141,MEKi + ERKi,BFTC905,1.0
142,MEKi + ErrBi,BFTC905,1.0
143,MEKi + IGFRi,BFTC905,1.0
144,MEKi + PARPi,BFTC905,0.0
145,MEKi + PI3Ki,BFTC905,1.0
146,MEKi + PORCNi,BFTC905,1.0
147,PARPi + WEE1i,BFTC905,1.0
148,PI3Ki + AKTi,BFTC905,1.0
149,PI3Ki + BCL2i,BFTC905,1.0
150,PI3Ki + CDKi,BFTC905,1.0
151,PI3Ki + ErrBi,BFTC905,1.0
152,PI3Ki + IGFRi,BFTC905,1.0
153,PI3Ki + MEKi,BFTC905,1.0
154,PI3Ki + MTORi,BFTC905,1.0
155,PI3Ki + PARPi,BFTC905,0.0
156,PI3Ki + PORCNi,BFTC905,1.0
157,WEE1i + ATMa,BFTC905,1.0
158,WEE1i + MDM2i,BFTC905,1.0
159,WEE1i + PI3Ki,BFTC905,1.0
160,ABL1i + MEKi,CAL29,1.0
161,AKTi + MTORi,CAL29,1.0
162,BCL2i + EGFRi,CAL29,1.0
163,BCL2i + ErrBi,CAL29,1.0
164,BCL2i + MEKi,CAL29,1.0
165,BCL2i + PI3Ki,CAL29,1.0
166,CHEKi + ATMa,CAL29,1.0
167,CHEKi + WEE1i,CAL29,1.0
168,ErrBi + AKTi,CAL29,1.0
169,ErrBi + BCL2i,CAL29,1.0
170,ErrBi + CDKi,CAL29,1.0
171,ErrBi + FGFRi,CAL29,1.0
172,ErrBi + IGFRi,CAL29,1.0
173,ErrBi + MEKi,CAL29,1.0
174,ErrBi + METi,CAL29,1.0
175,ErrBi + PI3Ki,CAL29,1.0
176,ErrBi + PORCNi,CAL29,0.0
177,ErrBi + RAFi,CAL29,1.0
178,MEKi + AKTi,CAL29,1.0
179,MEKi + BCL2i,CAL29,1.0
180,MEKi + CDKi,CAL29,1.0
181,MEKi + ERKi,CAL29,0.0
182,MEKi + ErrBi,CAL29,1.0
183,MEKi + IGFRi,CAL29,1.0
184,MEKi + PARPi,CAL29,1.0
185,MEKi + PI3Ki,CAL29,1.0
186,MEKi + PORCNi,CAL29,0.0
187,PARPi + WEE1i,CAL29,1.0
188,PI3Ki + AKTi,CAL29,0.0
189,PI3Ki + BCL2i,CAL29,1.0
190,PI3Ki + CDKi,CAL29,1.0
191,PI3Ki + ErrBi,CAL29,1.0
192,PI3Ki + IGFRi,CAL29,1.0
193,PI3Ki + MEKi,CAL29,1.0
194,PI3Ki + MTORi,CAL29,1.0
195,PI3Ki + PARPi,CAL29,1.0
196,PI3Ki + PORCNi,CAL29,1.0
197,WEE1i + ATMa,CAL29,1.0
198,WEE1i + MDM2i,CAL29,1.0
199,WEE1i + PI3Ki,CAL29,1.0
200,ABL1i + MEKi,DSH1,1.0
201,AKTi + MTORi,DSH1,1.0
202,BCL2i + EGFRi,DSH1,1.0
203,BCL2i + ErrBi,DSH1,1.0
204,BCL2i + MEKi,DSH1,1.0
205,BCL2i + PI3Ki,DSH1,1.0
206,CHEKi + ATMa,DSH1,1.0
207,CHEKi + WEE1i,DSH1,1.0
208,ErrBi + AKTi,DSH1,1.0
209,ErrBi + BCL2i,DSH1,1.0
210,ErrBi + CDKi,DSH1,1.0
211,ErrBi + FGFRi,DSH1,0.0
212,ErrBi + IGFRi,DSH1,1.0
213,ErrBi + MEKi,DSH1,0.0
214,ErrBi + METi,DSH1,1.0
215,ErrBi + PI3Ki,DSH1,1.0
216,ErrBi + PORCNi,DSH1,0.0
217,ErrBi + RAFi,DSH1,1.0
218,MEKi + AKTi,DSH1,1.0
219,MEKi + BCL2i,DSH1,1.0
220,MEKi + CDKi,DSH1,0.0
221,MEKi + ERKi,DSH1,0.0
222,MEKi + ErrBi,DSH1,0.0
223,MEKi + IGFRi,DSH1,1.0
224,MEKi + PARPi,DSH1,1.0
225,MEKi + PI3Ki,DSH1,1.0
226,MEKi + PORCNi,DSH1,0.0
227,PARPi + WEE1i,DSH1,0.0
228,PI3Ki + AKTi,DSH1,0.0
229,PI3Ki + BCL2i,DSH1,1.0
230,PI3Ki + CDKi,DSH1,0.0
231,PI3Ki + ErrBi,DSH1,1.0
232,PI3Ki + IGFRi,DSH1,1.0
233,PI3Ki + MEKi,DSH1,0.0
234,PI3Ki + MTORi,DSH1,1.0
235,PI3Ki + PARPi,DSH1,1.0
236,PI3Ki + PORCNi,DSH1,0.0
237,WEE1i + ATMa,DSH1,1.0
238,WEE1i + MDM2i,DSH1,1.0
239,WEE1i + PI3Ki,DSH1,1.0
240,ABL1i + MEKi,HT1197,1.0
241,AKTi + MTORi,HT1197,
242,BCL2i + EGFRi,HT1197,
243,BCL2i + ErrBi,HT1197,
244,BCL2i + MEKi,HT1197,
245,BCL2i + PI3Ki,HT1197,
246,CHEKi + ATMa,HT1197,0.0
247,CHEKi + WEE1i,HT1197,1.0
248,ErrBi + AKTi,HT1197,0.0
249,ErrBi + BCL2i,HT1197,
250,ErrBi + CDKi,HT1197,0.0
251,ErrBi + FGFRi,HT1197,
252,ErrBi + IGFRi,HT1197,0.0
253,ErrBi + MEKi,HT1197,0.0
254,ErrBi + METi,HT1197,
255,ErrBi + PI3Ki,HT1197,0.0
256,ErrBi + PORCNi,HT1197,0.0
257,ErrBi + RAFi,HT1197,1.0
258,MEKi + AKTi,HT1197,1.0
259,MEKi + BCL2i,HT1197,
260,MEKi + CDKi,HT1197,0.0
261,MEKi + ERKi,HT1197,0.0
262,MEKi + ErrBi,HT1197,1.0
263,MEKi + IGFRi,HT1197,0.0
264,MEKi + PARPi,HT1197,
265,MEKi + PI3Ki,HT1197,1.0
266,MEKi + PORCNi,HT1197,0.0
267,PARPi + WEE1i,HT1197,1.0
268,PI3Ki + AKTi,HT1197,1.0
269,PI3Ki + BCL2i,HT1197,
270,PI3Ki + CDKi,HT1197,1.0
271,PI3Ki + ErrBi,HT1197,1.0
272,PI3Ki + IGFRi,HT1197,1.0
273,PI3Ki + MEKi,HT1197,1.0
274,PI3Ki + MTORi,HT1197,
275,PI3Ki + PARPi,HT1197,
276,PI3Ki + PORCNi,HT1197,1.0
277,WEE1i + ATMa,HT1197,
278,WEE1i + MDM2i,HT1197,0.0
279,WEE1i + PI3Ki,HT1197,
280,ABL1i + MEKi,HT1376,0.0
281,AKTi + MTORi,HT1376,0.0
282,BCL2i + EGFRi,HT1376,1.0
283,BCL2i + ErrBi,HT1376,1.0
284,BCL2i + MEKi,HT1376,1.0
285,BCL2i + PI3Ki,HT1376,0.0
286,CHEKi + ATMa,HT1376,1.0
287,CHEKi + WEE1i,HT1376,1.0
288,ErrBi + AKTi,HT1376,0.0
289,ErrBi + BCL2i,HT1376,1.0
290,ErrBi + CDKi,HT1376,1.0
291,ErrBi + FGFRi,HT1376,1.0
292,ErrBi + IGFRi,HT1376,0.0
293,ErrBi + MEKi,HT1376,0.0
294,ErrBi + METi,HT1376,1.0
295,ErrBi + PI3Ki,HT1376,1.0
296,ErrBi + PORCNi,HT1376,0.0
297,ErrBi + RAFi,HT1376,0.0
298,MEKi + AKTi,HT1376,0.0
299,MEKi + BCL2i,HT1376,1.0
300,MEKi + CDKi,HT1376,1.0
301,MEKi + ERKi,HT1376,0.0
302,MEKi + ErrBi,HT1376,1.0
303,MEKi + IGFRi,HT1376,0.0
304,MEKi + PARPi,HT1376,0.0
305,MEKi + PI3Ki,HT1376,1.0
306,MEKi + PORCNi,HT1376,0.0
307,PARPi + WEE1i,HT1376,1.0
308,PI3Ki + AKTi,HT1376,1.0
309,PI3Ki + BCL2i,HT1376,0.0
310,PI3Ki + CDKi,HT1376,1.0
311,PI3Ki + ErrBi,HT1376,0.5
312,PI3Ki + IGFRi,HT1376,0.0
313,PI3Ki + MEKi,HT1376,1.0
314,PI3Ki + MTORi,HT1376,0.0
315,PI3Ki + PARPi,HT1376,0.0
316,PI3Ki + PORCNi,HT1376,0.0
317,WEE1i + ATMa,HT1376,1.0
318,WEE1i + MDM2i,HT1376,1.0
319,WEE1i + PI3Ki,HT1376,1.0
320,ABL1i + MEKi,J82,0.0
321,AKTi + MTORi,J82,1.0
322,BCL2i + EGFRi,J82,1.0
323,BCL2i + ErrBi,J82,1.0
324,BCL2i + MEKi,J82,1.0
325,BCL2i + PI3Ki,J82,0.0
326,CHEKi + ATMa,J82,1.0
327,CHEKi + WEE1i,J82,1.0
328,ErrBi + AKTi,J82,1.0
329,ErrBi + BCL2i,J82,0.0
330,ErrBi + CDKi,J82,1.0
331,ErrBi + FGFRi,J82,1.0
332,ErrBi + IGFRi,J82,1.0
333,ErrBi + MEKi,J82,0.0
334,ErrBi + METi,J82,0.0
335,ErrBi + PI3Ki,J82,1.0
336,ErrBi + PORCNi,J82,0.0
337,ErrBi + RAFi,J82,0.0
338,MEKi + AKTi,J82,1.0
339,MEKi + BCL2i,J82,0.0
340,MEKi + CDKi,J82,0.0
341,MEKi + ERKi,J82,0.0
342,MEKi + ErrBi,J82,0.0
343,MEKi + IGFRi,J82,1.0
344,MEKi + PARPi,J82,1.0
345,MEKi + PI3Ki,J82,1.0
346,MEKi + PORCNi,J82,1.0
347,PARPi + WEE1i,J82,1.0
348,PI3Ki + AKTi,J82,1.0
349,PI3Ki + BCL2i,J82,0.0
350,PI3Ki + CDKi,J82,1.0
351,PI3Ki + ErrBi,J82,1.0
352,PI3Ki + IGFRi,J82,1.0
353,PI3Ki + MEKi,J82,1.0
354,PI3Ki + MTORi,J82,1.0
355,PI3Ki + PARPi,J82,1.0
356,PI3Ki + PORCNi,J82,1.0
357,WEE1i + ATMa,J82,1.0
358,WEE1i + MDM2i,J82,1.0
359,WEE1i + PI3Ki,J82,1.0
360,ABL1i + MEKi,KU1919,1.0
361,AKTi + MTORi,KU1919,1.0
362,BCL2i + EGFRi,KU1919,1.0
363,BCL2i + ErrBi,KU1919,1.0
364,BCL2i + MEKi,KU1919,1.0
365,BCL2i + PI3Ki,KU1919,0.0
366,CHEKi + ATMa,KU1919,1.0
367,CHEKi + WEE1i,KU1919,1.0
368,ErrBi + AKTi,KU1919,1.0
369,ErrBi + BCL2i,KU1919,0.0
370,ErrBi + CDKi,KU1919,0.0
371,ErrBi + FGFRi,KU1919,1.0
372,ErrBi + IGFRi,KU1919,0.0
373,ErrBi + MEKi,KU1919,1.0
374,ErrBi + METi,KU1919,1.0
375,ErrBi + PI3Ki,KU1919,0.0
376,ErrBi + PORCNi,KU1919,0.0
377,ErrBi + RAFi,KU1919,1.0
378,MEKi + AKTi,KU1919,1.0
379,MEKi + BCL2i,KU1919,1.0
380,MEKi + CDKi,KU1919,1.0
381,MEKi + ERKi,KU1919,1.0
382,MEKi + ErrBi,KU1919,1.0
383,MEKi + IGFRi,KU1919,1.0
384,MEKi + PARPi,KU1919,1.0
385,MEKi + PI3Ki,KU1919,1.0
386,MEKi + PORCNi,KU1919,1.0
387,PARPi + WEE1i,KU1919,0.0
388,PI3Ki + AKTi,KU1919,1.0
389,PI3Ki + BCL2i,KU1919,0.0
390,PI3Ki + CDKi,KU1919,1.0
391,PI3Ki + ErrBi,KU1919,0.0
392,PI3Ki + IGFRi,KU1919,0.0
393,PI3Ki + MEKi,KU1919,1.0
394,PI3Ki + MTORi,KU1919,0.0
395,PI3Ki + PARPi,KU1919,0.0
396,PI3Ki + PORCNi,KU1919,0.0
397,WEE1i + ATMa,KU1919,1.0
398,WEE1i + MDM2i,KU1919,0.0
399,WEE1i + PI3Ki,KU1919,1.0
400,ABL1i + MEKi,LB831BLC,0.0
401,AKTi + MTORi,LB831BLC,1.0
402,BCL2i + EGFRi,LB831BLC,1.0
403,BCL2i + ErrBi,LB831BLC,1.0
404,BCL2i + MEKi,LB831BLC,0.0
405,BCL2i + PI3Ki,LB831BLC,1.0
406,CHEKi + ATMa,LB831BLC,1.0
407,CHEKi + WEE1i,LB831BLC,1.0
408,ErrBi + AKTi,LB831BLC,1.0
409,ErrBi + BCL2i,LB831BLC,1.0
410,ErrBi + CDKi,LB831BLC,1.0
411,ErrBi + FGFRi,LB831BLC,1.0
412,ErrBi + IGFRi,LB831BLC,1.0
413,ErrBi + MEKi,LB831BLC,0.0
414,ErrBi + METi,LB831BLC,1.0
415,ErrBi + PI3Ki,LB831BLC,0.5
416,ErrBi + PORCNi,LB831BLC,0.0
417,ErrBi + RAFi,LB831BLC,1.0
418,MEKi + AKTi,LB831BLC,0.0
419,MEKi + BCL2i,LB831BLC,0.0
420,MEKi + CDKi,LB831BLC,0.0
421,MEKi + ERKi,LB831BLC,0.0
422,MEKi + ErrBi,LB831BLC,1.0
423,MEKi + IGFRi,LB831BLC,1.0
424,MEKi + PARPi,LB831BLC,1.0
425,MEKi + PI3Ki,LB831BLC,1.0
426,MEKi + PORCNi,LB831BLC,0.0
427,PARPi + WEE1i,LB831BLC,1.0
428,PI3Ki + AKTi,LB831BLC,0.0
429,PI3Ki + BCL2i,LB831BLC,0.0
430,PI3Ki + CDKi,LB831BLC,1.0
431,PI3Ki + ErrBi,LB831BLC,0.5
432,PI3Ki + IGFRi,LB831BLC,1.0
433,PI3Ki + MEKi,LB831BLC,1.0
434,PI3Ki + MTORi,LB831BLC,1.0
435,PI3Ki + PARPi,LB831BLC,1.0
436,PI3Ki + PORCNi,LB831BLC,0.0
437,WEE1i + ATMa,LB831BLC,1.0
438,WEE1i + MDM2i,LB831BLC,1.0
