,inhibitor_combination,cell_line,synergy
632,PI3Ki + IGFRi,TCCSUP,0.0
633,PI3Ki + MEKi,TCCSUP,1.0
634,PI3Ki + MTORi,TCCSUP,1.0
635,PI3Ki + PARPi,TCCSUP,1.0
636,PI3Ki + PORCNi,TCCSUP,0.0
637,WEE1i + ATMa,TCCSUP,1.0
638,WEE1i + MDM2i,TCCSUP,1.0
639,WEE1i + PI3Ki,TCCSUP,0.0
640,ABL1i + MEKi,UMUC3,1.0
641,AKTi + MTORi,UMUC3,1.0
642,BCL2i + EGFRi,UMUC3,1.0
643,BCL2i + ErrBi,UMUC3,1.0
644,BCL2i + MEKi,UMUC3,1.0
645,BCL2i + PI3Ki,UMUC3,1.0
646,CHEKi + ATMa,UMUC3,1.0
647,CHEKi + WEE1i,UMUC3,1.0
648,ErrBi + AKTi,UMUC3,1.0
649,ErrBi + BCL2i,UMUC3,1.0
650,ErrBi + CDKi,UMUC3,1.0
651,ErrBi + FGFRi,UMUC3,1.0
652,ErrBi + IGFRi,UMUC3,1.0
653,ErrBi + MEKi,UMUC3,1.0
654,ErrBi + METi,UMUC3,1.0
655,ErrBi + PI3Ki,UMUC3,0.5
656,ErrBi + PORCNi,UMUC3,1.0
657,ErrBi + RAFi,UMUC3,1.0
658,MEKi + AKTi,UMUC3,1.0
659,MEKi + BCL2i,UMUC3,1.0
660,MEKi + CDKi,UMUC3,1.0
661,MEKi + ERKi,UMUC3,0.0
662,MEKi + ErrBi,UMUC3,1.0
663,MEKi + IGFRi,UMUC3,1.0
664,MEKi + PARPi,UMUC3,0.0
665,MEKi + PI3Ki,UMUC3,1.0
666,MEKi + PORCNi,UMUC3,1.0
667,PARPi + WEE1i,UMUC3,1.0
668,PI3Ki + AKTi,UMUC3,1.0
669,PI3Ki + BCL2i,UMUC3,0.0
670,PI3Ki + CDKi,UMUC3,1.0
671,PI3Ki + ErrBi,UMUC3,1.0
672,PI3Ki + IGFRi,UMUC3,1.0
673,PI3Ki + MEKi,UMUC3,1.0
674,PI3Ki + MTORi,UMUC3,1.0
675,PI3Ki + PARPi,UMUC3,0.0
676,PI3Ki + PORCNi,UMUC3,1.0
677,WEE1i + ATMa,UMUC3,1.0
678,WEE1i + MDM2i,UMUC3,1.0
679,WEE1i + PI3Ki,UMUC3,1.0
680,ABL1i + MEKi,VMCUB1,0.0
681,AKTi + MTORi,VMCUB1,1.0
682,BCL2i + EGFRi,VMCUB1,1.0
683,BCL2i + ErrBi,VMCUB1,1.0
684,BCL2i + MEKi,VMCUB1,1.0
685,BCL2i + PI3Ki,VMCUB1,1.0
686,CHEKi + ATMa,VMCUB1,1.0
687,CHEKi + WEE1i,VMCUB1,1.0
688,ErrBi + AKTi,VMCUB1,1.0
689,ErrBi + BCL2i,VMCUB1,1.0
690,ErrBi + CDKi,VMCUB1,1.0
691,ErrBi + FGFRi,VMCUB1,0.0
692,ErrBi + IGFRi,VMCUB1,1.0
693,ErrBi + MEKi,VMCUB1,1.0
694,ErrBi + METi,VMCUB1,1.0
695,ErrBi + PI3Ki,VMCUB1,1.0
696,ErrBi + PORCNi,VMCUB1,0.0
697,ErrBi + RAFi,VMCUB1,1.0
698,MEKi + AKTi,VMCUB1,1.0
699,MEKi + BCL2i,VMCUB1,1.0
700,MEKi + CDKi,VMCUB1,1.0
701,MEKi + ERKi,VMCUB1,0.0
702,MEKi + ErrBi,VMCUB1,1.0
703,MEKi + IGFRi,VMCUB1,1.0
704,MEKi + PARPi,VMCUB1,1.0
705,MEKi + PI3Ki,VMCUB1,1.0
706,MEKi + PORCNi,VMCUB1,0.0
707,PARPi + WEE1i,VMCUB1,1.0
708,PI3Ki + AKTi,VMCUB1,0.0
709,PI3Ki + BCL2i,VMCUB1,1.0
710,PI3Ki + CDKi,VMCUB1,1.0
711,PI3Ki + ErrBi,VMCUB1,0.5
712,PI3Ki + IGFRi,VMCUB1,0.0
713,PI3Ki + MEKi,VMCUB1,1.0
714,PI3Ki + MTORi,VMCUB1,1.0
715,PI3Ki + PARPi,VMCUB1,1.0
716,PI3Ki + PORCNi,VMCUB1,0.0
717,WEE1i + ATMa,VMCUB1,1.0
718,WEE1i + MDM2i,VMCUB1,1.0
719,WEE1i + PI3Ki,VMCUB1,1.0
