,drug_combination,cell_line,synergy
126,Trametinib + Pictilisib,647V,1.0
127,Trametinib + SCH772984,647V,0.0
128,Trametinib + Taselisib,647V,1.0
129,AZD7762 + Cisplatin,BFTC905,1.0
130,AZD7762 + MK-1775,BFTC905,1.0
131,Lapatinib + Crizotinib,BFTC905,1.0
132,Lapatinib + Dabrafenib,BFTC905,1.0
133,Lapatinib + LGK974,BFTC905,1.0
134,Lapatinib + Linsitinib,BFTC905,1.0
135,Lapatinib + MK-2206,BFTC905,1.0
136,Lapatinib + Navitoclax,BFTC905,1.0
137,Lapatinib + PD173074,BFTC905,1.0
138,Lapatinib + Palbociclib,BFTC905,1.0
139,Lapatinib + Pictilisib,BFTC905,1.0
140,Lapatinib + Taselisib,BFTC905,1.0
141,Lapatinib + Trametinib,BFTC905,1.0
142,MK-1775 + Cisplatin,BFTC905,1.0
143,MK-1775 + Nutlin-3a (-),BFTC905,1.0
144,MK-1775 + Pictilisib,BFTC905,1.0
145,MK-2206 + OSI-027,BFTC905,1.0
146,Navitoclax + Afatinib,BFTC905,1.0
147,Navitoclax + Axitinib,BFTC905,1.0
148,Navitoclax + Taselisib,BFTC905,1.0
149,Navitoclax + Trametinib,BFTC905,1.0
150,Nilotinib + Trametinib,BFTC905,1.0
151,Olaparib + MK-1775,BFTC905,1.0
152,Taselisib + Afatinib,BFTC905,1.0
153,Taselisib + LGK974,BFTC905,1.0
154,Taselisib + Linsitinib,BFTC905,1.0
155,Taselisib + MK-2206,BFTC905,1.0
156,Taselisib + Navitoclax,BFTC905,1.0
157,Taselisib + OSI-027,BFTC905,1.0
158,Taselisib + Olaparib,BFTC905,0.0
159,Taselisib + Palbociclib,BFTC905,1.0
160,Taselisib + Sapitinib,BFTC905,1.0
161,Taselisib + Trametinib,BFTC905,1.0
162,Trametinib + Afatinib,BFTC905,1.0
163,Trametinib + LGK974,BFTC905,1.0
164,Trametinib + Linsitinib,BFTC905,1.0
165,Trametinib + MK-2206,BFTC905,1.0
166,Trametinib + Navitoclax,BFTC905,1.0
167,Trametinib + Olaparib,BFTC905,0.0
168,Trametinib + Palbociclib,BFTC905,1.0
169,Trametinib + Pictilisib,BFTC905,1.0
170,Trametinib + SCH772984,BFTC905,1.0
171,Trametinib + Taselisib,BFTC905,1.0
172,AZD7762 + Cisplatin,CAL29,1.0
173,AZD7762 + MK-1775,CAL29,1.0
174,Lapatinib + Crizotinib,CAL29,1.0
175,Lapatinib + Dabrafenib,CAL29,1.0
176,Lapatinib + LGK974,CAL29,0.0
177,Lapatinib + Linsitinib,CAL29,1.0
178,Lapatinib + MK-2206,CAL29,1.0
179,Lapatinib + Navitoclax,CAL29,1.0
180,Lapatinib + PD173074,CAL29,1.0
181,Lapatinib + Palbociclib,CAL29,1.0
182,Lapatinib + Pictilisib,CAL29,1.0
183,Lapatinib + Taselisib,CAL29,1.0
184,Lapatinib + Trametinib,CAL29,1.0
185,MK-1775 + Cisplatin,CAL29,1.0
186,MK-1775 + Nutlin-3a (-),CAL29,1.0
187,MK-1775 + Pictilisib,CAL29,1.0
188,MK-2206 + OSI-027,CAL29,1.0
189,Navitoclax + Afatinib,CAL29,1.0
190,Navitoclax + Axitinib,CAL29,1.0
191,Navitoclax + Taselisib,CAL29,1.0
192,Navitoclax + Trametinib,CAL29,1.0
193,Nilotinib + Trametinib,CAL29,1.0
194,Olaparib + MK-1775,CAL29,1.0
195,Taselisib + Afatinib,CAL29,1.0
196,Taselisib + LGK974,CAL29,1.0
197,Taselisib + Linsitinib,CAL29,1.0
198,Taselisib + MK-2206,CAL29,0.0
199,Taselisib + Navitoclax,CAL29,1.0
200,Taselisib + OSI-027,CAL29,1.0
201,Taselisib + Olaparib,CAL29,1.0
202,Taselisib + Palbociclib,CAL29,1.0
203,Taselisib + Sapitinib,CAL29,1.0
204,Taselisib + Trametinib,CAL29,1.0
205,Trametinib + Afatinib,CAL29,1.0
206,Trametinib + LGK974,CAL29,0.0
207,Trametinib + Linsitinib,CAL29,1.0
208,Trametinib + MK-2206,CAL29,1.0
209,Trametinib + Navitoclax,CAL29,1.0
210,Trametinib + Olaparib,CAL29,1.0
211,Trametinib + Palbociclib,CAL29,1.0
212,Trametinib + Pictilisib,CAL29,1.0
213,Trametinib + SCH772984,CAL29,0.0
214,Trametinib + Taselisib,CAL29,1.0
215,AZD7762 + Cisplatin,DSH1,1.0
216,AZD7762 + MK-1775,DSH1,1.0
217,Lapatinib + Crizotinib,DSH1,1.0
218,Lapatinib + Dabrafenib,DSH1,1.0
219,Lapatinib + LGK974,DSH1,0.0
220,Lapatinib + Linsitinib,DSH1,1.0
221,Lapatinib + MK-2206,DSH1,1.0
222,Lapatinib + Navitoclax,DSH1,1.0
223,Lapatinib + PD173074,DSH1,0.0
224,Lapatinib + Palbociclib,DSH1,1.0
225,Lapatinib + Pictilisib,DSH1,1.0
226,Lapatinib + Taselisib,DSH1,1.0
227,Lapatinib + Trametinib,DSH1,0.0
228,MK-1775 + Cisplatin,DSH1,1.0
229,MK-1775 + Nutlin-3a (-),DSH1,1.0
230,MK-1775 + Pictilisib,DSH1,1.0
231,MK-2206 + OSI-027,DSH1,1.0
232,Navitoclax + Afatinib,DSH1,1.0
233,Navitoclax + Axitinib,DSH1,1.0
234,Navitoclax + Taselisib,DSH1,1.0
235,Navitoclax + Trametinib,DSH1,1.0
236,Nilotinib + Trametinib,DSH1,1.0
237,Olaparib + MK-1775,DSH1,0.0
238,Taselisib + Afatinib,DSH1,1.0
239,Taselisib + LGK974,DSH1,0.0
240,Taselisib + Linsitinib,DSH1,1.0
241,Taselisib + MK-2206,DSH1,0.0
242,Taselisib + Navitoclax,DSH1,1.0
243,Taselisib + OSI-027,DSH1,1.0
244,Taselisib + Olaparib,DSH1,1.0
245,Taselisib + Palbociclib,DSH1,0.0
246,Taselisib + Sapitinib,DSH1,1.0
247,Taselisib + Trametinib,DSH1,0.0
248,Trametinib + Afatinib,DSH1,0.0
249,Trametinib + LGK974,DSH1,0.0
250,Trametinib + Linsitinib,DSH1,1.0
251,Trametinib + MK-2206,DSH1,1.0
252,Trametinib + Navitoclax,DSH1,1.0
253,Trametinib + Olaparib,DSH1,1.0
254,Trametinib + Palbociclib,DSH1,0.0
255,Trametinib + Pictilisib,DSH1,1.0
256,Trametinib + SCH772984,DSH1,0.0
257,Trametinib + Taselisib,DSH1,1.0
258,AZD7762 + Cisplatin,HT1197,0.0
259,AZD7762 + MK-1775,HT1197,1.0
260,Lapatinib + Crizotinib,HT1197,
261,Lapatinib + Dabrafenib,HT1197,1.0
262,Lapatinib + LGK974,HT1197,0.0
263,Lapatinib + Linsitinib,HT1197,0.0
264,Lapatinib + MK-2206,HT1197,0.0
265,Lapatinib + Navitoclax,HT1197,
266,Lapatinib + PD173074,HT1197,
267,Lapatinib + Palbociclib,HT1197,0.0
268,Lapatinib + Pictilisib,HT1197,
