drug_name_A,drug_name_B,cell_line,synergy,PD_A,PD_B
AZD-8055,Obatoclax Mesylate,T84,21.38695976,PD_03,PD_10
AZD-8055,oxaliplatin,T84,30.95784474,PD_03,
AZD-8055,Palbociclib,T84,36.77267247,PD_03,PD_08
AZD-8055,SN-38,T84,26.86164052,PD_03,
AZD-8055,Ulixertinib,T84,36.12133934,PD_03,PD_11
Capivasertib,Lapatinib,T84,16.75850971,PD_01,PD_04
Capivasertib,Neratinib,T84,16.45627543,PD_01,PD_04
Everolimus,Capivasertib,T84,12.97215425,PD_03,PD_01
Everolimus,Ipatasertib,T84,20.310977,PD_03,PD_01
Everolimus,Lapatinib,T84,24.34780537,PD_03,PD_04
Everolimus,Navitoclax,T84,29.27993713,PD_03,PD_09
Everolimus,Neratinib,T84,20.12976878,PD_03,PD_04
Everolimus,Obatoclax Mesylate,T84,30.13066025,PD_03,PD_10
Everolimus,oxaliplatin,T84,47.69458389,PD_03,
Everolimus,Palbociclib,T84,38.97271329,PD_03,PD_08
Everolimus,SN-38,T84,44.73028844,PD_03,
Everolimus,Ulixertinib,T84,53.66038588,PD_03,PD_11
Ipatasertib,Lapatinib,T84,29.44628899,PD_01,PD_04
Ipatasertib,Neratinib,T84,23.23418753,PD_01,PD_04
PF 477736,MK-1775 (Advosertib),T84,33.162055,PD_02,PD_06
PF 477736,Niraparib,T84,31.88541484,PD_02,PD_05
PF 477736,Olaparib,T84,11.95907976,PD_02,PD_05
PF 477736,Palbociclib,T84,36.5880614,PD_02,PD_08
PF 477736,PF-3644022,T84,34.27468057,PD_02,PD_07
Prexasertib,MK-1775 (Advosertib),T84,43.82369715,PD_02,PD_06
Prexasertib,Niraparib,T84,25.6499735,PD_02,PD_05
Prexasertib,Olaparib,T84,13.23445282,PD_02,PD_05
Prexasertib,Palbociclib,T84,22.71883664,PD_02,PD_08
Prexasertib,PF-3644022,T84,24.86841618,PD_02,PD_07
Torin 1,Capivasertib,T84,15.68283309,PD_03,PD_01
Torin 1,Ipatasertib,T84,19.84323399,PD_03,PD_01
Torin 1,Lapatinib,T84,24.2860742,PD_03,PD_04
Torin 1,Navitoclax,T84,26.03726269,PD_03,PD_09
Torin 1,Neratinib,T84,17.3050036,PD_03,PD_04
Torin 1,Obatoclax Mesylate,T84,29.93572941,PD_03,PD_10
Torin 1,oxaliplatin,T84,41.9166844,PD_03,
Torin 1,Palbociclib,T84,41.29829873,PD_03,PD_08
Torin 1,SN-38,T84,42.17830776,PD_03,
Torin 1,Ulixertinib,T84,47.68884354,PD_03,PD_11
AZD-8055,Capivasertib,NCI-H508,-9.184590799,PD_03,PD_01
AZD-8055,Ipatasertib,NCI-H508,-12.15811573,PD_03,PD_01
AZD-8055,Lapatinib,NCI-H508,-7.547454275,PD_03,PD_04
AZD-8055,Navitoclax,NCI-H508,15.93932282,PD_03,PD_09
AZD-8055,Neratinib,NCI-H508,-8.869215293,PD_03,PD_04
AZD-8055,Obatoclax Mesylate,NCI-H508,12.40627348,PD_03,PD_10
AZD-8055,oxaliplatin,NCI-H508,-13.85401343,PD_03,
AZD-8055,Palbociclib,NCI-H508,2.959803729,PD_03,PD_08
