Perturbation	Average	SD	Data
[PD_01]	0.595999984741211	0.6207171626575404	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.5	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	2.0	1.5	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.5	1.0	2.0	0.0	0.5	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	2.0	0.0	0.8	1.0	0.0	0.0	0.0
[PD_02]	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
[PD_03]	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
[PD_05]	0.9761473083496094	0.8087650099212185	2.0	0.33333334	2.0	0.75	0.85714287	2.0	2.0	0.8333333	0.85714287	1.1666666	0.46666667	0.54545456	0.8	1.1666666	0.33333334	2.0	0.6666667	0.0	0.9	0.0	2.0	1.0	2.0	1.0	2.0	2.0	1.4285715	2.0	0.5714286	0.8	2.0	-1.1666666	-1.0	0.5714286	0.42857143	0.0	0.25	1.0	0.0	-0.33333334	1.1666666	2.0	0.6666667	1.2	0.6666667	2.0	1.0	2.0	1.1666666	0.71428573
[PD_06]	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
[PD_07]	1.7843809509277344	0.422026510141194	2.0	2.0	2.0	2.0	2.0	1.6	1.4285715	2.0	2.0	2.0	1.3333334	2.0	2.0	2.0	1.4285715	1.1428572	2.0	2.0	1.7142857	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	1.7142857	0.8	2.0	1.1428572	2.0	2.0	2.0	1.2	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.7142857	2.0	2.0	2.0
[PD_08]	1.8200314331054688	0.4153858147894521	1.4117647	2.0	2.0	2.0	2.0	1.5454545	0.46774194	2.0	2.0	2.0	2.0	1.054054	2.0	2.0	2.0	2.0	2.0	1.9375	2.0	2.0	2.0	1.9090909	1.6764706	2.0	1.875	0.3	2.0	0.68421054	2.0	1.6470588	0.84615386	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.7647059	2.0	2.0	2.0	2.0	2.0	1.882353	2.0	2.0	2.0	2.0	2.0
[PD_09]	1.8599298095703125	0.3046928526813939	1.4117647	2.0	1.5454545	2.0	2.0	2.0	2.0	0.86	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.4	2.0	1.9375	2.0	1.9090909	2.0	2.0	1.6764706	1.875	0.7368421	2.0	1.0425532	2.0	1.6470588	2.0	2.0	1.3076923	2.0	2.0	2.0	2.0	2.0	1.7647059	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.882353	2.0	2.0
[PD_10]	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
[PD_11]	1.8200314331054688	0.4153858147894521	1.4117647	2.0	0.46774194	1.5454545	2.0	2.0	2.0	2.0	2.0	1.054054	2.0	2.0	2.0	2.0	2.0	2.0	1.9375	2.0	2.0	2.0	1.9090909	1.875	2.0	2.0	1.6764706	0.3	2.0	2.0	0.68421054	2.0	2.0	2.0	0.84615386	2.0	2.0	1.6470588	2.0	2.0	1.7647059	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.882353	2.0	2.0
