Perturbation	Synergies	Non-synergies
[PD_13]-[PD_16]	142	8
[PD_13]-[PD_17]	7	140
[PD_13]-[PD_18]	5	145
[PD_13]-[PD_19]	1	137
[PD_13]-[PD_20]	78	69
[PD_13]-[PD_21]	78	69
[PD_14]-[PD_15]	1	149
[PD_14]-[PD_16]	3	147
[PD_14]-[PD_17]	2	145
[PD_14]-[PD_18]	0	150
[PD_14]-[PD_19]	0	138
[PD_14]-[PD_20]	3	144
[PD_14]-[PD_21]	3	144
[PD_15]-[PD_16]	72	78
[PD_15]-[PD_17]	15	132
[PD_15]-[PD_18]	4	146
[PD_15]-[PD_19]	0	138
[PD_15]-[PD_20]	37	110
[PD_15]-[PD_21]	37	110
[PD_16]-[PD_17]	7	140
[PD_16]-[PD_18]	5	145
[PD_16]-[PD_19]	5	133
[PD_16]-[PD_20]	97	50
[PD_16]-[PD_21]	97	50
[PD_17]-[PD_18]	2	145
[PD_17]-[PD_19]	0	135
[PD_17]-[PD_20]	25	119
[PD_17]-[PD_21]	25	119
[PD_18]-[PD_19]	0	138
[PD_18]-[PD_20]	32	115
[PD_18]-[PD_21]	32	115
[PD_19]-[PD_20]	2	131
[PD_19]-[PD_21]	2	131
[PD_20]-[PD_21]	0	147
