,True Positive,True Negative,False Positive,False Negative,Total,Match,Mismatch,Match %,Mismatch %,Accuracy,Recall,Precision
SNU81,13,0,2,2,17,13,4,76.47058823529412,23.52941176470588,76.47,86.67,86.67
CAR1,15,0,1,1,17,15,2,88.23529411764706,11.76470588235294,88.24,93.75,93.75
T84,13,0,0,4,17,13,4,76.47058823529412,23.52941176470588,76.47,76.47,100.0
NCIH508,15,1,1,0,17,16,1,94.11764705882352,5.88235294117647,94.12,100.0,93.75
SW1116,7,3,7,0,17,10,7,58.82352941176471,41.17647058823529,58.82,100.0,50.0
LS123,14,0,2,1,17,14,3,82.35294117647058,17.647058823529413,82.35,93.33,87.5
SW1463,9,2,6,0,17,11,6,64.70588235294117,35.294117647058826,64.71,100.0,60.0
C2BBE1,11,1,5,0,17,12,5,70.58823529411765,29.411764705882355,70.59,100.0,68.75
CL11,6,2,8,1,17,8,9,47.05882352941176,52.94117647058824,47.06,85.71,42.86
SW1417,10,2,5,0,17,12,5,70.58823529411765,29.411764705882355,70.59,100.0,66.67
SW837,8,1,3,5,17,9,8,52.94117647058824,47.05882352941176,52.94,61.54,72.73
NCIH747,11,1,3,2,17,12,5,70.58823529411765,29.411764705882355,70.59,84.62,78.57
HT115,7,1,9,0,17,8,9,47.05882352941176,52.94117647058824,47.06,100.0,43.75
NCIH716,12,2,2,1,17,14,3,82.35294117647058,17.647058823529413,82.35,92.31,85.71
SW620,7,3,5,2,17,10,7,58.82352941176471,41.17647058823529,58.82,77.78,58.33
SW948,15,1,1,0,17,16,1,94.11764705882352,5.88235294117647,94.12,100.0,93.75
