,drug_name_A,drug_name_B,cell_line,synergy,PD_A,PD_B,Perturbation,drug_combination,inhibitor_group_A,inhibitor_group_B,inhibitor_combination,targets_A,targets_B,target_combination
76,Prexasertib,Palbociclib,LS123,-5.585888389,PD_18,PD_16,PD_18-PD_16,Prexasertib + Palbociclib,CHEKi,CyclinDi,CHEKi + CyclinDi,"['CHEK1', 'CHEK2']","['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2', 'CyclinB_CDK1']","['CHEK1', 'CHEK2'] + ['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2', 'CyclinB_CDK1']"
77,Prexasertib,PF-3644022,LS123,7.081072245,PD_18,PD_17,PD_18-PD_17,Prexasertib + PF-3644022,CHEKi,MAPKi,CHEKi + MAPKi,"['CHEK1', 'CHEK2']",['MAPKAPK2'],"['CHEK1', 'CHEK2'] + ['MAPKAPK2']"
78,Torin 1,Capivasertib,LS123,9.291091166,PD_08,PD_03,PD_08-PD_03,Torin 1 + Capivasertib,mTORi,AKTi,mTORi + AKTi,"['mTOR_c1', 'mTOR_c2']",['AKT1'],"['mTOR_c1', 'mTOR_c2'] + ['AKT1']"
79,Torin 1,Ipatasertib,LS123,8.823679821,PD_08,PD_03,PD_08-PD_03,Torin 1 + Ipatasertib,mTORi,AKTi,mTORi + AKTi,"['mTOR_c1', 'mTOR_c2']",['AKT1'],"['mTOR_c1', 'mTOR_c2'] + ['AKT1']"
80,Torin 1,Lapatinib,LS123,14.96493586,PD_08,PD_11,PD_08-PD_11,Torin 1 + Lapatinib,mTORi,EGFRi,mTORi + EGFRi,"['mTOR_c1', 'mTOR_c2']","['ERBB2', 'EGFR']","['mTOR_c1', 'mTOR_c2'] + ['ERBB2', 'EGFR']"
81,Torin 1,Navitoclax,LS123,16.27035192,PD_08,PD_13,PD_08-PD_13,Torin 1 + Navitoclax,mTORi,BCL2L1i,mTORi + BCL2L1i,"['mTOR_c1', 'mTOR_c2']","['BCL2', 'BCL2L1']","['mTOR_c1', 'mTOR_c2'] + ['BCL2', 'BCL2L1']"
82,Torin 1,Neratinib,LS123,18.54322074,PD_08,PD_11,PD_08-PD_11,Torin 1 + Neratinib,mTORi,EGFRi,mTORi + EGFRi,"['mTOR_c1', 'mTOR_c2']","['ERBB2', 'EGFR']","['mTOR_c1', 'mTOR_c2'] + ['ERBB2', 'EGFR']"
83,Torin 1,Obatoclax,LS123,13.83168686,PD_08,PD_15,PD_08-PD_15,Torin 1 + Obatoclax,mTORi,BCL2i,mTORi + BCL2i,"['mTOR_c1', 'mTOR_c2']",['BCL2'],"['mTOR_c1', 'mTOR_c2'] + ['BCL2']"
84,Torin 1,Oxaliplatin,LS123,4.950553931,PD_08,,PD_08-nan,Torin 1 + Oxaliplatin,mTORi,,,"['mTOR_c1', 'mTOR_c2']",,
85,Torin 1,Palbociclib,LS123,-0.824165232,PD_08,PD_16,PD_08-PD_16,Torin 1 + Palbociclib,mTORi,CyclinDi,mTORi + CyclinDi,"['mTOR_c1', 'mTOR_c2']","['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2', 'CyclinB_CDK1']","['mTOR_c1', 'mTOR_c2'] + ['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2', 'CyclinB_CDK1']"
86,Torin 1,SN-38,LS123,7.887572492,PD_08,,PD_08-nan,Torin 1 + SN-38,mTORi,,,"['mTOR_c1', 'mTOR_c2']",,
87,Torin 1,Ulixertinib,LS123,6.921868063,PD_08,PD_21,PD_08-PD_21,Torin 1 + Ulixertinib,mTORi,ERKi,mTORi + ERKi,"['mTOR_c1', 'mTOR_c2']",['ERK_f'],"['mTOR_c1', 'mTOR_c2'] + ['ERK_f']"
88,AZD-8055,Capivasertib,T84,4.385304065,PD_02,PD_03,PD_02-PD_03,AZD-8055 + Capivasertib,PIK3_MTORi,AKTi,PIK3_MTORi + AKTi,"['PIK3CA', 'mTOR_c1', 'mTOR_c2']",['AKT1'],"['PIK3CA', 'mTOR_c1', 'mTOR_c2'] + ['AKT1']"
89,AZD-8055,Ipatasertib,T84,18.63053595,PD_02,PD_03,PD_02-PD_03,AZD-8055 + Ipatasertib,PIK3_MTORi,AKTi,PIK3_MTORi + AKTi,"['PIK3CA', 'mTOR_c1', 'mTOR_c2']",['AKT1'],"['PIK3CA', 'mTOR_c1', 'mTOR_c2'] + ['AKT1']"
