,inhibitor_combination,cell_line,synergy
116,mTORi + CyclinDi,NCIH716,11.552097896500001
117,mTORi + EGFRi,NCIH716,7.58822940475
118,mTORi + ERKi,NCIH716,20.856486505
119,AKTi + EGFRi,NCIH747,19.3234702225
120,CHEKi + CyclinDi,NCIH747,-10.472349279500001
121,CHEKi + MAPKi,NCIH747,-6.9161649565
122,CHEKi + PARPi,NCIH747,-0.6839183115
123,CHEKi + Wee1i,NCIH747,3.2486887584999997
124,PIK3_MTORi + AKTi,NCIH747,7.597240218
125,PIK3_MTORi + BCL2L1i,NCIH747,8.326031374
126,PIK3_MTORi + BCL2i,NCIH747,8.162864264
127,PIK3_MTORi + CyclinDi,NCIH747,-1.990159784
128,PIK3_MTORi + EGFRi,NCIH747,8.1803074565
129,PIK3_MTORi + ERKi,NCIH747,11.1011702
130,mTORi + AKTi,NCIH747,12.8311205425
131,mTORi + BCL2L1i,NCIH747,9.543255796
132,mTORi + BCL2i,NCIH747,18.92189648
133,mTORi + CyclinDi,NCIH747,4.5720109565
134,mTORi + EGFRi,NCIH747,10.7189676
135,mTORi + ERKi,NCIH747,12.15747096
136,AKTi + EGFRi,SNU81,5.38504496625
137,CHEKi + CyclinDi,SNU81,-2.1816518400000002
138,CHEKi + MAPKi,SNU81,4.2992307975
139,CHEKi + PARPi,SNU81,2.84026618375
140,CHEKi + Wee1i,SNU81,17.03254425
141,PIK3_MTORi + AKTi,SNU81,5.048071329
142,PIK3_MTORi + BCL2L1i,SNU81,19.78773505
143,PIK3_MTORi + BCL2i,SNU81,9.28287095
144,PIK3_MTORi + CyclinDi,SNU81,-1.3300907
145,PIK3_MTORi + EGFRi,SNU81,1.2363611385
146,PIK3_MTORi + ERKi,SNU81,1.447512106
147,mTORi + AKTi,SNU81,9.660598383
148,mTORi + BCL2L1i,SNU81,17.061497635000002
149,mTORi + BCL2i,SNU81,12.64631466
150,mTORi + CyclinDi,SNU81,0.45258225450000006
151,mTORi + EGFRi,SNU81,1.8988293440000001
152,mTORi + ERKi,SNU81,3.1672612145
153,AKTi + EGFRi,SW1116,6.15828313425
154,CHEKi + CyclinDi,SW1116,-5.0584001259999996
155,CHEKi + MAPKi,SW1116,-5.9612320685
156,CHEKi + PARPi,SW1116,-25.85536358
157,CHEKi + Wee1i,SW1116,-16.495487015
158,PIK3_MTORi + AKTi,SW1116,-7.2567583935
159,PIK3_MTORi + BCL2L1i,SW1116,8.475028182
160,PIK3_MTORi + BCL2i,SW1116,6.539612098
161,PIK3_MTORi + CyclinDi,SW1116,-1.497618885
162,PIK3_MTORi + EGFRi,SW1116,7.3456089045
163,PIK3_MTORi + ERKi,SW1116,4.222305657
164,mTORi + AKTi,SW1116,-8.255631245250001
165,mTORi + BCL2L1i,SW1116,3.6934716610000002
166,mTORi + BCL2i,SW1116,3.3007072295
167,mTORi + CyclinDi,SW1116,-4.0310568165000005
168,mTORi + EGFRi,SW1116,-1.3402415965
169,mTORi + ERKi,SW1116,-0.9418669700000002
170,AKTi + EGFRi,SW1417,2.95936396775
171,CHEKi + CyclinDi,SW1417,-7.8991089705
172,CHEKi + MAPKi,SW1417,-6.5882549225
173,CHEKi + PARPi,SW1417,-8.21172601775
174,CHEKi + Wee1i,SW1417,-5.866927039
175,PIK3_MTORi + AKTi,SW1417,-1.0032821105
176,PIK3_MTORi + BCL2L1i,SW1417,11.42991004
177,PIK3_MTORi + BCL2i,SW1417,6.880009383
178,PIK3_MTORi + CyclinDi,SW1417,1.230634626
179,PIK3_MTORi + EGFRi,SW1417,4.7997193065
180,PIK3_MTORi + ERKi,SW1417,9.035116033
181,mTORi + AKTi,SW1417,1.1845177735
182,mTORi + BCL2L1i,SW1417,2.7079160245
183,mTORi + BCL2i,SW1417,-0.6049574545
184,mTORi + CyclinDi,SW1417,-3.900145652
185,mTORi + EGFRi,SW1417,1.0350486297500003
186,mTORi + ERKi,SW1417,1.970513183
187,AKTi + EGFRi,SW1463,10.36232480975
188,CHEKi + CyclinDi,SW1463,-12.168861675
189,CHEKi + MAPKi,SW1463,-12.928365705000001
190,CHEKi + PARPi,SW1463,-38.325343865
191,CHEKi + Wee1i,SW1463,-7.1918319754999995
192,PIK3_MTORi + AKTi,SW1463,-1.718900594
193,PIK3_MTORi + BCL2L1i,SW1463,14.13848859
194,PIK3_MTORi + BCL2i,SW1463,13.34712262
195,PIK3_MTORi + CyclinDi,SW1463,1.6313249
196,PIK3_MTORi + EGFRi,SW1463,9.1586282045
197,PIK3_MTORi + ERKi,SW1463,7.538900292
198,mTORi + AKTi,SW1463,-2.36625470225
199,mTORi + BCL2L1i,SW1463,5.76546046
200,mTORi + BCL2i,SW1463,8.7021099
201,mTORi + CyclinDi,SW1463,-3.0391435639999997
202,mTORi + EGFRi,SW1463,-0.3468334790000005
203,mTORi + ERKi,SW1463,1.5562861000000001
204,AKTi + EGFRi,SW620,-3.548650943
205,CHEKi + CyclinDi,SW620,-4.489024961
206,CHEKi + MAPKi,SW620,-18.489832085
207,CHEKi + PARPi,SW620,2.97575629325
208,CHEKi + Wee1i,SW620,13.491195065
209,PIK3_MTORi + AKTi,SW620,-1.291580318
210,PIK3_MTORi + BCL2L1i,SW620,5.716612568
211,PIK3_MTORi + BCL2i,SW620,-0.578742324
212,PIK3_MTORi + CyclinDi,SW620,0.686716074
213,PIK3_MTORi + EGFRi,SW620,-5.7043599469999995
214,PIK3_MTORi + ERKi,SW620,4.971321198
215,mTORi + AKTi,SW620,3.281663275
216,mTORi + BCL2L1i,SW620,2.096301594
217,mTORi + BCL2i,SW620,2.051520112
218,mTORi + CyclinDi,SW620,-0.6721005895
219,mTORi + EGFRi,SW620,-11.45620519775
220,mTORi + ERKi,SW620,0.013649449999999952
221,AKTi + EGFRi,SW837,13.92253053
222,CHEKi + CyclinDi,SW837,-7.440663413
223,CHEKi + MAPKi,SW837,-0.8409643330000001
224,CHEKi + PARPi,SW837,-1.19677615975
225,CHEKi + Wee1i,SW837,6.6433664624999995
226,PIK3_MTORi + AKTi,SW837,10.561930754999999
227,PIK3_MTORi + BCL2L1i,SW837,27.28772275
228,PIK3_MTORi + BCL2i,SW837,10.53341113
229,PIK3_MTORi + CyclinDi,SW837,0.262354444
230,PIK3_MTORi + EGFRi,SW837,14.4997525
231,PIK3_MTORi + ERKi,SW837,5.664108703
232,mTORi + AKTi,SW837,5.042844699
233,mTORi + BCL2L1i,SW837,20.758358684999997
234,mTORi + BCL2i,SW837,5.5618015915
235,mTORi + CyclinDi,SW837,-0.410762255
236,mTORi + EGFRi,SW837,4.58707616925
237,mTORi + ERKi,SW837,0.02680360050000008
238,AKTi + EGFRi,SW948,16.60214235125
239,CHEKi + CyclinDi,SW948,-7.5941809075
240,CHEKi + MAPKi,SW948,4.571266716
241,CHEKi + PARPi,SW948,-7.03361257475
242,CHEKi + Wee1i,SW948,12.951463440000001
243,PIK3_MTORi + AKTi,SW948,12.889358510000001
244,PIK3_MTORi + BCL2L1i,SW948,21.35125509
245,PIK3_MTORi + BCL2i,SW948,5.562877154
246,PIK3_MTORi + CyclinDi,SW948,2.168639871
247,PIK3_MTORi + EGFRi,SW948,11.4345499695
248,PIK3_MTORi + ERKi,SW948,15.52562719
249,mTORi + AKTi,SW948,14.5594933375
250,mTORi + BCL2L1i,SW948,22.760947115
251,mTORi + BCL2i,SW948,0.36249013099999994
252,mTORi + CyclinDi,SW948,2.4419954725
253,mTORi + EGFRi,SW948,11.856119137250001
254,mTORi + ERKi,SW948,12.763443925
255,AKTi + EGFRi,T84,16.6542626725
256,CHEKi + CyclinDi,T84,22.05579749
257,CHEKi + MAPKi,T84,26.63705958
258,CHEKi + PARPi,T84,9.43386438925
259,CHEKi + Wee1i,T84,37.07855477
260,PIK3_MTORi + AKTi,T84,11.5079200075
261,PIK3_MTORi + BCL2L1i,T84,32.17602391
262,PIK3_MTORi + BCL2i,T84,6.940772205
263,PIK3_MTORi + CyclinDi,T84,6.621643111
264,PIK3_MTORi + EGFRi,T84,26.005174269999998
265,PIK3_MTORi + ERKi,T84,23.72198463
266,mTORi + AKTi,T84,2.3512421462499997
267,mTORi + BCL2L1i,T84,24.523324345
268,mTORi + BCL2i,T84,8.3111998115
269,mTORi + CyclinDi,T84,6.4421262825
270,mTORi + EGFRi,T84,17.691703082500002
271,mTORi + ERKi,T84,29.867269505
