,drug_combination,cell_line,synergy
115,AZD-8055 + Ipatasertib,HT115,0.685879182
116,AZD-8055 + Lapatinib,HT115,1.260896388
117,AZD-8055 + Navitoclax,HT115,-13.69606644
118,AZD-8055 + Neratinib,HT115,-5.924441352
119,AZD-8055 + Obatoclax,HT115,7.393244163
120,AZD-8055 + Palbociclib,HT115,-8.607893466
121,AZD-8055 + Ulixertinib,HT115,-6.384213319
122,Capivasertib + Lapatinib,HT115,2.589538469
123,Capivasertib + Neratinib,HT115,12.04003262
124,Everolimus + Capivasertib,HT115,25.95432154
125,Everolimus + Ipatasertib,HT115,13.85070528
126,Everolimus + Lapatinib,HT115,9.683385726
127,Everolimus + Navitoclax,HT115,2.988167102
128,Everolimus + Neratinib,HT115,6.032807255
129,Everolimus + Obatoclax,HT115,20.01077673
130,Everolimus + Palbociclib,HT115,6.086912999
131,Everolimus + Ulixertinib,HT115,18.58265077
132,Ipatasertib + Lapatinib,HT115,19.01449039
133,Ipatasertib + Neratinib,HT115,2.15451337
134,PF-477736 + MK-1775,HT115,-5.545424048
135,PF-477736 + Niraparib,HT115,-7.122598383
136,PF-477736 + Olaparib,HT115,-9.925234641
137,PF-477736 + PF-3644022,HT115,-9.810644875
138,PF-477736 + Palbociclib,HT115,-3.250543989
139,Prexasertib + MK-1775,HT115,0.0087012
140,Prexasertib + Niraparib,HT115,1.741921677
141,Prexasertib + Olaparib,HT115,-7.353335102
142,Prexasertib + PF-3644022,HT115,-15.4941007
143,Prexasertib + Palbociclib,HT115,-11.19914333
144,Torin 1 + Capivasertib,HT115,8.464043431
145,Torin 1 + Ipatasertib,HT115,-9.194457224
146,Torin 1 + Lapatinib,HT115,5.981248043
147,Torin 1 + Navitoclax,HT115,-13.4060503
148,Torin 1 + Neratinib,HT115,-2.48911277
149,Torin 1 + Obatoclax,HT115,8.088285376
150,Torin 1 + Palbociclib,HT115,-9.145043062
151,Torin 1 + Ulixertinib,HT115,-2.919607128
152,AZD-8055 + Capivasertib,LS123,7.64908779
153,AZD-8055 + Ipatasertib,LS123,10.75500246
154,AZD-8055 + Lapatinib,LS123,16.68694203
155,AZD-8055 + Navitoclax,LS123,23.22242042
156,AZD-8055 + Neratinib,LS123,20.18205147
157,AZD-8055 + Obatoclax,LS123,16.81648568
158,AZD-8055 + Palbociclib,LS123,-0.977657128
159,AZD-8055 + Ulixertinib,LS123,5.327901919
160,Capivasertib + Lapatinib,LS123,10.80763037
161,Capivasertib + Neratinib,LS123,17.06639207
162,Everolimus + Capivasertib,LS123,15.01348574
163,Everolimus + Ipatasertib,LS123,15.05381289
164,Everolimus + Lapatinib,LS123,24.45083972
